0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.01414864044636488,0.01816721260547638,0.8753453493118286,0.09226071834564209
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.2600919008255005,0.10842243582010269,0.42881906032562256,0.20255978405475616
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.31659263372421265,0.09070529788732529,0.5219730138778687,0.07064136117696762
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,False,0.06377633661031723,0.15299148857593536,0.4158739149570465,0.36700746417045593
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.154837965965271,0.0144021762534976,0.7863321900367737,0.04436182603240013
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.19978581368923187,0.03063814528286457,0.5430740714073181,0.22638694941997528
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.0791916623711586,0.04238824173808098,0.663063645362854,0.21526524424552917
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.008170832879841328,0.013471424579620361,0.8334475755691528,0.14483146369457245
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.6485084891319275,0.21053987741470337,0.09945200383663177,0.04145776107907295
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.017285585403442383,0.0023393495939671993,0.9437609910964966,0.03659358248114586
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,False,0.7464021444320679,0.054069194942712784,0.18872001767158508,0.010646854527294636
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.009559160098433495,0.009559160098433495,0.9750608205795288,0.00579792307689786
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.020769642665982246,0.02353508770465851,0.883147656917572,0.07249317318201065
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.1604541689157486,0.04597088694572449,0.5600400567054749,0.23345941305160522
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.037531934678554535,0.1906028836965561,0.31425103545188904,0.4572325646877289
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.005489841569215059,0.01916142925620079,0.814764678478241,0.16043667495250702
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.03558562323451042,0.03558562323451042,0.630770206451416,0.2979547679424286
