0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.45543602108955383,0.1898539811372757,0.3546939492225647,1.2541091564344242e-05
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.01240199338644743,0.7672841548919678,0.21983060240745544,0.00048087743925862014
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.02541007287800312,0.015411988832056522,0.9535059928894043,0.005669753532856703
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,True,0.009555468335747719,0.015754302963614464,0.9746842384338379,4.115946467209142e-06
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.1315462589263916,0.27848342061042786,0.5895493626594543,0.00041868287371471524
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.008835289627313614,0.13820716738700867,0.795327365398407,0.057613324373960495
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.0070423888973891735,0.011610937304794788,0.922370970249176,0.058965202420949936
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.1807597279548645,0.008999497629702091,0.8101089000701904,0.00012837092799600214
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.00994481984525919,0.15556317567825317,0.697185754776001,0.13728401064872742
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.09258657693862915,0.22210364043712616,0.6841273903846741,0.0011654930422082543
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.0008128731860779226,0.034564245492219925,0.8914237022399902,0.07317250967025757
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.14625184237957,0.01200508326292038,0.8416213393211365,0.00011769370030378923
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.014706055633723736,0.024246186017990112,0.8029233813285828,0.15810498595237732
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,False,0.005238494835793972,0.02071864902973175,0.7774615287780762,0.19657306373119354
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,False,0.08998768031597137,0.054580289870500565,0.6649240255355835,0.19050393998622894
QTL analysis is used to,identify chromosome regions associated with a complex trait in a genetic cross,determine which genes are expressed at a developmental stage,map genes in bacterial viruses,identify RNA polymerase binding sites,A,False,0.000404161139158532,0.26882442831993103,0.730740487575531,2.927733294200152e-05
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,1.0/64,1.0/32,1.0/128,1.0/256,A,False,0.08050288259983063,0.0430900901556015,0.8654876351356506,0.010894881561398506
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"10,000–15,000","19,000–20,000","29,000–30,000","100,000",B,False,0.07871119678020477,0.3997284471988678,0.5132614970207214,0.008296098560094833
With which of the following relatives is an individual most likely to share a common HLA haplotype?,Father,Mother,Sister,Son,C,False,0.12115398794412613,0.1762780249118805,0.3293306827545166,0.3731805682182312
Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,APP,PS1,PS2,APOE,D,False,0.014037102460861206,0.4102242588996887,0.5267384052276611,0.04899429902434349
The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?,4,7,15,22,D,False,0.009932316839694977,0.09423519670963287,0.7890216112136841,0.106782466173172
X-chromosome inactivation,results in genetically turning off one of the two X chromosomes in female mammals,takes place in humans so that the same X chromosome is inactive in all of the cells of a female,is the cause of the Y chromosome being genetically inactive,occurs in fruit flies but not in mammals,A,False,9.600786142982543e-05,0.00043027737410739064,0.9989200830459595,0.0005524870357476175
The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,D,False,0.04583295062184334,0.14117540419101715,0.812408447265625,0.0005769516574218869
Homeobox sequences,are present in the genome of many animal species,are found in prokaryotes but not in eukaryotes,were identified as the integration sites for bacterial viruses,represent integration sites for transposable elements,A,False,0.0006476514972746372,0.002561511704698205,0.9119612574577332,0.08482560515403748
Which of the following karyotypes is diagnostic of Down syndrome,"46,XX,der(14;21)(q10;q10)pat+21","47,XY,+13","45,XX,rob,(14;21)(q10;q10)","46,XY,t(2;3)(q21;q12)",A,True,0.3891325891017914,0.3434082865715027,0.2674466669559479,3.4787581171258353e-06
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",structural and anatomical; psychological and social,psychological and social; structural and anatomical,structural and psychological; anatomical and social,social and anatomical; psychological and structural,A,False,0.005074539687484503,0.02577064000070095,0.9670361280441284,0.002115383045747876
Which of the following would result in Angelman syndrome?,Maternal UPD 15,Paternal UPD 15,Deletion in the paternally derived chromosome 15,A mutation in the SNRPN promoter,B,False,4.948906644131057e-05,0.03291723504662514,0.9619826674461365,0.005048021674156189
