0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.10117484629154205,0.12204014509916306,0.29275909066200256,0.25835898518562317
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,True,0.19689728319644928,0.15334375202655792,0.22311384975910187,0.2528211176395416
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,False,0.29527121782302856,0.14847169816493988,0.1394762545824051,0.11562986671924591
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.13021141290664673,0.16719476878643036,0.2016753852367401,0.25895631313323975
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.05943973362445831,0.02637622319161892,0.30185988545417786,0.22084541618824005
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.3067963421344757,0.06430801004171371,0.2389332354068756,0.1860813945531845
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.13254712522029877,0.07552306354045868,0.24763061106204987,0.2185332477092743
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.08458106964826584,0.03995326906442642,0.40351372957229614,0.31425681710243225
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.153877392411232,0.07268653810024261,0.2383299618959427,0.25370094180107117
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.07772450149059296,0.02859324775636196,0.39471760392189026,0.30740636587142944
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,False,0.16267777979373932,0.06781419366598129,0.14356264472007751,0.18433807790279388
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.04935596510767937,0.04935596510767937,0.41325244307518005,0.17226924002170563
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.09928201884031296,0.060217585414648056,0.3465282917022705,0.21018004417419434
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.0846947506070137,0.0619639977812767,0.21627561748027802,0.35657820105552673
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.07328028976917267,0.17579028010368347,0.17579028010368347,0.3721480369567871
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.048641715198755264,0.058673106133937836,0.10961579531431198,0.12421097606420517
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.08003078401088715,0.0485411211848259,0.358673095703125,0.358673095703125
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.044321272522211075,0.05346166342496872,0.22508199512958527,0.37109747529029846
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,True,0.11070314049720764,0.11070314049720764,0.3409896790981293,0.23435856401920319
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.1541733741760254,0.10596169531345367,0.2387883961200714,0.3474350571632385
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.1621074080467224,0.1046644002199173,0.26726990938186646,0.20815002918243408
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.071658194065094,0.06323812901973724,0.2834136486053467,0.36391034722328186
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.08426792174577713,0.04510536044836044,0.22906392812728882,0.04237256944179535
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.09841732680797577,0.08159083873033524,0.18386779725551605,0.49980446696281433
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.1246338039636612,0.0856594666838646,0.33878976106643677,0.20548638701438904
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,True,0.06134229898452759,0.06950993090867996,0.21410565078258514,0.5136128067970276
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.31388556957244873,0.08448115736246109,0.12291935086250305,0.1788465976715088
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.09654033184051514,0.12396024167537689,0.1919933706521988,0.4605681598186493
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.19647732377052307,0.1051667258143425,0.36706793308258057,0.13503676652908325
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,True,0.09247045964002609,0.059703417122364044,0.2675721347332001,0.3893151581287384
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.08029782772064209,0.07543282955884933,0.1809539645910263,0.4918838143348694
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.22057253122329712,0.13378401100635529,0.22057253122329712,0.24994142353534698
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.07679641991853714,0.06777258962392807,0.17306338250637054,0.2087542861700058
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,False,0.08858194202184677,0.01198826264590025,0.22620192170143127,0.05372766777873039
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,True,0.10677149891853333,0.06893685460090637,0.17603643238544464,0.11365766823291779
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,False,0.08953806757926941,0.029068753123283386,0.2590869963169098,0.3326742649078369
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.23214119672775269,0.08539998531341553,0.09090779721736908,0.05179770290851593
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,False,0.12364461272954941,0.12364461272954941,0.26175564527511597,0.296608030796051
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.1301405429840088,0.05425064638257027,0.2431345283985138,0.2431345283985138
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,False,0.08147583901882172,0.06345345079898834,0.30271947383880615,0.3886995017528534
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,False,0.14533409476280212,0.1131863072514534,0.15470734238624573,0.3275154232978821
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,False,0.13966168463230133,0.4874671697616577,0.1582574099302292,0.037589430809020996
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.060898635536432266,0.08323856443166733,0.3971089720726013,0.2125571370124817
