0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,False,0.1442386656999588,0.07720538228750229,0.0991336777806282,0.3920813202857971
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,False,0.10564069449901581,0.06820675730705261,0.0992402508854866,0.21009160578250885
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,False,0.05108001083135605,0.017652777954936028,0.08421669900417328,0.5158898234367371
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.008236353285610676,0.005660756956785917,0.005660756956785917,0.02383267879486084
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,False,0.06837710738182068,0.017288440838456154,0.06034258380532265,0.3472476303577423
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.12323526293039322,0.06596308201551437,0.11576882004737854,0.4040728807449341
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.0464770682156086,0.030007850378751755,0.03400334715843201,0.2512526512145996
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.0946660041809082,0.05741783231496811,0.08354245871305466,0.2915918231010437
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,False,0.13391341269016266,0.052441246807575226,0.08122259378433228,0.5296378135681152
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.008200407028198242,0.0015169226098805666,0.0043893614783883095,0.07308942079544067
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.024419663473963737,0.03337772190570831,0.02024461328983307,0.06235779821872711
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.008652640506625175,0.0021877300459891558,0.0040872180834412575,0.16326333582401276
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.008236353285610676,0.005660756956785917,0.005660756956785917,0.02383267879486084
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,False,0.005534813739359379,0.004884455353021622,0.01171720027923584,0.07640574127435684
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,False,0.08704441040754318,0.03202184662222862,0.07681641727685928,0.23661121726036072
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,False,0.06624853610992432,0.048468466848134995,0.051594413816928864,0.316054105758667
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,False,0.12207632511854172,0.030865730717778206,0.06138383597135544,0.42608824372291565
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,True,0.01921170949935913,0.009074968285858631,0.02176971733570099,0.18227562308311462
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,True,0.07445069402456284,0.05116916075348854,0.06993995606899261,0.4560658037662506
You are the community relations director for a public water utility that has been targeted by a group of activists opposed to adding fluoride to drinking water. The activists are waging an intense internet campaign against the practice. Your utility has overwhelming evidence of the health benefits to fluoridated water. The manager of the utility asks you to initiate a blog to get the health message out. What is the most appropriate course of action?,"Use utility employees to write the blog, posing as dentists and physicians.",Recruit a group of volunteer dentists and physicians to write the blog under their own identities with no reference to the utility.,"Write the blog yourself, identifying yourself as an employee of the utility, and quote the scientific opinions of a variety of sources.","Compensate a group of dentists and physicians to write the blog, identifying the utility as the sponsor of the blog but without disclosing the compensation.",C,False,0.08767300844192505,0.08236116915941238,0.16379472613334656,0.18560375273227692
Within which area of public relations is likely to involve lobbying?,Corporate,Financial relations,Public affairs,Business to business,C,False,0.043980300426483154,0.026675399392843246,0.049836207181215286,0.4441852867603302
During which step of the Chase Jones model of issues management should the strengths and weaknesses of the organisation be reviewed?,Identification,Analysis,Strategy,Evaluation,B,False,0.10642154514789581,0.06871090829372406,0.12059139460325241,0.39540398120880127
"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?",Consider the comprehension level of all of the target audiences.,Consider how riding the bus could similarly affect all of the target audiences.,Consider which mediums would most effectively reach all of the target audiences.,Consider the geographic locations where all of the target audiences live and work.,B,False,0.25356924533843994,0.1197776347398758,0.1637166142463684,0.22377406060695648
A book launch would be what kind of common tactic?,Competition,Event,Award,Sponsorship,B,False,0.08186142146587372,0.06786550581455231,0.10511215031147003,0.5014620423316956
Newsletters generally fall in to which writing category?,Media writing,Personal writing,Business writing,Promotional writing,D,True,0.10462791472673416,0.024851307272911072,0.05961518734693527,0.36518731713294983
The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),exploratory survey,situation interview,communication audit,stakeholder analysis,D,True,0.005912795662879944,0.0013193230843171477,0.0033690091222524643,0.007132192607969046
Which of the following Internet-related challenges is most significant in the public relations field?,Representing clients using new social media environments,"Finding stable, cost-effective Internet providers",Training staff to use social media,Staying abreast of changing technology,D,True,0.1519741415977478,0.05252085626125336,0.1183575689792633,0.4397517144680023
Which of these ways a business impacts on the world do stakeholders NOT normally look at?,Workforce development,Impact on local communities,Impact on the environment,Financial performance,D,True,0.03402995318174362,0.019389683380723,0.07668768614530563,0.5000665187835693
"The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.",public issues,crisis management,consumer relations,community relations,B,False,0.052816230803728104,0.02343706041574478,0.09269537031650543,0.4422248899936676
"In the Westley and MacLean model of communication, which role describes the way in which the public obtain or receive the message?",The advocacy role,The channel's role,The gatekeeper role,The behavioural role,B,False,0.0650932714343071,0.025490891188383102,0.06929142028093338,0.35189089179039
Which guerrilla marketing technique involves the spreading of a message about a product issue or service through online peer-to peer communication?,Fan pages,Street activities,Grassroots marketing,Viral campaigns,D,True,0.08818019181489944,0.0534839853644371,0.1866774559020996,0.4766976237297058
A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.,public relations,public issues,crisis management,consumer relations,B,False,0.034201815724372864,0.046748340129852295,0.09297017008066177,0.5350064635276794
The Web was effectively invented by Berners-Lee in which year?,1980,1989,1991,1993,C,False,0.016652189195156097,0.0054061743430793285,0.013805149123072624,0.04526533931493759
Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?,Online consumer goods purchases,Video,Music,Online auctions,B,False,0.11640183627605438,0.04852350056171417,0.13190056383609772,0.4603781998157501
The goal of ________ advertising is to promote a specific product and service to a target audience.,person-oriented,product-oriented,profit-oriented,idea-oriented,B,False,0.07664450258016586,0.03401079401373863,0.05969080701470375,0.38923293352127075
Which of these types of survey question seeks qualitative information?,Likert scale,Multiple choice,Open-ended,Yes/No,C,False,0.1033739522099495,0.024553464725613594,0.05197968706488609,0.38408082723617554
The American flag is an example of a,stereotype,semantic device,symbol,message,C,False,0.13641847670078278,0.0685955286026001,0.11309489607810974,0.4472990036010742
Approximately half of all public relations practitioners work in,government,business and commercial areas,health care and hospitals,public relations firms,B,False,0.07338560372591019,0.04181385412812233,0.06476256251335144,0.509397029876709
