0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,False,0.06224466487765312,0.0484761968255043,0.19172707200050354,0.6691932082176208
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,False,0.15468208491802216,0.10631134361028671,0.47645437717437744,0.19861572980880737
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,False,0.002995966235175729,0.0049395132809877396,0.041358038783073425,0.9413045644760132
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.00014720228500664234,0.00012203498772578314,6.953344563953578e-05,0.001684641232714057
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,True,0.025482703000307083,0.009374563582241535,0.5118337869644165,0.45169174671173096
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.08282209187746048,0.07309024035930634,0.420605331659317,0.420605331659317
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.06289058923721313,0.03814507648348808,0.6761376261711121,0.033662907779216766
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.06689842790365219,0.05210055038332939,0.4362325370311737,0.4362325370311737
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,False,0.11543276906013489,0.07933570444583893,0.2156568318605423,0.5862160325050354
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.029511548578739166,0.03789357841014862,0.5231046676635742,0.40739431977272034
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,True,0.048985838890075684,0.10370301455259323,0.4101533889770508,0.4101533889770508
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.10133884847164154,0.061465125530958176,0.3121456503868103,0.5146411657333374
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.00014720228500664234,0.00012203498772578314,6.953344563953578e-05,0.001684641232714057
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,True,0.0032811725977808237,0.006130037363618612,0.03997286409139633,0.03527592867612839
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,False,0.01848238706588745,0.01848238706588745,0.4206571877002716,0.5401345491409302
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,False,0.15543782711029053,0.09427779167890549,0.19958612322807312,0.5425313115119934
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,False,0.040542419999837875,0.014914724044501781,0.299570232629776,0.6341902017593384
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,True,0.26900118589401245,0.14398597180843353,0.18488164246082306,0.3913944363594055
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,False,0.08701666444540024,0.07679193466901779,0.4419071078300476,0.3899816572666168
You are the community relations director for a public water utility that has been targeted by a group of activists opposed to adding fluoride to drinking water. The activists are waging an intense internet campaign against the practice. Your utility has overwhelming evidence of the health benefits to fluoridated water. The manager of the utility asks you to initiate a blog to get the health message out. What is the most appropriate course of action?,"Use utility employees to write the blog, posing as dentists and physicians.",Recruit a group of volunteer dentists and physicians to write the blog under their own identities with no reference to the utility.,"Write the blog yourself, identifying yourself as an employee of the utility, and quote the scientific opinions of a variety of sources.","Compensate a group of dentists and physicians to write the blog, identifying the utility as the sponsor of the blog but without disclosing the compensation.",C,True,0.1155746653676033,0.061862654983997345,0.7536414265632629,0.04817868396639824
Within which area of public relations is likely to involve lobbying?,Corporate,Financial relations,Public affairs,Business to business,C,False,0.004091731738299131,0.004091731738299131,0.2234009951353073,0.41736796498298645
During which step of the Chase Jones model of issues management should the strengths and weaknesses of the organisation be reviewed?,Identification,Analysis,Strategy,Evaluation,B,False,0.042261525988578796,0.042261525988578796,0.45435425639152527,0.45435425639152527
"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?",Consider the comprehension level of all of the target audiences.,Consider how riding the bus could similarly affect all of the target audiences.,Consider which mediums would most effectively reach all of the target audiences.,Consider the geographic locations where all of the target audiences live and work.,B,False,0.07707744836807251,0.04125659167766571,0.7312905192375183,0.1439996361732483
A book launch would be what kind of common tactic?,Competition,Event,Award,Sponsorship,B,False,0.029038745909929276,0.04787679761648178,0.16710644960403442,0.7489191293716431
Newsletters generally fall in to which writing category?,Media writing,Personal writing,Business writing,Promotional writing,D,True,0.025692084804177284,0.00834099855273962,0.06983833014965057,0.18984028697013855
The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),exploratory survey,situation interview,communication audit,stakeholder analysis,D,True,0.00990649126470089,0.014413857832551003,0.08294602483510971,0.8917538523674011
Which of the following Internet-related challenges is most significant in the public relations field?,Representing clients using new social media environments,"Finding stable, cost-effective Internet providers",Training staff to use social media,Staying abreast of changing technology,D,False,0.27101340889930725,0.03667767345905304,0.3943221867084503,0.27101340889930725
Which of these ways a business impacts on the world do stakeholders NOT normally look at?,Workforce development,Impact on local communities,Impact on the environment,Financial performance,D,False,0.008684758096933365,0.00984111987054348,0.6899157762527466,0.28759968280792236
"The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.",public issues,crisis management,consumer relations,community relations,B,False,0.017245866358280182,0.0601939857006073,0.1854105293750763,0.7333129048347473
"In the Westley and MacLean model of communication, which role describes the way in which the public obtain or receive the message?",The advocacy role,The channel's role,The gatekeeper role,The behavioural role,B,False,0.06438076496124268,0.03904890641570091,0.2546308636665344,0.6108276844024658
Which guerrilla marketing technique involves the spreading of a message about a product issue or service through online peer-to peer communication?,Fan pages,Street activities,Grassroots marketing,Viral campaigns,D,False,0.013751468621194363,0.007360631600022316,0.6625828742980957,0.2762056291103363
A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.,public relations,public issues,crisis management,consumer relations,B,False,0.009334882721304893,0.028753461316227913,0.2124609500169754,0.7415615320205688
The Web was effectively invented by Berners-Lee in which year?,1980,1989,1991,1993,C,False,0.002127131214365363,0.0022643194533884525,0.010147975757718086,0.02148326300084591
