0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,True,0.5468637347221375,0.15667909383773804,0.22796671092510223,0.04778441786766052
Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,False,0.37737345695495605,0.10811930894851685,0.37737345695495605,0.12251521646976471
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,False,0.07268676161766052,0.05660850182175636,0.6085987687110901,0.25370171666145325
"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,True,0.3583855628967285,0.06227806583046913,0.24631455540657043,0.31627413630485535
The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,True,0.22781634330749512,0.07396113872528076,0.4822871685028076,0.20104719698429108
The heritability for traits of a cloned population is,0%,25%,50%,75%,A,False,0.038828831166028976,0.09314551949501038,0.536015510559082,0.3251098394393921
Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,False,0.09855387359857559,0.0597759485244751,0.5671384334564209,0.26789724826812744
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,False,0.35023799538612366,0.21243008971214294,0.2727656364440918,0.1460009217262268
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,False,0.17608799040317535,0.1995338648557663,0.5423892140388489,0.07340440154075623
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,False,0.1249975711107254,0.1249975711107254,0.4362843632698059,0.2998535931110382
The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,True,0.06568758189678192,0.09557487070560455,0.7062081098556519,0.12272055447101593
Our ability to perceive depth depends primarily on what other perceptual abilities?,proximity and similarity,top-down processing and bottom-up processing,binocular and monocular cues,size and shape constancy,C,True,0.19919267296791077,0.10662014782428741,0.4216908812522888,0.25576844811439514
A person who sustains major injuries that involve the destruction of the medulla oblongata will,be paralyzed,fall into a coma,suffer severe speech impairment,die,D,False,0.0933452844619751,0.07269738614559174,0.5371650457382202,0.2875237464904785
Which of the following terms applies to IQ tests?,achievement,standardized,projective,triarchic,B,False,0.11312789469957352,0.07775158435106277,0.44742950797080994,0.3484584391117096
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,False,0.04412873461842537,0.05000440776348114,0.609178364276886,0.28775548934936523
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,False,0.21373587846755981,0.18862125277519226,0.3109838664531708,0.27444228529930115
All of the following are examples of punishment EXCEPT,grounding a teenager for staying out past curfew,spanking a child for misbehavior,permanently revoking the driving privileges of a third-time DWI driver,refusing to return the boss' phone call after not getting the expected raise,D,False,0.08979053795337677,0.11529333889484406,0.45599400997161865,0.3133997917175293
Which of the following must be done when universal screening data show that very few students are successfully meeting school competencies?,Changes must be made in the delivery of the core program.,Students who are not meeting competencies must be given strategic or supplemental instruction.,Students must be given more time to develop competencies.,Students who are not meeting competencies must be evaluated for learning disabilities.,A,True,0.3542232811450958,0.16732323169708252,0.24345387518405914,0.21484728157520294
Substances that are toxic to humans often taste,sour,sweet,salty,bitter,D,False,0.08452379703521729,0.04524232819676399,0.42924728989601135,0.42924728989601135
All public institutions subscribe to all of the following ethical guidelines EXCEPT,avoiding unnecessary deception to humans,avoiding unnecessary pain to humans and other animals,avoiding use of animals when computers are available,protecting confidentiality,C,True,0.12086799740791321,0.05709400027990341,0.4780421853065491,0.32855328917503357
Which of the following kinds of tests is most likely to be an achievement test?,an IQ test,a classroom test over a chapter in a textbook,an entrance exam for law school,a personality test based on the Big Five personality traits,B,False,0.11172101646661758,0.05979995056986809,0.5673661828041077,0.2365134060382843
A fetus with the genotype XXY will most likely,result in a miscarriage.,suffer from sterility as an adult.,be color blind.,grow into a depressed adult.,B,False,0.07809995859861374,0.16533760726451874,0.5092756748199463,0.24056480824947357
"Susan is a first-grade student who is referred to the school psychologist because she will not remain seated at her desk. Her teacher reports that Susan is ""always getting up and walking around the room."" What observation data is LEAST relevant to the referral concern?",Frequency,Duration,Intensity,Peer comparison,C,True,0.18555232882499695,0.08764871209859848,0.571541428565979,0.14450830221176147
"In order to prove a psychological theory,",you need to run an experiment.,you need to find statistically significant results.,you must replicate your findings.,it is impossible to prove a theory.,D,False,0.19778962433338165,0.0824509784579277,0.41872063279151917,0.2877821922302246
Research indicates that which of the following factors most influence a person's sexual orientation?,parenting style,masculine/feminine personality traits,hormones released in the womb,sexual orientation of parents,C,True,0.0788528099656105,0.04782664775848389,0.5826478600502014,0.27522337436676025
Which of the following usually increases with age in healthy adults between the ages of 18 and 70?,fluid intelligence,crystallized intelligence,g,speededness,B,False,0.09732425212860107,0.11028282344341278,0.43617701530456543,0.339695006608963
The left cerebral hemisphere is specialized for which of the following functions?,"verbal, mathematical, and recognizing emotional expressions","mathematical, spatial, and musical","verbal, analytic, and mathematical","mathematical, spatial, and analytic",C,True,0.12576214969158173,0.0864349752664566,0.5636268258094788,0.20734673738479614
Runners in a park were found to pick up their pace when another runner came into view; this finding illustrates the phenomenon of,social facilitation.,conformity.,deindividuation.,norms.,A,False,0.17564569413661957,0.13679300248622894,0.5410268306732178,0.13679300248622894
"A researcher tests the problem solving skills of twenty 10-year-old, twenty 20-year-old, and twenty 30-year-old participants for a study on age and problem solving. What research method is this researcher using?",longitudinal,stage,developmental,cross-sectional,D,False,0.22825919091701508,0.22825919091701508,0.3763357698917389,0.15688009560108185
