0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.2383289784193039,0.1357957422733307,0.44525712728500366,0.14455382525920868
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.20217014849185944,0.1784145087003708,0.4279941916465759,0.15745027363300323
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.2666715085506439,0.16174443066120148,0.38800472021102905,0.14273898303508759
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.3781646192073822,0.15764246881008148,0.3337291181087494,0.06995342671871185
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.216177836060524,0.24496157467365265,0.40387335419654846,0.09592833369970322
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.1304701566696167,0.2151089310646057,0.31298163533210754,0.2762053310871124
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.2536791265010834,0.08766915649175644,0.47393494844436646,0.11982952058315277
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.22454360127449036,0.12018952518701553,0.475358784198761,0.13619257509708405
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.11047001928091049,0.20638518035411835,0.3855782449245453,0.2650038003921509
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.11942609399557114,0.11942609399557114,0.5352305769920349,0.1969003528356552
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.023366939276456833,0.06351792812347412,0.5318290591239929,0.3655204176902771
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.21031025052070618,0.1637898087501526,0.445226788520813,0.14454397559165955
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.10613124817609787,0.09366048872470856,0.4756472408771515,0.28849464654922485
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,False,0.09025246649980545,0.11588647216558456,0.4583398699760437,0.3150120973587036
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,False,0.1795133799314499,0.10888037085533142,0.43063023686408997,0.2611904442310333
QTL analysis is used to,identify chromosome regions associated with a complex trait in a genetic cross,determine which genes are expressed at a developmental stage,map genes in bacterial viruses,identify RNA polymerase binding sites,A,False,0.07656562328338623,0.18367138504981995,0.49927055835723877,0.20812693238258362
