0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.009423600509762764,0.012100141495466232,0.848285436630249,0.13008879125118256
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,False,0.05909654498100281,0.04061641916632652,0.6353477239608765,0.2648523449897766
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.01754913665354252,0.04770350456237793,0.8455647826194763,0.08912187069654465
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.020456448197364807,0.03821767866611481,0.869830310344696,0.07140002399682999
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,False,0.48911231756210327,0.06619415432214737,0.4316401183605194,0.013034401461482048
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.44859951734542847,0.1650305539369583,0.308317631483078,0.07795489579439163
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,False,0.6737787127494812,0.19304083287715912,0.13267488777637482,0.00047850035480223596
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.14396190643310547,0.20946335792541504,0.5693803429603577,0.07705724984407425
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,False,0.026770928874611855,0.01623738929629326,0.7823612689971924,0.17456839978694916
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,False,0.7542167901992798,0.14851407706737518,0.07949386537075043,0.017737479880452156
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.10213325917720795,0.03757272660732269,0.8551512360572815,0.0050849150866270065
