0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.8704006671905518,0.02319539152085781,0.06305161118507385,0.04333469644188881
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.49110230803489685,0.10957974195480347,0.38247087597846985,0.016804596409201622
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.28190481662750244,0.09152109920978546,0.5967925190925598,0.029712548479437828
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.19791127741336823,0.41897815465927124,0.3263005018234253,0.05670252814888954
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.09510322660207748,0.05768302455544472,0.7962895631790161,0.05090508610010147
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.1529533714056015,0.10512320697307587,0.6854894161224365,0.056268397718667984
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,True,0.315096914768219,0.1488412618637085,0.40459245443344116,0.13135193288326263
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.9839569926261902,0.0031317195389419794,0.00042383212712593377,0.012386190705001354
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.19396314024925232,0.24905361235141754,0.46529340744018555,0.09162169694900513
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.5934934020042419,0.3176741600036621,0.08032059669494629,0.008465728722512722
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.4564605951309204,0.1679224818944931,0.3137204647064209,0.061775222420692444
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.4113364517688751,0.282707154750824,0.282707154750824,0.023206016048789024
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.3963862955570221,0.1652383804321289,0.3498096764087677,0.0884457379579544
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.1777419000864029,0.15685667097568512,0.620380163192749,0.04494018852710724
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.47428980469703674,0.07273469865322113,0.4185592830181122,0.03435743972659111
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.3083247244358063,0.16503435373306274,0.4486098289489746,0.07795669138431549
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.32263636589050293,0.11869128793478012,0.5319374203681946,0.026483604684472084
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.09025178849697113,0.037622544914484024,0.8562851548194885,0.015683410689234734
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.9599872827529907,0.017582781612873077,0.019923899322748184,0.002379570621997118
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,True,0.6569054126739502,0.12935234606266022,0.18820655345916748,0.02547098696231842
