0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.18789562582969666,0.11396444588899612,0.6558201313018799,0.04192517697811127
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.13558252155780792,0.1740914136171341,0.6076387166976929,0.0822349563241005
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.18182697892189026,0.18182697892189026,0.5600665211677551,0.07579676061868668
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.4342038333415985,0.12440148741006851,0.4342038333415985,0.007018251344561577
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.19461260735988617,0.24988752603530884,0.5290119051933289,0.02633794955909252
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.06668046116828918,0.2327376753091812,0.43481120467185974,0.2637263238430023
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.08826379477977753,0.03247043490409851,0.8374236226081848,0.041692864149808884
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.09291476011276245,0.07236208766698837,0.777965784072876,0.05635565146803856
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.04546311870217323,0.2037515640258789,0.4887746274471283,0.26162222027778625
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.06136811152100563,0.10117890685796738,0.7476166486740112,0.0892900750041008
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.006269997917115688,0.040885522961616516,0.5644071698188782,0.38791102170944214
