0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,True,0.6271915435791016,0.0961829423904419,0.2614523470401764,0.014750132337212563
Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,False,0.28419849276542664,0.09226573258638382,0.5309526920318604,0.09226573258638382
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,False,0.020918866619467735,0.01846083626151085,0.7849746942520142,0.1751515418291092
"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,True,0.46237897872924805,0.026085639372467995,0.10317070037126541,0.40804800391197205
The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,True,0.24628600478172302,0.06227085366845131,0.5213874578475952,0.16926972568035126
The heritability for traits of a cloned population is,0%,25%,50%,75%,A,False,0.014004606753587723,0.06276428699493408,0.6747797131538391,0.24823762476444244
Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,False,0.0413670614361763,0.0413670614361763,0.6470897197723389,0.26974713802337646
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,False,0.21006989479064941,0.26973506808280945,0.39246219396591187,0.1274138242006302
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,False,0.11073998361825943,0.14219294488430023,0.7221153974533081,0.02470942959189415
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,False,0.0667051374912262,0.07558682560920715,0.5585153102874756,0.2989517152309418
The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,True,0.012940589338541031,0.0398598238825798,0.9072054028511047,0.0398598238825798
Our ability to perceive depth depends primarily on what other perceptual abilities?,proximity and similarity,top-down processing and bottom-up processing,binocular and monocular cues,size and shape constancy,C,True,0.10998614877462387,0.0667099729180336,0.5585557818412781,0.2638430893421173
A person who sustains major injuries that involve the destruction of the medulla oblongata will,be paralyzed,fall into a coma,suffer severe speech impairment,die,D,False,0.02038092352449894,0.02309461124241352,0.6749234795570374,0.28134995698928833
Which of the following terms applies to IQ tests?,achievement,standardized,projective,triarchic,B,False,0.04008110612630844,0.04008110612630844,0.4882878065109253,0.43091249465942383
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,False,0.013097058981657028,0.01681695692241192,0.8102864027023315,0.1595548391342163
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,False,0.15949909389019012,0.15949909389019012,0.3826184570789337,0.2979835569858551
All of the following are examples of punishment EXCEPT,grounding a teenager for staying out past curfew,spanking a child for misbehavior,permanently revoking the driving privileges of a third-time DWI driver,refusing to return the boss' phone call after not getting the expected raise,D,False,0.0742947980761528,0.0742947980761528,0.6220627427101135,0.22884412109851837
Which of the following must be done when universal screening data show that very few students are successfully meeting school competencies?,Changes must be made in the delivery of the core program.,Students who are not meeting competencies must be given strategic or supplemental instruction.,Students must be given more time to develop competencies.,Students who are not meeting competencies must be evaluated for learning disabilities.,A,True,0.3188938796520233,0.11731451004743576,0.28142285346984863,0.28142285346984863
Substances that are toxic to humans often taste,sour,sweet,salty,bitter,D,True,0.02231009304523468,0.017375119030475616,0.30798137187957764,0.6519964933395386
All public institutions subscribe to all of the following ethical guidelines EXCEPT,avoiding unnecessary deception to humans,avoiding unnecessary pain to humans and other animals,avoiding use of animals when computers are available,protecting confidentiality,C,True,0.08565681427717209,0.035707078874111176,0.49292096495628357,0.38388723134994507
Which of the following kinds of tests is most likely to be an achievement test?,an IQ test,a classroom test over a chapter in a textbook,an entrance exam for law school,a personality test based on the Big Five personality traits,B,False,0.039086610078811646,0.020921556279063225,0.7850756049156189,0.15459053218364716
A fetus with the genotype XXY will most likely,result in a miscarriage.,suffer from sterility as an adult.,be color blind.,grow into a depressed adult.,B,False,0.026205256581306458,0.10364380478858948,0.6758424639701843,0.193632110953331
"Susan is a first-grade student who is referred to the school psychologist because she will not remain seated at her desk. Her teacher reports that Susan is ""always getting up and walking around the room."" What observation data is LEAST relevant to the referral concern?",Frequency,Duration,Intensity,Peer comparison,C,True,0.08535826951265335,0.045688994228839874,0.8098567724227905,0.05866582691669464
"In order to prove a psychological theory,",you need to run an experiment.,you need to find statistically significant results.,you must replicate your findings.,it is impossible to prove a theory.,D,False,0.14333218336105347,0.052728962153196335,0.5668898224830627,0.2363148182630539
Research indicates that which of the following factors most influence a person's sexual orientation?,parenting style,masculine/feminine personality traits,hormones released in the womb,sexual orientation of parents,C,True,0.03333384171128273,0.01574579067528248,0.7586747407913208,0.19182300567626953
Which of the following usually increases with age in healthy adults between the ages of 18 and 70?,fluid intelligence,crystallized intelligence,g,speededness,B,False,0.04094424843788147,0.07649391889572144,0.44019216299057007,0.44019216299057007
The left cerebral hemisphere is specialized for which of the following functions?,"verbal, mathematical, and recognizing emotional expressions","mathematical, spatial, and musical","verbal, analytic, and mathematical","mathematical, spatial, and analytic",C,True,0.06732793152332306,0.036038048565387726,0.8202221393585205,0.07629254460334778
Runners in a park were found to pick up their pace when another runner came into view; this finding illustrates the phenomenon of,social facilitation.,conformity.,deindividuation.,norms.,A,False,0.10700903087854385,0.12125710397958755,0.6977865099906921,0.0735461562871933
"A researcher tests the problem solving skills of twenty 10-year-old, twenty 20-year-old, and twenty 30-year-old participants for a study on age and problem solving. What research method is this researcher using?",longitudinal,stage,developmental,cross-sectional,D,False,0.18182694911956787,0.18182694911956787,0.4942568242549896,0.14160695672035217
"Bessie could barely detect sweetness in a sip of water from a pitcher in which one quarter of a teaspoon of water was mixed into a half gallon of water. For taste, this is Bessie's",absolute threshold,difference threshold,subliminal stimulation,distal stimulus,A,False,0.09021886438131332,0.022810902446508408,0.7553933262825012,0.13126766681671143
"During assigned seat-work time, Mary, a firstgrade student, sometimes leaves her seat and attempts to play with a block collection. When she leaves her seat, she fails to complete her seat work. Which of the following behavioral intervention strategies will most effectively increase the long-term likelihood that Mary will complete her seat work?",Allowing Mary to read from a teacherselected book for a specific period of time before beginning her seat work,Allowing Mary to play with the blocks afterward if she remains in her seat throughout the assigned seat-work time,Explaining to Mary the value of completing seat work in terms of the objectives of the lesson,Removing the blocks from the classroom during the assigned seat-work time,B,True,0.0298150647431612,0.4663861095905304,0.4115842878818512,0.09183686226606369
Which of the following are most directly designed to help determine whether the findings of a study reflect a truly replicable phenomenon rather than the outcomes of chance processes?,Inferential statistics,Descriptive statistics,Standard deviation,Extraneous variables,A,False,0.12861238420009613,0.16514156758785248,0.5764006972312927,0.12861238420009613
An unjustifiable and usually negative attitude toward a group and its members is called,prejudice,ethnocentrism,in-group bias,discrimination,A,False,0.02229679748415947,0.05348723754286766,0.3487806022167206,0.5750420093536377
