0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.03228852525353432,0.08776930719614029,0.7348833680152893,0.1447071135044098
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.15298889577388763,0.15298889577388763,0.47123897075653076,0.22259753942489624
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,False,0.37784460186958313,0.17848116159439087,0.37784460186958313,0.0656595379114151
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,False,0.06700831651687622,0.20640015602111816,0.3856062591075897,0.34029632806777954
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.04075431451201439,0.014992675743997097,0.8185723423957825,0.1255321353673935
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.13556498289108276,0.08222430944442749,0.6075600981712341,0.174068883061409
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.10142751038074493,0.06971003860235214,0.6613904237747192,0.1672256886959076
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.01812118850648403,0.01812118850648403,0.6799925565719604,0.2834630608558655
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.1895201951265335,0.14759846031665802,0.5151692628860474,0.14759846031665802
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.01496438030153513,0.0070686726830899715,0.8170274496078491,0.16088223457336426
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.28254541754722595,0.1334650069475174,0.46583864092826843,0.11778245121240616
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.027687469497323036,0.027687469497323036,0.9168830513954163,0.027687469497323036
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.016756044700741768,0.016756044700741768,0.8073514699935913,0.15897692739963531
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.03765057027339935,0.03765057027339935,0.5197501182556152,0.4047817885875702
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.02412448823451996,0.15731142461299896,0.4845533072948456,0.33302828669548035
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.010030833072960377,0.05772345885634422,0.7032157182693481,0.22830070555210114
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.02303292043507099,0.02303292043507099,0.6731206178665161,0.28059840202331543
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.020042916759848595,0.03744509816169739,0.3552692234516144,0.5857399106025696
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,True,0.0306761022657156,0.09448904544115067,0.6981848478317261,0.17652878165245056
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.03188108652830124,0.059561703354120255,0.34275394678115845,0.5651057362556458
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.06211010366678238,0.13148710131645203,0.5892843008041382,0.21678559482097626
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.014461933635175228,0.02701845020055771,0.47891345620155334,0.47891345620155334
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.020028138533234596,0.008348970673978329,0.9650097489356995,0.006502184551209211
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.043642718344926834,0.07195468246936798,0.41407060623168945,0.4692034423351288
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.027157820761203766,0.04477567598223686,0.700409471988678,0.22738966345787048
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.0170730110257864,0.02814863622188568,0.5653805136680603,0.38857996463775635
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,False,0.32968366146087646,0.083357073366642,0.4796868860721588,0.10703261941671371
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.04930388182401657,0.22096467018127441,0.364309161901474,0.364309161901474
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.038389790803194046,0.038389790803194046,0.8737476468086243,0.04929346963763237
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.05413539335131645,0.07876653224229813,0.5136222839355469,0.35300710797309875
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.05753461644053459,0.06519526243209839,0.3310888707637787,0.5458732843399048
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,False,0.10964790731668472,0.12424735724925995,0.3827087879180908,0.3827087879180908
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.06855794787406921,0.0880301371216774,0.4470539391040802,0.3945237100124359
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,False,0.03268592804670334,0.0026830246206372976,0.9552229046821594,0.009364676661789417
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,True,0.0560808964073658,0.06354798376560211,0.6832051873207092,0.19574157893657684
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,False,0.019084878265857697,0.010215398855507374,0.6320043802261353,0.3382875919342041
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.5734689235687256,0.0776105746626854,0.270887553691864,0.0776105746626854
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,False,0.05156474933028221,0.09633562713861465,0.7118293642997742,0.1401675045490265
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.11702828854322433,0.04878464713692665,0.7631202936172485,0.07098124176263809
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,False,0.03574850782752037,0.08575621992349625,0.7180280089378357,0.16021370887756348
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,False,0.1560257375240326,0.12151297181844711,0.17680032551288605,0.5445833206176758
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,False,0.06116980314254761,0.5803629755973816,0.3106459081172943,0.04763909429311752
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.01210969127714634,0.0373004786670208,0.848954975605011,0.1013932153582573
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,True,0.0234846081584692,0.03871957212686539,0.8812534213066101,0.056336645036935806
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,False,0.03744019940495491,0.05447516217827797,0.6636433601379395,0.24414077401161194
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.0046311309561133385,0.020755289122462273,0.6065585017204285,0.36789631843566895
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.09246739000082016,0.02337941899895668,0.46958819031715393,0.4144101142883301
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.008451282978057861,0.005125962197780609,0.9768354892730713,0.009576559066772461
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.015332796610891819,0.06064238399267197,0.6519670486450195,0.2717803120613098
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.02825627103447914,0.08703543990850449,0.44200244545936584,0.44200244545936584
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,False,0.2011491358280182,0.09501609951257706,0.546779990196228,0.15665508806705475
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,False,0.09140825271606445,0.023111626505851746,0.8672574162483215,0.017999352887272835
