0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,True,0.4520684778690338,0.1884501725435257,0.35207128524780273,0.007307006511837244
Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,False,0.03458861634135246,0.023772383108735085,0.6130978465080261,0.3281676471233368
The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,False,0.29116204380989075,0.12137439846992493,0.4800450801849365,0.10711253434419632
Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,False,0.20118680596351624,0.07401248067617416,0.5468823909759521,0.17754670977592468
The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,False,0.12659069895744324,0.07678114622831345,0.7284792065620422,0.06775911897420883
"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,False,0.3788626194000244,0.05127348378300667,0.42930760979652405,0.13937577605247498
Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,False,0.024547236040234566,0.051966503262519836,0.7173753976821899,0.205531507730484
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,False,0.4579974412918091,0.21634268760681152,0.314776748418808,0.010771067813038826
The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,False,0.027544286102056503,0.05831126123666763,0.8049620985984802,0.1089397668838501
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,True,0.08484919369220734,0.0583159439265728,0.8050267100334167,0.05146363377571106
One reason that older adults show high levels of optimism is that,Many pessimists die at a younger age,They do not really know what is going on,This may be a warning sign for dementia,Our measures have low validity,A,False,0.019372999668121338,0.017096612602472305,0.7269665002822876,0.23601146042346954
Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,Immunization,Accommodation,Avoidance,Assimilation,A,False,0.01592237688601017,0.04328150302171707,0.8693323135375977,0.07135914266109467
Which of the following is most strongly associated with loss of bone density?,Genetic factors,Lifestyle factors like not exercising,Hormonal factors such as loss of estrogen,Cohort factors,B,False,0.051520004868507385,0.02757667377591133,0.48880821466445923,0.4313717484474182
That super sweet iced tea that your grandmother gives you might be that way because she,Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,Is a member of that cohort that really enjoys sweets,Is trying to get you to be a little sweeter than you have been in the past,Has experienced damage in her parietal lobe where sweet sensations are directed,A,False,0.10291031748056412,0.03341008722782135,0.6710595488548279,0.19226178526878357
A shortage of these two vitamins can produce symptoms that mimic dementia:,A and C,B6 and B12,B6 and D,B12 and E,B,False,0.0430125929415226,0.029562093317508698,0.8639310598373413,0.06258295476436615
Which of the following is one of McAdam's levels of personality?,Control,Identity,Generativity,Assimilation,B,False,0.004512890707701445,0.017848828807473183,0.9745129942893982,0.0031016613356769085
"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",Moderate amounts of alcohol,Social support,Good genes,Avoiding stress,C,True,0.07462143898010254,0.1085735633969307,0.7079885601997375,0.1085735633969307
Surveys of older adults who are living together show that they tend to view cohabitation as,A first step toward eventual marriage,An alternative to marriage,A way to save on expenses,Their swan song,B,False,0.09396795183420181,0.056994449347257614,0.37165048718452454,0.47720867395401
Older adults may be more attached to a place than younger adults because,That place holds many memories,It's much harder to move when you're older,Young adults pay less attention to place then do older adults,That place represents transcendence,A,False,0.04682246968150139,0.010447504930198193,0.7324267029762268,0.20984376966953278
The Hayflick number for human cells is,Unknown,Between 45 and 55,Less than 30,More than 60,B,False,0.06971132010221481,0.10142937302589417,0.6614025831222534,0.16722875833511353
High levels of self-care behaviors have been associated with high levels of,Neuroticism,Extraversion,Agreeableness,Secondary control,C,True,0.03856998682022095,0.03403789550065994,0.7746989130973816,0.15254725515842438
Research has offered some longitudinal as well as cross sectional support for the theory put forth by,Peck,Foos,Levenson,Erikson,D,False,0.028000986203551292,0.12549172341823578,0.8183088302612305,0.028000986203551292
"Which of the following is more likely to be a cohort, rather than an age, difference?",A higher proportion of older women have completed menopause,A smaller proportion of older women report dreams about sex,A higher proportion of older men are bald,A higher proportion of older men and women are victims of cancer,B,False,0.0126928286626935,0.039096664637327194,0.6930049657821655,0.25494229793548584
Fear of aging has been associated with high levels of,Introversion,Neuroticism,Rigidity,Mid-life crisis,B,False,0.01974222995340824,0.017422456294298172,0.6537728905677795,0.3088204562664032
In which dementia are cognitive symptoms less likely?,Parkinson's,Pick's,Huntington's,NeuroAIDS,A,False,0.0104886619374156,0.015260913409292698,0.7353120446205139,0.2387208640575409
"In this chapter's Senior View, Dr. Shealy advises you to",Stay in school,Eat the right foods,Get plenty of exercise,Find a high paying job,A,True,0.49880552291870117,0.18350031971931458,0.3025408387184143,0.015062621794641018
"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",Emotional,Instrumental,Informational,Friendly,A,False,0.08123455196619034,0.10430723428726196,0.770732045173645,0.043481726199388504
Hearing loss occurs more frequently for,Men than women,Women than men,People who already have some loss of vision,People who are obese,A,False,0.06637424230575562,0.0402580127120018,0.33707621693611145,0.5557447075843811
Continued stress is damaging to health and longevity because it leads to,Over exercising which causes physical damage,Suppression of the immune system,"Less eating and, in many cases, severe eating disorders",Risky behaviors such as speeding and not using a seat belt,B,False,0.09870225936174393,0.06783699989318848,0.3903749883174896,0.4423528015613556
One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,Coping strategies,Work productivity,Rates of dementia,Personality traits,D,False,0.025163602083921432,0.02851409837603569,0.7353882789611816,0.21069227159023285
"According to Tat Kleckley of this chapter's Senior View, the most important part of the healing process for those who are bereaved is to",Stay away from other people for a while,Get out and be active,Talk about your loss,Make new friends who don't know about your loss,C,True,0.02023579180240631,0.07062985002994537,0.8604477047920227,0.048543140292167664
Social support is most likely to have a positive influence on health and well being when it is,Very emotional,Perceived as support,Unexpected,External rather than internal,B,False,0.020804187282919884,0.030269911512732506,0.8846165537834167,0.06408140808343887
Free radicals are produced by,Normal metabolism,Excess consumption of Vitamins A and C,Lack of sunlight,A weakened immune system,A,False,0.08737345784902573,0.06804651021957397,0.11218973994255066,0.7315689921379089
Prejudice or bias against older adults is referred to as,Ageism,Oldism,Age bigotry,Senilism,A,False,0.1285196840763092,0.053574975579977036,0.6526768207550049,0.16502255201339722
"The program that takes over care for those with 6 or fewer months to live, attempts to keep them at home, provides pain relief, and ends all life-prolonging technologies is called",Euthanasia,Cryonics,Medicare,Hospice,D,False,0.024080805480480194,0.050979066640138626,0.9036255478858948,0.021251237019896507
Loss of smell for adults 80 and older is,Very infrequent (less than 15%),Very frequent (more than 75%),Infrequent (less than 40%),Frequent (close to 50%),B,False,0.16704101860523224,0.18928225338459015,0.4540645480155945,0.18928225338459015
Activation of a class of genes called sirtuins may help to,Prevent some diseases,Ward off dementias,Increase memory and intelligence,Produce emotional stability,A,True,0.41611555218696594,0.15308037400245667,0.32407110929489136,0.10521048307418823
Elder abuse most frequently comes from the older adult's,Spouse,Children,Grandchildren,Neighbors,B,False,0.2394905686378479,0.041617218405008316,0.44742727279663086,0.27137836813926697
Projective tests generally ___ than objective tests of personality.,Have higher reliability,Are more visual,Are more valid,Provide more information,B,False,0.028308071196079254,0.009190285578370094,0.9374345541000366,0.0249817855656147
Cells in the eye that respond to low levels of illumination are called,Rods,Cones,Retinal cells,Nocturnal detectors,A,True,0.39549681544303894,0.18681947886943817,0.27182072401046753,0.14549516141414642
Some work on age stereotypes suggests that,Positive ones are stronger,Negative ones are stronger,They never last very long,They are very rare,B,False,0.15812170505523682,0.05816972628235817,0.4870491325855255,0.29541024565696716
Which of the following could very well be a cohort difference rather than a change that occurs with age?,Differences in weight,Shrinkage of the thymus gland,Enlargement of the heart,Increasing size of nose and ears,A,False,0.06350559741258621,0.08154280483722687,0.5317258238792419,0.3225080370903015
The major question concerning aging and personality is:,Do older adults still have personalities?,Does personality change with age?,Does personality decline as we grow older?,Does personality increase of decrease with age?,B,False,0.25385257601737976,0.13587749004364014,0.5374058485031128,0.07272997498512268
A researcher who wants to examine both age and cohort differences is advised to use a _____ design.,Cross-sectional,Cross-sequential,Correlational,Quasi-experimental,B,False,0.04036947712302208,0.09684134274721146,0.8108426332473755,0.05183543264865875
Which of the following is NOT one of the most rewarding aspects of being a grandparent as reported by grandparents?,Feelings of immortality,Spoiling the grandchildren,Having others to wait on you,Remembering when they were grandchildren,C,True,0.014404751360416412,0.023749420419335365,0.5405343174934387,0.42096853256225586
"Of the following animals, which has the longest life span by current measures?",Gorilla,Blue whale,Dog,Queen honey bee,B,False,0.005090658087283373,0.0074068643152713776,0.8561171293258667,0.13128982484340668
One advantage of an expected death over an unexpected death is that,One can use up some grief before the actual loss,One can make funeral and estate plans with the loved one,One can find ways to avoid having the same death for themselves,One can assist the terminally ill person in speeding their death,B,False,0.08914398401975632,0.03716074302792549,0.6586898565292358,0.21384529769420624
Changes in the reproductive system are more _____ for men but not for women,Mechanistic,Continuous,Organismic,Nurturant,B,False,0.14859998226165771,0.054666876792907715,0.5186648964881897,0.277621328830719
Which of the following hormones has not yet been claimed to ward off senescence?,DHEA,Human growth hormone,Melatonin,Viasterol,D,False,0.02374410256743431,0.03454746678471565,0.7862967252731323,0.15483099222183228
The majority of older widows live,Alone,With children,With a friend,In an institution,A,False,0.13650617003440857,0.0345141626894474,0.5398923754692078,0.2889835834503174
Centenarians are people who,Were born before the centennial,Study old age and older adults,Are 100 or more years old,Have not yet reached old age,C,True,0.10954765975475311,0.06644400954246521,0.7143404483795166,0.10954765975475311
Quantitative analyses of TV shows have shown that,Older adults are almost always portrayed in a negative way,The more positive portrayals occur during commercials,The proportion of older men is particularly low,The proportion of older women is particularly low,D,False,0.28368470072746277,0.0812770277261734,0.41275882720947266,0.22093388438224792
Which of the following groups of Americans have the lowest rate of alcohol abuse?,African-American,White,Native-American,Asian-American,D,False,0.010298461653292179,0.010298461653292179,0.818108081817627,0.1610950231552124
"If you believe that changes occur slowly and steadily throughout life, you would be holding the _____ side of this view of development.",Mechanistic,Organismic,Continuity,Stability,C,True,0.12043154239654541,0.17522688210010529,0.6930357813835144,0.011201879940927029
"All other things being equal, which of the following persons is likely to live the longest?",A black man,A white man,A black woman,A white woman,D,False,0.03724199905991554,0.025596026331186295,0.8476239442825317,0.08933890610933304
"Which of the following age differences could be, in part, a cohort effect? Differences in",Depression,Alcoholism,Dementia,Suicide,B,False,0.028512895107269287,0.02516254410147667,0.8332690000534058,0.1127706915140152
"Clifford and Lucia Pauling, in Senior View, told us that physical changes",Are rapid and frightening,Can be offset by meditation,Take a long time,Should not be discussed in public,C,True,0.019407672807574272,0.011771348305046558,0.8252352476119995,0.14340437948703766
The biggest and most dangerous changes in the cardiovascular system take place in the,Heart,Blood vessels,Red blood cells,Plasma,B,False,0.19258897006511688,0.09097257256507874,0.5235110521316528,0.19258897006511688
Older adults generally perform very well when their _____ memory is tested.,Episodic,Working,Retrospective,Semantic,D,False,0.03499579057097435,0.03499579057097435,0.902553379535675,0.027254750952124596
"With respect to marital satisfaction, most long lasting marriages",Show high satisfaction through all the years of marriage,Show high satisfaction that steadily declines as the years pass,Show lower levels during the years when children are present,Show ups and downs throughout the marriage,C,True,0.13741463422775269,0.008784624747931957,0.6978491544723511,0.15571118891239166
Theories,Are not very important in aging research,Attempt to explain findings and guide future research,Have never been adequately tested,Have been around for a long time but have only recently been tested,B,False,0.023360909894108772,0.07195667177438736,0.2216421514749527,0.6827058792114258
The least favored theory of senescence among researchers is the _____ theory,Free radical,Biological clock,Wear and tear,Garbage accumulation,C,True,0.035090986639261246,0.05785525590181351,0.7986671328544617,0.10808784514665604
A researcher finds that age is negatively correlated with cigarette smoking; this means that,Older adults experience more negative effects from smoking that do younger adults,Older adults smoke more than younger adults,Older adults smoke less than younger adults,Older and younger adults smoke about the same number of cigarettes and both experience negative effects,C,True,0.06532526016235352,0.030857471749186516,0.7023127675056458,0.2012159824371338
"When a researcher takes part in the situation he or she is observing, he or she is said to be a(n)",Active observer,Participant observer,Indiscreet observer,Meddling observer,B,False,0.19979320466518402,0.22639532387256622,0.5430941581726074,0.030639277771115303
"The term ""work-family conflict"" for middle-aged adults can occur when they must",Care for an ailing parent while continuing to work,Work a high stress job while their children are at home,Pay for nursing home care by sacrificing their own care,Serving as an executor of their parent's estate while still working full time,A,True,0.33470746874809265,0.139526829123497,0.29537829756736755,0.23004086315631866
Do traits change with age?,No,They change a little,Only for women,They change quite a lot,B,False,0.00744665740057826,0.009561697952449322,0.4607084095478058,0.5220510363578796
The cause of Alzheimer's appears to be,Mostly environmental,Aluminum,Mostly genetic,Apo-E 4,C,True,0.029375450685620308,0.02287762239575386,0.6685821413993835,0.27870649099349976
Older married men have been found to have,Higher levels of positive emotions,Lower levels of positive emotions,Higher levels of negative emotions,Lower levels of negative emotions,D,False,0.44870758056640625,0.1134510412812233,0.3083919286727905,0.12855687737464905
"Within the United States, which location has the longest life expectancy?",California,Florida,Alaska,Hawaii,D,False,0.011925656348466873,0.0038716939743608236,0.9473722577095032,0.036733608692884445
The largest proportion of older adults living alone reside in,Hawaii,"Washington, DC",Florida,California,B,False,0.012144524604082108,0.01071750558912754,0.9647590517997742,0.012144524604082108
Which level of personality description appears to show the most change with age?,Traits,Personal concerns,Coping strategies,Identity,B,False,0.011611872352659702,0.014909938909113407,0.6339867115020752,0.3393486440181732
The positive relationship between religion and physical health is NOT thought to be due to,Social support derived from a religious community,The rules of some religions which forbid unhealthy behaviors,The stress reducing effects of prayerful meditation,The benefits of knowing that others are praying for you,D,False,0.01937357522547245,0.013315250165760517,0.8237853646278381,0.1431524157524109
Human factors examines the performance of different tasks by examining,The factors that influence performance,The interaction between human and environment,The human side of the equation,The effects of environmental changes on humans,B,False,0.45382198691368103,0.13002218306064606,0.4004964828491211,0.015528934076428413
Prospective memory refers to memory,For some recent event,For something that happened a long time ago,To do something in the future,For the context and source of remembered information,C,True,0.31529873609542847,0.1023625060915947,0.5198397040367126,0.06208600476384163
The total number of people who have some disorder divided by the total number of people gives you the ____ rate.,Prevalence,Incidence,Incipient,Diseased,A,False,0.1474394053220749,0.13011480867862701,0.6607775688171387,0.061461884528398514
Remarriages are,More frequent for woman than men,Typically more successful,Typically less successful,Most common among those who have never been married before,C,True,0.027632983401417732,0.011519141495227814,0.9150786995887756,0.04555908590555191
"With respect to job training, younger workers",Receive more opportunities than older workers,Perform better on the job than trained older workers,Always learn faster than older workers,Prefer to have classes by themselves,A,False,0.38048455119132996,0.04544239863753319,0.4885518252849579,0.08489757031202316
About how many grieving individuals seem to require some professional help?,Less than 10%,About 25%,Nearly half,More than 50%,B,False,0.006400673184543848,0.0417376346886158,0.7398172616958618,0.21196119487285614
People with which of the following forms of control are least likely to have accessibility problems where they live?,External,Internal,Primary,Total,B,False,0.07793530076742172,0.053564101457595825,0.7394295334815979,0.12849357724189758
Which of the following has been found to improve balance for older adults?,Tai chi,Aerobic exercise,Weight lifting,Walking briskly,A,False,0.143948495388031,0.2094438523054123,0.5693273544311523,0.07705007493495941
The most frequent chronic condition for older adults is,Hypertension,Arthritis,Diabetes,Cataracts,B,False,0.2808893322944641,0.19305221736431122,0.40869152545928955,0.1170920878648758
Hypokinesia refers to,Severe obesity,Loss of muscle strength and bone density,Increased sensitivity to stress,Social isolation and lack of support,B,False,0.010812368243932724,0.008420680649578571,0.9732983112335205,0.00743122398853302
What percentage of older adults report feeling very or often lonely?,10%,25%,50%,75%,A,False,0.016945166513323784,0.024655073881149292,0.8164638876914978,0.14188013970851898
An example of a discontinuous change over the adult years is the change in,Personality,Working memory,Female hormone levels,Male sexuality,C,True,0.01655576005578041,0.0577852800488472,0.5482515096664429,0.37680739164352417
Which leg of the three-legged stool do most retirees have,Pension,Social security,Savings,Assets,B,False,0.02623175084590912,0.03368223458528519,0.8686763048171997,0.0713052898645401
One of the most important points made in this chapter is that physical changes,Occur for everyone,"Occur more for some and less for others and, within the same person, more for some systems and less for others",Usually occur for very old people but not for very young people,Can be totally avoided if one learns enough about gerontology,B,False,0.19858860969543457,0.05021106079220772,0.4204120635986328,0.327417254447937
Which of the following forms of dementia has the highest prevalence rate?,Alzheimer's,Vascular,Parkinson's,Fronto-temporal lobe,A,False,0.11828862875699997,0.02990804985165596,0.32154181599617004,0.5301328301429749
High levels of social support are strongly associated with,Longevity,Internal control,Culture,Education,A,False,0.03216782212257385,0.019510770216584206,0.9400815367698669,0.008133298717439175
"The term ""cohort"" refers to",An individual's chronological age,A generation of people who lived through major events,A person's gender,A group of people living in the same culture,B,False,0.025290360674262047,0.01738179475069046,0.9490137696266174,0.008210578002035618
Middle-aged adults appear to be more ____ than older or younger adults,Generative,Neurotic,Agreeable,Certain,A,False,0.01404737588018179,0.02624395303428173,0.5973096489906311,0.36228659749031067
Which of the following improves attitudes toward aging and older adults?,Staying away from older adults,Education about older adults,Travelling to older communities,Watching the portrayals of older adults in movies and on TV,B,False,0.0057970816269516945,0.04283496364951134,0.7592678666114807,0.1919729858636856
A problem for immune system theories of senescence is,Determining what first causes the senescence in the immune system,Auto-immune disorders are far too rare,That the immune system does not decline with age,The lack of information about senescence in general,A,False,0.13433454930782318,0.049418915063142776,0.5313034057617188,0.2843862473964691
Those more likely to experience depression after a loss are those who,Are young survivors,Have not previously experienced depression,Have been married more than 40 years,Are in poor health themselves,A,False,0.010373611003160477,0.01938045583665371,0.9338026642799377,0.03620745986700058
Which of the following appears to lower bad cholesterol?,Vitamin D,Niacin,Thiamine,Riboflavin,B,False,0.24427293241024017,0.0793038085103035,0.5859802961349487,0.08986299484968185
Most people who have used physician assisted suicide have had,Alzheimer's,Health insurance,No family,Clinical depression,B,False,0.011924703605473042,0.01052351389080286,0.2395140677690506,0.737755298614502
A researcher who is interested in the differences between two or more groups of people is most likely to use which of the following approaches?,Quasi-experimental,Longitudinal,Correlational,Cross-sequential,A,False,0.08743689209222794,0.12721991539001465,0.7321001291275024,0.05303315445780754
Being in bright light during the later parts of the day seems to,Restore normal circadian rhythm,Increase insomnia,Restore deep sleep,Have no real influence on sleep or dreams,A,False,0.11134357750415802,0.019348613917827606,0.8227239847183228,0.04641491174697876
A major reason for studying human aging is that,We are all growing older,The number and proportion of older adults is increasing,More job opportunities are available for those with some knowledge of aging,All of the above,D,True,0.2174995094537735,0.013904278166592121,0.2464592456817627,0.5217542052268982
The model of social support that says that those who are close to you now are likely to be close for the rest of your days is called the ____ model,Consistency,Convoy,Attachment,Train,B,False,0.009404630400240421,0.017570162191987038,0.959298312664032,0.013683655299246311
"When older and younger workers have lost their jobs, older workers typically",Find a job quicker because of their greater experience,Take longer to find a new job,Retire rather than search for a new job,Sue the company using the ADEA,B,False,0.11119040846824646,0.04090466722846031,0.6398566961288452,0.20773103833198547
Our social network refers to,Everyone we know,Those who are closest to us,Those who we have not yet met,Family members,B,False,0.19130319356918335,0.07037650793790817,0.6677137613296509,0.07037650793790817
Those who survive the loss of another are called the,Survivors,Grieving,Bereaved,Family and friends,C,True,0.09193666279315948,0.03382160887122154,0.8722707629203796,0.0019080846104770899
Financial adjustment to retirement has been most difficult for,Married couples,Single men,Single women,Older adults,C,True,0.03364865481853485,0.02969483658671379,0.5263535380363464,0.40992456674575806
Socioemotional selectivity theory says that older adults have smaller social networks because they,Are more concerned with those closest to them,Select new network members based on emotional factors,Can no longer get out to select new network members,Are too emotionally involved to spend time with others,A,False,0.12013134360313416,0.03441820666193962,0.4751286804676056,0.37003061175346375
The gender gap is likely to be associated with male/female differences in,Hormones,Risky behaviors and occupations,Proportion who smoke,All of the above,D,False,0.027031611651182175,0.012768828310072422,0.8951640129089355,0.06484546512365341
Those cells that build bone are called,Osteoblasts,Osteoclasts,Osteostructs,Osteopori,A,False,0.25830331444740295,0.05763525888323784,0.48257410526275635,0.2011668086051941
An increase in neuroticism later in life is a strong predictor of,Mortality,Loss of social support,Cognitive decline,Independence,A,False,0.0050467089749872684,0.015544958412647247,0.9617325067520142,0.01761474646627903
Which of the following countries has the longest life expectancy?,U. S. A.,Sweden,Japan,Saudi Arabia,C,True,0.014935740269720554,0.014935740269720554,0.9240415096282959,0.04600531607866287
Which type of reaction time results in the biggest age differences?,Simple,Choice,Complex,Elaborate,C,True,0.020259294658899307,0.0907958596944809,0.6708956956863403,0.21780793368816376
Gary says he won $1000 in the lottery because he really knows how to pick those numbers. Gary would be said to have a strong ____ locus of control,"External, powerful others",Internal,"External, chance",Secondary,B,False,0.035332076251506805,0.20332206785678864,0.7096637487411499,0.05140786990523338
The advanced directive where one specifies the types of medical intervention that are and are not desired is called a,Living will,DNH,DNR,Durable power of attorney,A,False,0.10369843989610672,0.11750572919845581,0.7662335634231567,0.012385012581944466
"If links between various diseases are found, then future older adults will probably",Take fewer medications,Be able to avoid certain diseases,Pay far less for pharmaceuticals,Pick and choose the disease(s) they want,A,False,0.060279764235019684,0.12761224806308746,0.7343578338623047,0.07740074396133423
With respect to hair loss,Men lose but women do not,Men are more systematic than women,Women lose hair less frequently but more rapidly than men,Environmental factors are the main causes,B,False,0.01846749521791935,0.008723427541553974,0.8898137807846069,0.08276557177305222
"In this chapter's Senior View, Pat Shelley told us that you shouldn't retire if",You can't do it right,You're younger than 60,Your family wants you to keep working,You have no hobbies,A,False,0.06905817240476608,0.04188590496778488,0.7424453496932983,0.1461961567401886
"A person who is not very well organized, rarely sets goals, and frequently puts things off until the last minute would be said to be low on which trait?",Agreeableness,Conscientiousness,Openness,Neuroticism,B,False,0.015991203486919403,0.049256376922130585,0.46733149886131287,0.46733149886131287
As working people get closer to retirement they are more likely to,Be absent from work,Invest in craft and hobby books,Do some informal planning,Become irritated and anxious,C,True,0.010753501206636429,0.007390765007585287,0.967999279499054,0.013807767070829868
Older adults may show less major depression than younger adults because they,Have learned to cope with loss,See major depression as a stigma,Have very different brain biochemistry,Are no longer concerned with emotional matters,A,False,0.013224509544670582,0.00707856984809041,0.8181714415550232,0.16110749542713165
The different components of memory should be thought of as,Being very independent,Working one at a time,Working as a system,Taking turns,C,True,0.013337191194295883,0.010387015528976917,0.9350093007087708,0.041081443428993225
"Very rapid disposal of the body, before sundown on the day of the death, is typical of which religion?",Islam,Hindu,Jewish,Tao,B,False,0.05704501271247864,0.03459955006837845,0.7874820828437805,0.12076429277658463
An example of an objective test of personality is the,TAT,MMPI,Rorschach ink blot test,McAdams test of levels,B,False,0.07578973472118378,0.18181012570858002,0.5600146055221558,0.18181012570858002
"When a measure actually quantifies what it claims to measure, we say that it has good",Accuracy,Validity,Reliability,Associative value,B,False,0.035664286464452744,0.06662966310977936,0.7163364291191101,0.1811182051897049
In which country do most individuals choose to be cremated?,Japan,U. S. A.,Kenya,Mexico,A,False,0.008038530126214027,0.021850991994142532,0.9291278123855591,0.04082302749156952
A possible positive effect of moderate alcohol consumption is that it may,Inhibit the growth of cancers,Promote healing from injuries and illnesses,Keep blood vessels from stiffening,Result in relaxation and lower blood pressure,C,True,0.07191407680511475,0.07191407680511475,0.5313771367073059,0.32229653000831604
The environmental design that brings pets and plants to nursing homes and young people and children as regular visitors is referred to as,Instrumental Living Design,The Humanistic Choice,Human-Environment Congruence,The Eden Alternative,D,False,0.2625267803668976,0.29748180508613586,0.4328334927558899,0.006996101699769497
Excess disability refers to symptoms that are,Not due to the disease but due instead to malignant social psychology,In excess of the average for that particular disorder,Found only in the last stage of Alzheimer's,Those that can be successfully treated by medicine if they are caught early enough,A,False,0.10703049600124359,0.15572844445705414,0.4796774089336395,0.2567528188228607
Well being for younger adults is positively related to which form of control?,Positive reappraisal,Lowering of aspirations,Primary,Internal,C,True,0.027895081788301468,0.031609270721673965,0.8152137994766235,0.12501709163188934
Which of the following is NOT one of the major reasons for the increase in numbers of older adults?,The Baby Boom generation,The steadily increasing birth rate,Increases in life expectancy at birth,Increases in life expectancy at a specified age,B,False,0.02670782059431076,0.018355999141931534,0.536440908908844,0.4177806079387665
Before we can collect data from other human beings we must make sure that they,Have information that will be worth our effort to collect,Are going to be honest and forthright,Are informed about our study and give their consent to participate,Have been granted permission to participate by the IRB,C,False,0.5170310735702515,0.042440492659807205,0.4026641845703125,0.037453606724739075
