0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,False,0.05924539268016815,0.067133828997612,0.30087295174598694,0.5621046423912048
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,False,0.15490947663784027,0.12064362317323685,0.5406872034072876,0.1755354255437851
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,False,0.0033176264259964228,0.007023414596915245,0.06663630902767181,0.9198858141899109
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.0032766072545200586,0.002251977100968361,0.001365893054753542,0.0512547641992569
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,True,0.03409019485116005,0.016103068366646767,0.5332603454589844,0.4153035879135132
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.05866356939077377,0.06647452712059021,0.4911840260028839,0.3825345039367676
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.04898122698068619,0.038146618753671646,0.8682129979133606,0.038146618753671646
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.049194708466529846,0.05574490875005722,0.528892993927002,0.36350247263908386
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,False,0.0652729943394661,0.0838121846318245,0.22782516479492188,0.6192929744720459
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.048174433410167694,0.048174433410167694,0.5868847370147705,0.314136803150177
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.03965303301811218,0.09512267261743546,0.3762175142765045,0.48307281732559204
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.07454471290111542,0.05805547907948494,0.37856924533843994,0.48609253764152527
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.0032766072545200586,0.002251977100968361,0.001365893054753542,0.0512547641992569
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,False,0.018890468403697014,0.035292040556669235,0.1581679731607437,0.2301330268383026
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,True,0.02400379069149494,0.02400379069149494,0.6190658807754517,0.33136212825775146
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,False,0.10865819454193115,0.08462309092283249,0.17914709448814392,0.6252847909927368
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,False,0.03579304739832878,0.01690743863582611,0.38481155037879944,0.5598974823951721
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,True,0.1845831573009491,0.12686201930046082,0.1845831573009491,0.5017489790916443
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,False,0.03437293320894241,0.0566713884472847,0.5376831889152527,0.3695438802242279
You are the community relations director for a public water utility that has been targeted by a group of activists opposed to adding fluoride to drinking water. The activists are waging an intense internet campaign against the practice. Your utility has overwhelming evidence of the health benefits to fluoridated water. The manager of the utility asks you to initiate a blog to get the health message out. What is the most appropriate course of action?,"Use utility employees to write the blog, posing as dentists and physicians.",Recruit a group of volunteer dentists and physicians to write the blog under their own identities with no reference to the utility.,"Write the blog yourself, identifying yourself as an employee of the utility, and quote the scientific opinions of a variety of sources.","Compensate a group of dentists and physicians to write the blog, identifying the utility as the sponsor of the blog but without disclosing the compensation.",C,True,0.11415837705135345,0.07845982164144516,0.7444061040878296,0.06110457330942154
Within which area of public relations is likely to involve lobbying?,Corporate,Financial relations,Public affairs,Business to business,C,False,0.005883471574634314,0.008560399524867535,0.32122665643692017,0.6001303791999817
During which step of the Chase Jones model of issues management should the strengths and weaknesses of the organisation be reviewed?,Identification,Analysis,Strategy,Evaluation,B,False,0.038987185806035995,0.05006053298711777,0.5382015109062195,0.369900107383728
"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?",Consider the comprehension level of all of the target audiences.,Consider how riding the bus could similarly affect all of the target audiences.,Consider which mediums would most effectively reach all of the target audiences.,Consider the geographic locations where all of the target audiences live and work.,B,False,0.08166266977787018,0.049530912190675735,0.7747938632965088,0.09253593534231186
A book launch would be what kind of common tactic?,Competition,Event,Award,Sponsorship,B,False,0.029665719717741013,0.07116436213254929,0.21920165419578552,0.6751886606216431
Newsletters generally fall in to which writing category?,Media writing,Personal writing,Business writing,Promotional writing,D,True,0.08659155666828156,0.024808896705508232,0.23538027703762054,0.49830004572868347
The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),exploratory survey,situation interview,communication audit,stakeholder analysis,D,True,0.012684592977166176,0.026853283867239952,0.17510540783405304,0.7847679853439331
Which of the following Internet-related challenges is most significant in the public relations field?,Representing clients using new social media environments,"Finding stable, cost-effective Internet providers",Training staff to use social media,Staying abreast of changing technology,D,False,0.16308438777923584,0.028339814394712448,0.5692204236984253,0.23728635907173157
Which of these ways a business impacts on the world do stakeholders NOT normally look at?,Workforce development,Impact on local communities,Impact on the environment,Financial performance,D,False,0.009547396562993526,0.012259099632501602,0.7584436535835266,0.2172977477312088
"The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.",public issues,crisis management,consumer relations,community relations,B,False,0.013086262159049511,0.06645751744508743,0.20470358431339264,0.7144857048988342
"In the Westley and MacLean model of communication, which role describes the way in which the public obtain or receive the message?",The advocacy role,The channel's role,The gatekeeper role,The behavioural role,B,False,0.07422903180122375,0.057809628546237946,0.37696611881256104,0.48403409123420715
Which guerrilla marketing technique involves the spreading of a message about a product issue or service through online peer-to peer communication?,Fan pages,Street activities,Grassroots marketing,Viral campaigns,D,False,0.008202518336474895,0.0072386967949569225,0.7383671402931213,0.2397127002477646
A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.,public relations,public issues,crisis management,consumer relations,B,False,0.01323265302926302,0.046186499297618866,0.3011738061904907,0.637584924697876
The Web was effectively invented by Berners-Lee in which year?,1980,1989,1991,1993,C,False,0.02659762278199196,0.02659762278199196,0.09283481538295746,0.13507387042045593
Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?,Online consumer goods purchases,Video,Music,Online auctions,B,False,0.028174327686429024,0.02194218896329403,0.23590075969696045,0.30290257930755615
The goal of ________ advertising is to promote a specific product and service to a target audience.,person-oriented,product-oriented,profit-oriented,idea-oriented,B,False,0.07674429565668106,0.07674429565668106,0.3897397220134735,0.4416329562664032
Which of these types of survey question seeks qualitative information?,Likert scale,Multiple choice,Open-ended,Yes/No,C,True,0.0354066826403141,0.027574751526117325,0.6275984048843384,0.296456515789032
The American flag is an example of a,stereotype,semantic device,symbol,message,C,True,0.05233984813094139,0.040762316435575485,0.6376299262046814,0.2658036947250366
Approximately half of all public relations practitioners work in,government,business and commercial areas,health care and hospitals,public relations firms,B,False,0.01702813059091568,0.03181273490190506,0.30183082818984985,0.6389758586883545
