0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,False,0.05873233079910278,0.07541380822658539,0.2982674241065979,0.5572368502616882
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,False,0.16537921130657196,0.12879745662212372,0.5094038248062134,0.18739920854568481
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,False,0.0037592551670968533,0.0070232124999165535,0.0666343942284584,0.9198594093322754
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.0027641456108540297,0.0018997675506398082,0.00115226733032614,0.04061882197856903
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,True,0.032240964472293854,0.017257343977689743,0.5043335556983948,0.4450727701187134
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.05580849573016167,0.06323931366205215,0.4672788083553314,0.4123721122741699
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.05490439385175705,0.03773520141839981,0.8588492274284363,0.04275958240032196
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.05248691886663437,0.05947547405958176,0.4979820251464844,0.3878287971019745
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,False,0.05968504026532173,0.08684122562408447,0.20832127332687378,0.6416746973991394
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.04300667718052864,0.04300667718052864,0.5936888456344604,0.3177787661552429
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.0441560298204422,0.1059248223900795,0.3697139322757721,0.47472208738327026
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.08364280313253403,0.05748680606484413,0.37486106157302856,0.48133111000061035
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.0027641456108540297,0.0018997675506398082,0.00115226733032614,0.04061882197856903
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,False,0.022142963483929634,0.04687665402889252,0.21008659899234772,0.2697565257549286
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,True,0.021243078634142876,0.02407156303524971,0.62081378698349,0.332297682762146
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,False,0.1110382005572319,0.0864766463637352,0.16155964136123657,0.6389808058738708
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,False,0.033246055245399475,0.01779532991349697,0.35742875933647156,0.5893003940582275
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,True,0.17028279602527618,0.13261638581752777,0.17028279602527618,0.5245079398155212
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,False,0.03437391668558121,0.05667300894856453,0.5376985669136047,0.36955446004867554
You are the community relations director for a public water utility that has been targeted by a group of activists opposed to adding fluoride to drinking water. The activists are waging an intense internet campaign against the practice. Your utility has overwhelming evidence of the health benefits to fluoridated water. The manager of the utility asks you to initiate a blog to get the health message out. What is the most appropriate course of action?,"Use utility employees to write the blog, posing as dentists and physicians.",Recruit a group of volunteer dentists and physicians to write the blog under their own identities with no reference to the utility.,"Write the blog yourself, identifying yourself as an employee of the utility, and quote the scientific opinions of a variety of sources.","Compensate a group of dentists and physicians to write the blog, identifying the utility as the sponsor of the blog but without disclosing the compensation.",C,True,0.1250762939453125,0.08596360683441162,0.7197644710540771,0.06694852560758591
Within which area of public relations is likely to involve lobbying?,Corporate,Financial relations,Public affairs,Business to business,C,False,0.005807989742606878,0.008450575172901154,0.3171055018901825,0.5924310684204102
During which step of the Chase Jones model of issues management should the strengths and weaknesses of the organisation be reviewed?,Identification,Analysis,Strategy,Evaluation,B,False,0.03716110810637474,0.04771580174565315,0.5129932165145874,0.39951953291893005
"As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?",Consider the comprehension level of all of the target audiences.,Consider how riding the bus could similarly affect all of the target audiences.,Consider which mediums would most effectively reach all of the target audiences.,Consider the geographic locations where all of the target audiences live and work.,B,False,0.0801391750574112,0.05507880076766014,0.7603393197059631,0.10290073603391647
A book launch would be what kind of common tactic?,Competition,Event,Award,Sponsorship,B,False,0.02628890983760357,0.07146066427230835,0.2201143503189087,0.6779999732971191
Newsletters generally fall in to which writing category?,Media writing,Personal writing,Business writing,Promotional writing,D,True,0.09120415151119232,0.026130428537726402,0.24791860580444336,0.46317291259765625
The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),exploratory survey,situation interview,communication audit,stakeholder analysis,D,True,0.014298633672297001,0.030270205810666084,0.17419300973415375,0.780678927898407
Which of the following Internet-related challenges is most significant in the public relations field?,Representing clients using new social media environments,"Finding stable, cost-effective Internet providers",Training staff to use social media,Staying abreast of changing technology,D,False,0.15809455513954163,0.027472712099552155,0.5518041849136353,0.26065385341644287
Which of these ways a business impacts on the world do stakeholders NOT normally look at?,Workforce development,Impact on local communities,Impact on the environment,Financial performance,D,False,0.01048656739294529,0.01346501987427473,0.7351651787757874,0.23867318034172058
"The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.",public issues,crisis management,consumer relations,community relations,B,False,0.014410154893994331,0.06458183377981186,0.2254127413034439,0.6943201422691345
"In the Westley and MacLean model of communication, which role describes the way in which the public obtain or receive the message?",The advocacy role,The channel's role,The gatekeeper role,The behavioural role,B,False,0.08268053084611893,0.06439166516065598,0.37054845690727234,0.47579362988471985
Which guerrilla marketing technique involves the spreading of a message about a product issue or service through online peer-to peer communication?,Fan pages,Street activities,Grassroots marketing,Viral campaigns,D,False,0.008661950938403606,0.007644144352525473,0.7797238826751709,0.19714507460594177
A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.,public relations,public issues,crisis management,consumer relations,B,False,0.013235289603471756,0.04619570076465607,0.30123382806777954,0.6377119421958923
The Web was effectively invented by Berners-Lee in which year?,1980,1989,1991,1993,C,False,0.02782801166176796,0.031533267349004745,0.09712929278612137,0.16013914346694946
Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?,Online consumer goods purchases,Video,Music,Online auctions,B,False,0.025730574503540993,0.020038990303874016,0.21543946862220764,0.3134625554084778
The goal of ________ advertising is to promote a specific product and service to a target audience.,person-oriented,product-oriented,profit-oriented,idea-oriented,B,False,0.07674237340688705,0.07674237340688705,0.38972994685173035,0.44162189960479736
Which of these types of survey question seeks qualitative information?,Likert scale,Multiple choice,Open-ended,Yes/No,C,True,0.030006546527147293,0.023369120433926582,0.6829458475112915,0.2512417733669281
The American flag is an example of a,stereotype,semantic device,symbol,message,C,True,0.05027635768055916,0.04436873272061348,0.6124914288520813,0.2893204689025879
