0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.01851010136306286,0.01851010136306286,0.7870694994926453,0.1756189465522766
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,False,0.08976926654577255,0.04805002734065056,0.5853691697120667,0.27650880813598633
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.053029999136924744,0.08743168413639069,0.7320565581321716,0.12721234560012817
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.03665193170309067,0.060428816825151443,0.8341940641403198,0.06847482174634933
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,False,0.48078709840774536,0.07373109459877014,0.4242931306362152,0.021124310791492462
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.4783775210380554,0.13705745339393616,0.29015064239501953,0.09419810771942139
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,False,0.72588050365448,0.16196583211421967,0.11131738126277924,0.0007500505889765918
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.1825927197933197,0.2344536930322647,0.496338427066803,0.0862506777048111
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,False,0.0583113431930542,0.027544327080249786,0.71037757396698,0.2035265862941742
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,False,0.7922385334968567,0.12149371206760406,0.06503089517354965,0.021112440153956413
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.17265595495700836,0.04365426301956177,0.7737902998924255,0.009740582667291164
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,religion.,physics.,psychology.,art.,C,True,0.26982712745666504,0.26982712745666504,0.4448696970939636,0.01522260345518589
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,duty.,justice.,virtue.,supererogation.,B,False,0.3505335748195648,0.0782146081328392,0.510023295879364,0.06091360002756119
