0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.3665772080421448,0.11179973185062408,0.11179973185062408,0.11179973185062408
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.16407714784145355,0.3473513126373291,0.2705174684524536,0.21067923307418823
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.251272052526474,0.32263970375061035,0.22174681723117828,0.19569088518619537
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.11052315682172775,0.49533042311668396,0.20648443698883057,0.1822219043970108
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.14271362125873566,0.3021247386932373,0.3423522114753723,0.20764710009098053
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.15431997179985046,0.22453422844409943,0.32669538259506226,0.28830763697624207
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.2507763206958771,0.32200315594673157,0.19530479609966278,0.22130931913852692
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.28091326355934143,0.1033422127366066,0.1412520557641983,0.31831642985343933
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.08198322355747223,0.36742332577705383,0.22285351157188416,0.32424992322921753
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,0.22108937799930573,0.5303658843040466,0.1183406263589859,0.1183406263589859
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,0.25065067410469055,0.321841835975647,0.2211984544992447,0.19520694017410278
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.20173858106136322,0.42708057165145874,0.1386527568101883,0.22859975695610046
How many bits are required to store one BCD digit ?,1,2,3,4,D,True,0.17425520718097687,0.2535398304462433,0.19745703041553497,0.36889827251434326
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.10713576525449753,0.42373016476631165,0.25700533390045166,0.20015595853328705
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.30296555161476135,0.18375790119171143,0.2359498143196106,0.2673661708831787
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,False,0.1808941662311554,0.29824402928352356,0.1808941662311554,0.3379547894001007
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.13567468523979187,0.19740548729896545,0.368802011013031,0.28722327947616577
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.15442988276481628,0.2885130047798157,0.37045803666114807,0.17499199509620667
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,False,0.13229332864284515,0.04866800084710121,0.10303014516830444,0.3378228545188904
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.2406989485025406,0.27274763584136963,0.2406989485025406,0.2406989485025406
