0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.0014183548046275973,0.008162069134414196,0.943406879901886,0.0469694621860981
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.15985727310180664,0.1410735547542572,0.5579566955566406,0.1410735547542572
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.14085248112678528,0.29818472266197205,0.5570823550224304,0.0037535913288593292
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,False,0.009442289359867573,0.13034678995609283,0.5841737985610962,0.27594417333602905
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.004578216467052698,0.000901504245121032,0.9886194467544556,0.005878545809537172
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.027431577444076538,0.035222843289375305,0.7074697613716125,0.22968178987503052
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.008524532429873943,0.018046434968709946,0.8695259094238281,0.10385006666183472
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.00028116159955970943,0.0026675870176404715,0.9497266411781311,0.04728410392999649
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.4460882246494293,0.4460882246494293,0.0995357409119606,0.00817039143294096
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.001687475829385221,0.0002015402278630063,0.990523636341095,0.007562740705907345
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,False,0.8188778758049011,0.06721758842468262,0.11082307249307632,0.0026063090190291405
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.0013193136546760798,0.004063772037625313,0.9943722486495972,0.00017854968609753996
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,3.4908232919406146e-05,0.00022763026936445385,0.9872936010360718,0.012428192421793938
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.020687254145741463,0.008623730391263962,0.6850677728652954,0.28557872772216797
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.0022963439114391804,0.16098612546920776,0.34080764651298523,0.4958721697330475
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.0004899963387288153,0.007664832752197981,0.8859342336654663,0.1058097556233406
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.0008543268195353448,0.0023223012685775757,0.9368831515312195,0.0598929338157177
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.0004987214342691004,0.0025327166076749563,0.20119859278202057,0.795755922794342
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,True,0.0008490773034282029,0.03186138719320297,0.9311262965202332,0.036103684455156326
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.0032856788020581007,0.021425317972898483,0.487637996673584,0.487637996673584
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.013172690756618977,0.08589673042297363,0.814965546131134,0.08589673042297363
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.0022305443417280912,0.004167205188423395,0.3751198649406433,0.6184681057929993
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.00012329248420428485,0.0008039679960347712,0.9990493655204773,6.469796289820806e-07
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.007046407088637352,0.05899883806705475,0.2996208369731903,0.6342973113059998
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.0013499906053766608,0.00605023792013526,0.8979349732398987,0.09464164823293686
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.00025640983949415386,0.002432749141007662,0.9814410209655762,0.015863517299294472
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.9590991139411926,0.017566513270139694,0.01368081383407116,0.008297833614051342
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.00888751819729805,0.10827212780714035,0.25973135232925415,0.6230631470680237
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.001406278577633202,0.010391071438789368,0.9353744387626648,0.0527702160179615
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.009219065308570862,0.028396720066666603,0.5703634023666382,0.3920046389102936
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.01138388179242611,0.010046240873634815,0.07423223555088043,0.904333770275116
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.021187901496887207,0.17740413546562195,0.3755645453929901,0.42557039856910706
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.015203861519694328,0.02212148904800415,0.3921127915382385,0.5705206990242004
