0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
A valid disjunctive syllogism has a major premise that:,includes two or more alternatives,classifies subjects,affirms the antecedent or denies the consequent,leads to a valid conclusion,A,False,7.428162251965631e-12,1.9157483932552566e-10,5.598637109471838e-09,9.728973182632217e-10
Which of the following best describes the fallacy of style over substance?,Changing the meaning of a word or phrase from one part of the argument to another.,Confusing figurative language with literal language.,"Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.","Using emotionally charged language to create an impression about the subject of a claim, without making an argument that the language fits the subject.",C,False,1.1196778615385483e-07,7.301216555788415e-07,2.5483748231636127e-06,4.7609914872737136e-06
"Which of the following fallacies is a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source?",significance,snob appeal,poisoning the well,appeal to anonymous authority,C,False,5.486154239231489e-11,5.898171395735119e-10,1.5211586656960208e-08,9.919200039121279e-08
The false analogy fallacy is,a specific type of false cause fallacy that argues that since two event happened at the same time one event must have caused the other,arguing that an event that preceded another event necessarily is the cause of the second event,arguing that since something is new it is necessarily good,drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.,D,True,9.47569242271129e-06,7.001643825788051e-05,0.00010187330917688087,0.0008529747719876468
The _ad nauseam_ fallacy is,arguing that something should be done because that's the way it's been done in the past.,"arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects",reasoning that a conclusion is true because it's been claimed so often,reasoning that a claim is true because so many people believe it is true,C,False,5.979850925541541e-08,3.89935223665816e-07,1.542223799333442e-06,8.874884770193603e-06
Arguing that what is true of an entire object is also true of each part of that object is the fallacy of,false criteria,hasty generalization,ad crumenam,division,D,True,9.80127552452359e-08,6.0638340073637664e-06,1.1328733307891525e-05,3.489495793473907e-05
Which of the following describes the horse laugh fallacy?,responding to an argument with an expression of derision instead of a counter argument,attempts to gain agreement based solely the feelings aroused by the message,characterizing an opponent's position in such way to make it or its consequences appear to be ridiculous,"arguing actions should be taken to avoid negative results, when those results are exaggerated, unlikely, or irrelevant",A,False,4.35572822254926e-09,6.012897557639008e-08,1.8521028266604844e-07,6.464474040512869e-07
Arguing that a lack of evidence proves something is the fallacy of...,Appeal to ignorance,Double negative,Equivocation,Burden of proof,A,False,2.0557047175628895e-09,6.007650910078155e-08,1.8504867682622717e-07,1.0648815305103199e-06
The argument against the person consists of,ignoring another person's arguments and attacking her character instead,"asserting an opposing arguer has taken an easily defeated position, which she has not really taken",causing confusion during an argument by a lack of ability to engage in refutation,using threats of harm instead of reasoning to gain agreement,A,False,1.2414924643877612e-09,9.173457549138675e-09,1.1175559677667479e-07,2.2446711227530614e-06
Which of the following fallacies happens when someone concludes that someone must be honest because the people he hangs around with are honest?,Laudatory personality,Guilt by association,Reprehensible personality,Circular reasoning,B,False,7.430211827752498e-12,1.4923980107273138e-10,3.848945162587825e-09,2.9975615323252214e-09
Asking a question that includes an unproven assumption may lead to which of the following fallacies?,Appeal to ignorance,Extension,a priori,Complex question,D,True,7.987152605970493e-11,7.577998784036311e-10,3.222247357825836e-08,1.1246748243820548e-07
"Polonius in William Shakespeare's Hamlet: ""Your noble son is mad: Mad call I it, for to define true madness, What is't but to be nothing else but mad?""",Attacking the Person (ad hominem),Equivocation,Begging the Question,Appeal to Pity,C,False,3.767599079940176e-11,6.678229080847586e-10,1.413780981174284e-09,9.219011332106675e-09
Notice from the Hyatt Regency Hotel in New Orleans: We are pleased to confirm your reservation. It will be held on a space-available basis.,Equivocation,Affirming the Consequent,Gambler's Fallacy,Inconsistency,D,True,1.9109334947753354e-10,2.0544468348759892e-09,4.126467345599849e-08,4.6759002003682326e-08
The natural law fallacy is,arguing that something is necessarily bad because it doesn't cost very much,substituting individual stories for a larger sample when supporting a generalization,arguing that what is true in nature must be true about humans,the same thing as the  post hoc  fallacy,C,False,1.2325809817248512e-10,4.041476875382699e-10,1.8112643607182122e-09,1.1205896299770757e-07
"If someone uses an emotionally charged restatement of a claim in place of support for the claim, that person may have committed which of the following fallacies?",Style over substance,Question begging epithets,Hypostatization,Amphiboly,B,False,8.575103960239971e-10,7.179846495120046e-09,1.272658209927613e-07,1.851706912248119e-07
Arguing that a claim must be true merely because a substantial number of people believe it is called the fallacy of...,Tu quoque,Composition,Appeal to the masses,Appeal to reason,C,False,2.6320892132503104e-09,5.990607832018213e-08,1.203245574288303e-06,3.2707607715565246e-06
_Ad populum_. is another name for which fallacy?,poisoning the well,suppressed evidence,appeal to pride,appeal to the people,D,True,1.3026315269504263e-11,1.9142029628049784e-10,2.331976611813502e-09,3.2191945109616427e-08
In a valid disjunctive syllogism the minor premise must,accept one choice,reject all but one choice,either A or B,none of the above,C,True,2.0675925327395817e-07,2.5188433028233703e-06,4.464756784727797e-05,3.0685794627061114e-05
Which of the following describes the fallacy of appeal to spite?,responding to an argument with an expression of derision instead of a counter argument,arguing against a position based only on negative personal feelings toward the position,arguing someone should do something only because that person dislikes someone else,saying someone shouldn't do something because if he or she does it people won't like him or her,C,False,8.580701149618619e-10,1.1845291858492146e-08,4.6849045531871525e-08,3.922621942820115e-07
_Ad hominem_ is another name for the fallacy of,appeal to loyalty,reducing to an absurdity,ignorance of refutation,argument against the person,D,True,2.7694832169800065e-06,2.0463865439523943e-05,0.00015120864554774016,0.0003627307014539838
The fallacy of appeal to the person is rejecting a claim by...,Using rhetoric,Making false statements,Ignoring the person,Criticizing the person who makes it,D,True,5.9518246331435876e-08,1.7393780353813781e-06,6.071025836718036e-06,3.083121555391699e-05
Another name for hasty conclusion is,hasty generalization,post hoc ergo prompter hoc,jumping to a conclusion,ad novitatem,C,False,3.0926973221961918e-12,6.211847702886075e-11,1.1010764522367822e-09,6.336257740713336e-09
"John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products.",Begging the Question,False Dilemma,Straw Man,Appeal to Gallery (Provicialism),B,False,9.526123813385912e-12,9.038134823891042e-11,9.716910609469664e-10,3.3915350527990995e-09
The fallacy of composition is,attributing the cause of an event to a simple cause when the cause is more complex,arguing that what is true of part of an object must be true of the entire object,drawing a conclusion without enough evidence to support that conclusion,drawing a conclusion based on sign reasoning when there is not really a direct relationship between the alleged sign and the subject of the conclusion,B,False,0.00014684477355331182,0.0012295162305235863,0.004862831439822912,0.0042914338409900665
""" _Ad crumenam_ "" is a specific kind of",False analogy,Hasty Generalization,False sign,Hasty Conclusion,C,False,1.908618679768992e-10,2.325173387163204e-09,4.670236108950121e-08,8.725149314159353e-08
Which of the following fallacies happens when someone draws a conclusion that is simply a restatement of one of the premises?,Laudatory personality,Guilt by association,Accident,Begging the question,D,True,6.101103238072281e-13,8.422313194089703e-12,2.594255192611694e-11,3.1604496797399406e-10
"I don't know what the answer is to number 8. But Heather hasn't made the third option into the correct answer for a while, and even then only once, so I'm guessing that this is the fallacy of Composition!",Gambler's Fallacy,Equivocation,Fallacy of Composition,Appeal to Pity,A,False,2.3641882180257257e-14,2.880170873933302e-13,1.657423981046846e-12,1.0052783258607256e-12
"When someone argues that making a change will have no significant effect, but there is no evidence that the effect will not be significant, that person has committed which of the following fallacies?",poisoning the well,solid slope,appeal to tradition,argument from authority,B,False,1.6036477701319996e-09,1.7240839866872193e-08,2.100364184798309e-07,8.307101779791992e-07
