0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
This is a hierarchy of effects or sequential model used to explain how advertising works:,ADD.,AIDA.,PESTLE.,SWOT.,B,False,6.567618129338371e-07,5.114866326039191e-07,4.5138534687794163e-07,3.102323375969718e-07
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,The realm of understanding.,Personal selling.,Noise.,Feedback.,A,True,5.932936915087339e-07,4.0776436094347446e-07,4.620575850822206e-07,3.1756724183651386e-07
"In the history of marketing, when did the production period end?",In the late 1800s.,In the early 1900s.,In the 1920s.,After the end of the Second World War.,C,False,5.181826168154657e-07,3.5614135640571476e-07,4.035609890706837e-07,2.4477211013618216e-07
The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,The level of tangibility associated with the type of product.,Performance-value.,Variations in supply and demand.,The way in which the service is delivered.,B,False,5.237612299424654e-07,3.1767726227371895e-07,3.1767726227371895e-07,2.4740728576944093e-07
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",found guilty under the Sherman Antitrust Act and face prison time,found guilty under the Magnuson-Moss Warranty Act and face large fines,found guilty under the Adamson Act and face prison time and fines,found not guilty because retailers are allowed to set their own price levels,A,True,5.79233073949581e-07,3.9810063867662393e-07,3.9810063867662393e-07,2.736103112965793e-07
 The term 'marketing mix' describes:,A composite analysis of all environmental factors inside and outside the firm.,A series of business decisions that aid in selling a product.,The relationship between a firm's marketing strengths and its business weaknesses.,A blending of four strategic elements to satisfy specific target markets.,D,False,5.93378615576512e-07,3.599022875278024e-07,3.599022875278024e-07,2.473569793437491e-07
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,Gatekeepers.,Buyers.,Users.,Initiators.,A,True,5.115547310197144e-07,3.983991803124809e-07,3.983991803124809e-07,2.7381551603866683e-07
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,Motive development.,An attitude.,A self-concept.,Product evaluation.,A,True,5.16924274052144e-07,3.55276512209457e-07,3.55276512209457e-07,2.441777269268641e-07
 Which of the following is not an element of the marketing mix?,Promotion.,Product.,Target market.,Pricing.,C,False,4.659507339965785e-07,3.202429468274204e-07,3.628827869306406e-07,2.4940544562923606e-07
 Providing free samples of perfumes (scent) in magazines is an example of which of the following?,Classical conditioning.,Operant conditioning.,Social learning.,Behavioural learning.,A,True,6.567433956661262e-07,4.513726992172451e-07,4.513726992172451e-07,3.1022361213217664e-07
Why is market segmentation carried out?,To break down large markets into smaller markets.,To provide an opportunity to surpass competitors.,"By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.",To allow the achievement of greater market share.,C,False,5.854424784956791e-07,3.550887868186692e-07,4.0236830045614624e-07,2.440487207877595e-07
" There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________.",Repeat purchases.,Buyphases.,Buyclasses.,Tenders.,C,False,6.723475394210254e-07,4.6209726178858546e-07,4.6209726178858546e-07,3.5988168178846536e-07
"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:",Winner's curse.,Winner's price.,Winner's reward.,Loss-leader pricing.,A,True,5.932963063060015e-07,4.6205960302359017e-07,4.0776615151116857e-07,3.1756863450027595e-07
This allows us to determine how the quantity of an offering relates to the price at which it is offered:,Price bundling.,Price elasticity.,Price inelasticity.,Price inflation.,B,False,6.63355990582204e-07,5.166221512808988e-07,4.559174442420044e-07,3.1334718642028747e-07
 ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller.,Relationship marketing.,Service mix.,Market exchanges.,Service failure.,C,False,6.723529963892361e-07,4.6210098503252084e-07,4.6210098503252084e-07,3.175970846314158e-07
A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,Search marketing.,Internet advertising.,Permission-based email marketing.,Social web marketing.,C,False,4.6208614890019817e-07,3.1758688123773027e-07,3.598730415887985e-07,2.1827403884344676e-07
" Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:",Vehicle.,Courier.,Transportation.,Distribution channel.,D,False,6.723079195580794e-07,4.620700053692417e-07,4.620700053692417e-07,3.17575768349343e-07
 Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"Organizational size, industry type, and gender.","Psychographics, purchaser, and behavioural criteria.","Organizational size, industry type, and geographical location.",None of the above.,C,False,4.6220009153330466e-07,3.1766518304721103e-07,3.5996177416564024e-07,2.1832785535025323e-07
Which of the following is the name for a coupon that is included in a package for later purchase?,a free-standing coupon,an instant-redemption coupon,a bounce-back coupon,a rebate coupon,C,False,5.855375206920144e-07,4.024336135444173e-07,4.56017062333558e-07,3.134156543183053e-07
" Advertising is employed as a defence, to retain customers, and to increase brand usage. Advertising is used to reinforce existing attitudes, not necessarily to drastically change them. This idea is based on:",Strong theory.,Weak theory.,ATR framework.,DRIP model.,B,False,5.115192038829264e-07,3.5156165267835604e-07,3.5156165267835604e-07,2.4162454792531207e-07
"_____________ is an assessment of a company's mix of products, services, investments, and other assets in order to optimize the use of resources and to assess its suitability, level of risk, and expected financial return.",SWOT analysis.,Political analysis.,Portfolio analysis.,Competitive analysis.,C,False,5.115191470395075e-07,3.515616242566466e-07,3.515616242566466e-07,2.4162451950360264e-07
