0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.2229641228914261,0.13523457944393158,0.47201505303382874,0.1532408446073532
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.22194154560565948,0.19586272537708282,0.4146413803100586,0.15253804624080658
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.2881028354167938,0.17474320530891418,0.3699313700199127,0.15421032905578613
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.4673845171928406,0.1517375409603119,0.32122838497161865,0.04347353056073189
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.20476163923740387,0.2629191279411316,0.4334803521633148,0.08535733819007874
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.1255284696817398,0.20696142315864563,0.3412216901779175,0.3011271059513092
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.25480127334594727,0.08272185921669006,0.5394142270088196,0.10621695965528488
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.19653810560703278,0.11920637637376785,0.5342459082603455,0.1350785195827484
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.07968222349882126,0.19114774465560913,0.4046597480773926,0.31514933705329895
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.12154180556535721,0.12154180556535721,0.5447126030921936,0.2003885805606842
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.017508234828710556,0.05740728974342346,0.5446652173995972,0.37434259057044983
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.18673169612884521,0.16479012370109558,0.5075893402099609,0.12833867967128754
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.10911086201667786,0.0962899923324585,0.48900094628334045,0.2965940833091736
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,False,0.07052845507860184,0.10261829197406769,0.4599032700061798,0.3581730127334595
