0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,False,0.02287381701171398,0.029370561242103577,0.3578067123889923,0.5899235010147095
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,True,0.006172101479023695,0.002572914818301797,0.07519159466028214,0.9160211086273193
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,False,0.09042765200138092,0.013867530040442944,0.037695854902267456,0.8579537272453308
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,False,0.022422295063734055,0.0018405341543257236,0.3974446952342987,0.5782786011695862
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,0.00012209915439598262,0.0007961865048855543,0.9893797039985657,0.009699537418782711
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,True,0.002470856998115778,6.584609946003184e-05,0.0006247303681448102,0.9968147873878479
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,True,0.011529697105288506,0.006171402055770159,0.06634882837533951,0.9159172773361206
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,False,0.03803049400448799,0.005146867595613003,0.09123040735721588,0.865570068359375
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,False,0.004709328059107065,0.003236670745536685,0.09458938241004944,0.8974390625953674
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,False,0.005493104923516512,0.005493104923516512,0.49447354674339294,0.49447354674339294
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,True,0.5072453618049622,0.07778859883546829,0.019668037071824074,0.3950430750846863
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,False,0.017464257776737213,0.012002997100353241,0.12904438376426697,0.8414750695228577
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.0002303487272001803,5.824127947562374e-05,0.0006261527305468917,0.9990842342376709
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,True,0.08501063287258148,0.024355953559279442,0.3362235724925995,0.5543389320373535
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,False,0.9397572875022888,0.01340491697192192,0.04678775742650032,4.834568244405091e-05
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,True,0.14579716324806213,0.025335747748613358,0.08843045681715012,0.7404190897941589
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.10383336246013641,0.0035529823508113623,0.023168353363871574,0.8693860769271851
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.262556254863739,0.06638461351394653,0.490519642829895,0.1804521083831787
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,False,0.022637123242020607,0.007349197752773762,0.4546787738800049,0.5152185559272766
The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,False,0.0036701252683997154,0.004712534137070179,0.374362975358963,0.6172201633453369
The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,False,0.037820570170879364,0.033376533538103104,0.4066094160079956,0.5220968127250671
