0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.8538369536399841,0.029216691851615906,0.07941920310258865,0.037514977157115936
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.5489084124565125,0.1080864667892456,0.3329297602176666,0.010053608566522598
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.3977205455303192,0.06911347061395645,0.5106832981109619,0.02243785932660103
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.2085290104150772,0.4414559304714203,0.3034079372882843,0.04652911052107811
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.070159912109375,0.03755389526486397,0.8547227382659912,0.03755389526486397
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.15489274263381958,0.10645612329244614,0.6941810846328735,0.044377513229846954
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,True,0.3370327055454254,0.1404961496591568,0.3819080889225006,0.1404961496591568
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.9919564723968506,0.0019149265717715025,0.00020183177548460662,0.00589838856831193
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.22055336833000183,0.22055336833000183,0.4669114649295807,0.09194031357765198
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.7133928537368774,0.23160474002361298,0.05167800560593605,0.003303664503619075
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.5222148299217224,0.1496170461177826,0.27952146530151367,0.04857354238629341
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.5034245252609253,0.20985856652259827,0.26946374773979187,0.017226239666342735
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.43091726303100586,0.15852561593055725,0.3355987071990967,0.07488218694925308
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.18413731455802917,0.12655559182167053,0.6427024006843567,0.04655720666050911
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.5459954738616943,0.057547494769096375,0.37525683641433716,0.021170539781451225
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.32585155963897705,0.13583514094352722,0.4741111993789673,0.06416397541761398
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.3349643349647522,0.09596887975931168,0.5522627830505371,0.0166768915951252
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.08257662504911423,0.020878640934824944,0.8877823948860168,0.008703513070940971
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.9783138632774353,0.009591052308678627,0.010868086479604244,0.0011454877676442266
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,True,0.7108698487281799,0.10901542007923126,0.15861649811267853,0.021466409787535667
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.2859904170036316,0.08193762600421906,0.605441689491272,0.02660125307738781
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.15485192835330963,0.6939981579780579,0.12059879302978516,0.030492153018712997
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.41899728775024414,0.22427310049533844,0.32631540298461914,0.030352063477039337
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,True,0.4537786841392517,0.2143498808145523,0.31187722086906433,0.01993764378130436
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.02580537088215351,0.9683393836021423,0.005757956299930811,8.213283581426367e-05
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,False,0.10255038738250732,0.3579360246658325,0.45959892868995667,0.07986631244421005
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.10918619483709335,0.20398667454719543,0.6283231973648071,0.058443158864974976
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,True,0.7557007074356079,0.07965026795864105,0.13132107257843018,0.03320317342877388
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,False,0.14638151228427887,0.2734766900539398,0.5109216570854187,0.06914573162794113
A Binary number system has how many digits.,0,1,2,10,C,True,0.10417445749044418,0.1717546433210373,0.529041588306427,0.19462354481220245
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.9285238981246948,0.0280389916151762,0.040796492248773575,0.00260803266428411
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,True,0.7392734289169312,0.04726016893982887,0.11337125301361084,0.10004977881908417
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,False,0.40763235092163086,0.16992643475532532,0.35973426699638367,0.06251244246959686
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,True,0.27772584557533264,0.14865592122077942,0.5188601613044739,0.05468745529651642
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,False,0.3305235803127289,0.2916860580444336,0.3745322823524475,0.0032403392251580954
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,False,0.23486071825027466,0.3015671372413635,0.3872198760509491,0.07624810934066772
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,True,0.04661984369158745,0.09869420528411865,0.8263564705848694,0.028276361525058746
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.8900476098060608,0.05689883977174759,0.050213053822517395,0.002832826692610979
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,False,0.08480311185121536,0.096094511449337,0.7100477814674377,0.10888935625553131
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,False,0.265804260969162,0.3011956810951233,0.3867429196834564,0.04618985578417778
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,True,0.4651976227760315,0.10379961878061295,0.41053545475006104,0.020439356565475464
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,False,0.4595789909362793,0.3158637285232544,0.21708975732326508,0.007428402546793222
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.268212229013443,0.23669646680355072,0.4422072172164917,0.052814122289419174
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,False,0.624902069568634,0.07463391125202179,0.26049792766571045,0.03994865342974663
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,True,0.778133749961853,0.13521936535835266,0.07237771153450012,0.014252017252147198
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,False,0.7920312285423279,0.12146192789077759,0.07367037981748581,0.01280199270695448
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,False,0.62436842918396,0.0745701715350151,0.29493075609207153,0.006121092941612005
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,False,0.7830726504325867,0.05672559514641762,0.1541961431503296,0.005978833418339491
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,False,0.9835009574890137,0.009641904383897781,0.006626777350902557,0.0002267558447783813
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.1621490716934204,0.4407668113708496,0.3889753520488739,0.008072925731539726
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,False,0.396535724401474,0.12873630225658417,0.396535724401474,0.07808250933885574
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,False,0.677399218082428,0.05560431629419327,0.13338780403137207,0.13338780403137207
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,True,0.13422316312789917,0.029949236661195755,0.7724010348320007,0.06340253353118896
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,False,0.40309882164001465,0.07004807889461517,0.45677080750465393,0.07004807889461517
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,False,0.7807966470718384,0.1742192804813385,0.04404953494668007,0.0009142188355326653
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,False,0.793232262134552,0.07378209382295609,0.12164611369371414,0.01131485030055046
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,True,0.5564872026443481,0.03557503595948219,0.29786616563796997,0.10957882553339005
