0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which of the following methods of detecting breast cancer involves exposure to radiation?,Needle aspiration,Mammography,Mastectomy,Lumpectomy,B,False,0.027371281757950783,0.03514542058110237,0.9064123630523682,0.031015723943710327
"The regions of the body that, when touched, are sexually exciting:",vary from person to person,vary for women depending on the phases of the menstrual cycle,are mainly on the lower portion of the body,all of the above,D,True,0.17500732839107513,0.03446098417043686,0.37049052119255066,0.41982075572013855
Which of the following is/are true of gonorrhea?,can be treated with antibiotics,has a high risk of infection with a single exposure,is asymptomatic (without symptoms) in only a small percentage of those infected,infections are limited to genital areas,A,False,0.1081068217754364,0.06557010114192963,0.7988073825836182,0.027333686128258705
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",the id,the ego,the superego,the Oedipus complex,A,True,0.4021354913711548,0.18995535373687744,0.4021354913711548,0.00573615450412035
Sociobiologists believe that there are more males than females with paraphilias because:,paraphilias guarantee survival of the species,evolutionary selection has favored the development of males who respond to novel sexual stimuli,of left brain/right brain differences between the genders,male brains are better developed than are female brains,B,False,0.1858701854944229,0.08779884874820709,0.6487506628036499,0.07748221606016159
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.",felt glad,felt fear,experienced guilt,experienced regret,C,True,0.007002288941293955,0.04029539227485657,0.9171189069747925,0.03556055948138237
What is cocaine abuse during pregnancy related to?,an increased risk of low birth weight babies,poorer growth and lower intelligence,smaller head circumference,all of the above,D,False,0.016174059361219406,0.0076400842517614365,0.883073627948761,0.09307527542114258
Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,a secure lover,an avoidant lover,an anxious-ambivalent lover,a passionate lover,C,True,0.035980790853500366,0.02802186831831932,0.9279568195343018,0.00802839919924736
Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,False,0.041533615440130234,0.004960482940077782,0.9453006982803345,0.008178453892469406
Judaism regards sexuality as,inherently evil,God's afterthought and has become an aberration,a gift from God,primarily a biological function,C,True,0.007414717227220535,0.0012884846655651927,0.9711363911628723,0.020155292004346848
Freud said that the penis first becomes the major focus of pleasure-seeking at:,birth,about age 1,between the ages of 3 and 6,puberty,C,True,0.0035722721368074417,0.005889680702239275,0.990492045879364,4.496827023103833e-05
"What makes a relationships last, according to Sternberg?",intimacy,commitment,decision,passion,B,False,0.005118112545460463,0.0021335468627512455,0.860734224319458,0.13199786841869354
The position that abortion is murder is held by certain people in which religion?,Orthodox Jews,Fundamentalist Protestants,Eastern Orthodox Christians,all of the above,D,False,0.014394351281225681,0.0011815603356808424,0.890546977519989,0.09386295825242996
"Orders of monks and nuns found both in Eastern religions and in Christianity who affirm celibacy, virginity, and poverty follow the ethical system of:",legalism,asceticism,situationism,hedonism,B,False,0.006385088432580233,0.028615981340408325,0.9476311206817627,0.017356470227241516
Ovaries and testes,are homologous,produce gametes,produce sex hormones,all of the above,D,False,0.24268844723701477,0.028985001146793365,0.5137714147567749,0.21417178213596344
Simon LeVay studied the brains of heterosexuals and homosexuals. He found differences in:,the cortical activity of these two groups,the overall brain weights of these two groups,the cell structure in the hypothalamus of these two groups,blood volume and metabolism of sugars in the brains of these two groups,C,True,0.3271723985671997,0.026855943724513054,0.6112384796142578,0.034483715891838074
"Which of the following theories uses terms such as ""modelling"" and ""imitation"" to explain the effects of exposure to erotica on a person's behaviour?",sociobiology,psychoanalytic theory,script theory,social learning theory,D,False,0.016771487891674042,0.05853824317455292,0.9156922101974487,0.008977130986750126
