0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.15762604773044586,0.10833469778299332,0.7064309120178223,0.027391299605369568
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.12281600385904312,0.17869625985622406,0.6237111687660217,0.07449167966842651
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.1381169557571411,0.17734567821025848,0.6189972162246704,0.06524182111024857
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,True,0.4104886054992676,0.11760695278644562,0.4651445150375366,0.006634930148720741
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.1709737479686737,0.28188806772232056,0.5266362428665161,0.020419903099536896
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.056070998311042786,0.22176510095596313,0.46947669982910156,0.25129279494285583
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.08035654574632645,0.02608795277774334,0.8639143109321594,0.029561521485447884
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.09435168653726578,0.06484689563512802,0.7899969816207886,0.05050281435251236
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.04034067317843437,0.20486682653427124,0.4914499819278717,0.263054221868515
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.05684283375740051,0.09371798485517502,0.7846910357475281,0.06441136449575424
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.005564698483794928,0.03628639131784439,0.5676146745681763,0.39011549949645996
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.038142282515764236,0.0554966926574707,0.8681143522262573,0.038142282515764236
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.0442308746278286,0.039033614099025726,0.6918873190879822,0.2246229201555252
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,False,0.022777635604143143,0.05464070662856102,0.5184165835380554,0.40374326705932617
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,False,0.12905772030353546,0.06907962262630463,0.6554092168807983,0.14624156057834625
QTL analysis is used to,identify chromosome regions associated with a complex trait in a genetic cross,determine which genes are expressed at a developmental stage,map genes in bacterial viruses,identify RNA polymerase binding sites,A,False,0.012475117109715939,0.1519780308008194,0.7718082070350647,0.06335387378931046
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,1.0/64,1.0/32,1.0/128,1.0/256,A,False,0.15839654207229614,0.17948679625988007,0.552858293056488,0.10886424034833908
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"10,000–15,000","19,000–20,000","29,000–30,000","100,000",B,False,0.19212572276592255,0.3167617619037628,0.3589380979537964,0.1320459544658661
With which of the following relatives is an individual most likely to share a common HLA haplotype?,Father,Mother,Sister,Son,C,False,0.12228459119796753,0.15701653063297272,0.29334548115730286,0.4268151521682739
Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,APP,PS1,PS2,APOE,D,True,0.10094170272350311,0.14686931669712067,0.35232114791870117,0.3992321789264679
The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?,4,7,15,22,D,False,0.04859054833650589,0.062391497194767,0.6707718372344971,0.21776773035526276
X-chromosome inactivation,results in genetically turning off one of the two X chromosomes in female mammals,takes place in humans so that the same X chromosome is inactive in all of the cells of a female,is the cause of the Y chromosome being genetically inactive,occurs in fruit flies but not in mammals,A,False,0.015046137385070324,0.02189200185239315,0.9308716058731079,0.03185267373919487
The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,D,False,0.14551284909248352,0.1868422031402588,0.6521433591842651,0.015336941927671432
Homeobox sequences,are present in the genome of many animal species,are found in prokaryotes but not in eukaryotes,were identified as the integration sites for bacterial viruses,represent integration sites for transposable elements,A,False,0.03684614226222038,0.03684614226222038,0.6531134247779846,0.2722581923007965
Which of the following karyotypes is diagnostic of Down syndrome,"46,XX,der(14;21)(q10;q10)pat+21","47,XY,+13","45,XX,rob,(14;21)(q10;q10)","46,XY,t(2;3)(q21;q12)",A,False,0.3522094786167145,0.1295706182718277,0.51246178150177,0.005692936480045319
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",structural and anatomical; psychological and social,psychological and social; structural and anatomical,structural and psychological; anatomical and social,social and anatomical; psychological and structural,A,False,0.060282882302999496,0.07740475237369537,0.7343958616256714,0.12761884927749634
Which of the following would result in Angelman syndrome?,Maternal UPD 15,Paternal UPD 15,Deletion in the paternally derived chromosome 15,A mutation in the SNRPN promoter,B,False,0.007758694235235453,0.050593044608831406,0.8967831134796143,0.044648200273513794
Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?,Fabry disease,Gaucher disease,Hurler syndrome,Pompe disease,C,True,0.08122565597295761,0.055825527757406235,0.7706476449966431,0.09204073250293732
Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.,developmental epigenetics,social epigenetics,fetal epigenetics,maternal epigenetics,B,False,0.20882286131381989,0.022009769454598427,0.5009400248527527,0.26813387870788574
If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,1 in 4,1 in 2,2 in 3,1,D,False,0.08305811882019043,0.1992460936307907,0.5416069626808167,0.1758340299129486
The mutational mechanism in δβ-thalassaemia consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,A,False,0.09055548161268234,0.09055548161268234,0.6691195368766785,0.14930075407028198
"Assuming Hardy-Weinberg equilibrium, the genoypte frequency of heterozygotes, if the frequency of the two alleles at the gene being studied are 0.6 and 0.4, will be:",0.8,0.64,0.48,0.32,C,True,0.08661402761936188,0.1618162989616394,0.6399958729743958,0.11121460050344467
Familial hypercholesterolaemia is caused by mutations in the gene which encodes what?,High density lipoprotein,HMG-CoA reductase,Low density lipoprotein,Low density lipoprotein receptor,D,False,0.14503619074821472,0.27096328139305115,0.5062260031700134,0.07763227820396423
