0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,False,0.07375383377075195,0.08357403427362442,0.3305417597293854,0.48093539476394653
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,False,0.1746194213628769,0.13599373400211334,0.4746647775173187,0.1978697031736374
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,False,0.009449928067624569,0.013749564066529274,0.1151236891746521,0.8506553769111633
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.003615466644987464,0.0026451318990439177,0.001817970653064549,0.04404539614915848
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,True,0.048164281994104385,0.025780482217669487,0.5178148150444031,0.4032745957374573
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.08134207129478455,0.08134207129478455,0.46809133887290955,0.3645499050617218
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.07347045093774796,0.0504954531788826,0.7898818254470825,0.06483744829893112
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.069437175989151,0.069437175989151,0.45278725028038025,0.3995833396911621
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,False,0.10017314553260803,0.10017314553260803,0.21206659078598022,0.5764566659927368
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.05370841920375824,0.05370841920375824,0.5774199366569519,0.3090706467628479
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.04423907399177551,0.09365411847829819,0.3704092502593994,0.47561487555503845
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.10244175791740417,0.07040712237358093,0.35755687952041626,0.45911210775375366
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.003615466644987464,0.0026451318990439177,0.001817970653064549,0.04404539614915848
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,False,0.022504113614559174,0.04204322025179863,0.18842464685440063,0.2135130763053894
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,True,0.03493617847561836,0.03493617847561836,0.5464938282966614,0.37559935450553894
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,False,0.11684548109769821,0.09099935740232468,0.19264563918113708,0.5933903455734253
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,False,0.06057693436741829,0.02861451916396618,0.3950112462043762,0.5072044730186462
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,True,0.17596007883548737,0.13703784346580505,0.19938887655735016,0.4783090353012085
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,False,0.04786595329642296,0.07891762256622314,0.5146075487136841,0.3536842465400696
