0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.7899610996246338,0.050500523298978806,0.09434740245342255,0.06484395265579224
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.44021928310394287,0.14291827380657196,0.3884921371936798,0.028142275288701057
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.31332969665527344,0.1152675598859787,0.516593337059021,0.05444853752851486
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.19786237180233002,0.4188746511936188,0.3262198865413666,0.056688517332077026
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.13838505744934082,0.10777440667152405,0.7027773857116699,0.050909023731946945
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.19774311780929565,0.11993725597858429,0.6090916991233826,0.07274562865495682
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.40261733531951904,0.16783587634563446,0.3135586977005005,0.11535180360078812
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.9660753607749939,0.005744493566453457,0.0039481292478740215,0.022719914093613625
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.2075110673904419,0.2664494812488556,0.43930089473724365,0.08650346845388412
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.5779211521148682,0.30933889746665955,0.10042762756347656,0.011994370259344578
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.421826034784317,0.1758432537317276,0.32851845026016235,0.07330236583948135
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.4700721204280853,0.25161147117614746,0.25161147117614746,0.02651965618133545
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.3743002414703369,0.20034848153591156,0.330318808555603,0.0946379229426384
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.19966734945774078,0.19966734945774078,0.5427520871162415,0.057205647230148315
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.45749330520629883,0.11567241698503494,0.3562961220741272,0.07015886902809143
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.30688321590423584,0.21091754734516144,0.3940458595752716,0.08792351931333542
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.363964319229126,0.13389499485492706,0.467339426279068,0.03385395556688309
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.18391834199428558,0.059709545224905014,0.727411150932312,0.028204791247844696
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.9309244751930237,0.02480829693377018,0.04090196639299393,0.002307531191036105
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,True,0.5960822105407715,0.15071317553520203,0.21928641200065613,0.03362865746021271
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.2949236035346985,0.10849632322788239,0.5509898066520691,0.04522800073027611
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.1568286120891571,0.6202691793441772,0.17771010100841522,0.044932153075933456
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.35951852798461914,0.24709324538707733,0.35951852798461914,0.03344043344259262
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,True,0.4112207889556885,0.2826276421546936,0.2826276421546936,0.02319949120283127
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.03981595113873482,0.9062068462371826,0.0511246919631958,0.001362426788546145
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,False,0.1419389396905899,0.38583001494407654,0.38583001494407654,0.08609031140804291
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.10681259632110596,0.25623011589050293,0.5424391627311707,0.0942617878317833
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,True,0.6519217491149902,0.11328700929880142,0.186778724193573,0.04722505807876587
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,False,0.1693718135356903,0.27924689650535583,0.4604002833366394,0.09065818041563034
A Binary number system has how many digits.,0,1,2,10,C,True,0.13495640456676483,0.19636039435863495,0.47104412317276,0.19636039435863495
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.8119127154350281,0.06664585322141647,0.10988043248653412,0.010220472700893879
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,True,0.6423123478889465,0.06769922375679016,0.16240200400352478,0.12647879123687744
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,False,0.35408398509025574,0.1895275115966797,0.35408398509025574,0.10144676268100739
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,True,0.29153984785079956,0.20037221908569336,0.42418795824050903,0.08352755755186081
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,False,0.2979387938976288,0.2629300653934479,0.4334983825683594,0.005456939339637756
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,False,0.22111742198467255,0.32172393798828125,0.36456099152565,0.0921754539012909
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,True,0.07565824687480927,0.16016852855682373,0.7178255319595337,0.045889049768447876
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.718585193157196,0.12487136572599411,0.14149780571460724,0.01491375919431448
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,False,0.10694720596075058,0.12118706852197647,0.6154387593269348,0.15560728311538696
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,False,0.26961052417755127,0.26961052417755127,0.3922809958457947,0.06816820800304413
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,True,0.41980403661727905,0.1750003546476364,0.37047573924064636,0.034459613263607025
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,False,0.36934661865234375,0.32594725489616394,0.28764745593070984,0.016227958723902702
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.2515633702278137,0.2515633702278137,0.4147578477859497,0.08167065680027008
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,False,0.4418942630290985,0.126604825258255,0.34414759278297424,0.08701413869857788
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,True,0.6637907028198242,0.16783256828784943,0.13070812821388245,0.03744851052761078
