0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.17494140565395355,0.10610733181238174,0.6919066905975342,0.026828132569789886
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.12545053660869598,0.1610816866159439,0.6370904445648193,0.07608960568904877
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.1639946848154068,0.18583030998706818,0.5723976492881775,0.07746560126543045
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.43458425998687744,0.12451048195362091,0.43458425998687744,0.006199011579155922
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.17683014273643494,0.25728633999824524,0.5446751713752747,0.02111934870481491
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.06125927343964577,0.24228514730930328,0.45264822244644165,0.24228514730930328
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.08978264033794403,0.029148155823349953,0.8518339991569519,0.029148155823349953
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.08537276834249496,0.05867579206824303,0.8099942803382874,0.04569675400853157
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.03577020391821861,0.20584329962730408,0.49379241466522217,0.26430806517601013
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.05106694996356964,0.08419516682624817,0.7988215684890747,0.06557126343250275
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.0051736123859882355,0.03373619168996811,0.5979883074760437,0.3626982569694519
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.0383140854537487,0.055746667087078094,0.8720245957374573,0.033812060952186584
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.03923717513680458,0.03923717513680458,0.6954955458641052,0.22579433023929596
