0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.020870409905910492,0.020870409905910492,0.7831563949584961,0.1747458130121231
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,False,0.08918999880552292,0.054096464067697525,0.581591784954071,0.2747245132923126
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.053575433790683746,0.07795178890228271,0.7395859956741333,0.12852077186107635
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.051066119223833084,0.06557019799947739,0.7988085150718689,0.08419379591941833
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,False,0.4807760715484619,0.07372940331697464,0.42428338527679443,0.021123826503753662
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.4525911808013916,0.14693483710289001,0.3110610544681549,0.08912047743797302
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,False,0.7150102257728577,0.1595403552055359,0.1242501363158226,0.001074974425137043
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.18257896602153778,0.2344360202550888,0.4963010251522064,0.08624418079853058
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,False,0.08201532065868378,0.034189071506261826,0.6867058873176575,0.19674453139305115
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,False,0.7594038248062134,0.14953547716140747,0.07063555717468262,0.020237427204847336
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.20652499794960022,0.059170402586460114,0.7208430767059326,0.013202701695263386
