0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,False,0.05092264711856842,0.06538596749305725,0.25860652327537537,0.6203648447990417
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,False,0.15283474326133728,0.13487619161605835,0.5334456562995911,0.17318445444107056
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,False,0.0026338649913668633,0.005575892049819231,0.052902594208717346,0.9377208948135376
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.006061627063900232,0.004166091792285442,0.0022299482952803373,0.08907496184110641
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,True,0.032319508492946625,0.015266655012965202,0.5055621862411499,0.4461570382118225
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.055838458240032196,0.06327325850725174,0.46752965450286865,0.4125934839248657
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.043640442192554474,0.03851255774497986,0.8765417337417603,0.03851255774497986
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.049956221133470535,0.056607816368341446,0.473971426486969,0.418278306722641
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,False,0.06831185519695282,0.08771415799856186,0.2701786160469055,0.571968138217926
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.04303199425339699,0.04303199425339699,0.5940383672714233,0.3179658353328705
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.04110264778137207,0.11172858625650406,0.34414827823638916,0.5007327795028687
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.07866339385509491,0.05406450480222702,0.3525448739528656,0.5129497647285461
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,0.006061627063900232,0.004166091792285442,0.0022299482952803373,0.08907496184110641
