0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.01855064369738102,0.01637088507413864,0.7887933850288391,0.1760036051273346
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,False,0.08976874500513077,0.048049744218587875,0.5853657126426697,0.2765071988105774
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.04329332709312439,0.07137862592935562,0.7673925161361694,0.11768346279859543
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.04095817357301712,0.059593796730041504,0.8226669430732727,0.07651994377374649
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,False,0.47479119896888733,0.08250632882118225,0.4190017580986023,0.023638460785150528
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.47837767004966736,0.13705749809741974,0.2901507318019867,0.09419814497232437
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,False,0.7003269195556641,0.17707036435604095,0.12169855833053589,0.000819998444058001
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.1826004683971405,0.2344636172056198,0.4963594675064087,0.08625433593988419
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,False,0.0653282031416893,0.030858861282467842,0.7023444175720215,0.20122505724430084
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,False,0.7675529718399048,0.1333806961774826,0.08089948445558548,0.018051115795969963
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.17265616357326508,0.043654315173625946,0.7737912535667419,0.00974059384316206
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,religion.,physics.,psychology.,art.,C,True,0.24591992795467377,0.2786637842655182,0.45943889021873474,0.015721134841442108
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,duty.,justice.,virtue.,supererogation.,B,False,0.3477118909358978,0.07758501172065735,0.5059177875518799,0.06846852600574493
Berkeley asserts that existing and perceiving are _____.,one and the same thing,both nonexistent,two distinct things,imaginary,A,False,0.02764098159968853,0.045572277158498764,0.6291058659553528,0.2971685826778412
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",rational,artificial,constitutional,fair,D,False,0.06089230999350548,0.07818727195262909,0.5098450183868408,0.350411057472229
Berkeley believes that sensible things cannot exist except in _____.,a mind,absolute existence,material substance,a material universe,A,True,0.39230799674987793,0.12736375629901886,0.39230799674987793,0.08753574639558792
Singer claims that his argument upsets the traditional distinction between:,duty and charity.,egoism and altruism.,rights and privileges.,positive and negative rights.,A,False,0.3714887797832489,0.1206047460436821,0.47700104117393494,0.030493654310703278
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","to what our senses reveal to us about how things appear to us, not how they  really are.","beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.",to what we sincerely believe is true about the Forms based on our experiences in the world.,beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.,D,False,0.600884199142456,0.11832110583782196,0.2504858076572418,0.02991626225411892
What was Clarence Darrow's belief about life's meaning?,Life was not worthwhile.,Life was hard but worthwhile.,Life was uncertain but ultimately rewarding.,Life was meaningful for most people.,A,False,0.010430772788822651,0.04674747586250305,0.9389481544494629,0.003837266704067588
Stevenson’s primary aim in this paper is to:,provide an account of what makes right actions right.,establish which things are good in themselves.,develop a theory of good moral character.,make ethical questions clear.,D,False,0.45133519172668457,0.5114297866821289,0.0370478518307209,0.00017156558169517666
"According to Moore, we are thinking about good whenever we think about:",pleasure.,things that we desire.,intrinsic value.,none of the above.,C,True,0.36228644847869873,0.10379679501056671,0.5271236896514893,0.006635507568717003
Baier argues that genuine moral rules:,must be for the good of human beings.,make take into account the interests of all sentient beings.,must take into account the interests of all living beings.,are primarily directed toward promoting self-interest.,A,True,0.4839398264884949,0.07421457767486572,0.4270753860473633,0.01461371686309576
