0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.00029621736030094326,0.0016013359418138862,0.8830115795135498,0.08213286846876144
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,True,0.029782867059111595,0.04333381727337837,0.3201960027217865,0.5982049107551575
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,False,0.1543654501438141,0.0826258659362793,0.12021992355585098,0.6105271577835083
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.014315241947770119,0.1976158171892166,0.174395352602005,0.6086995601654053
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.00940687209367752,0.0005649265367537737,0.9595269560813904,0.025570526719093323
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.06763772666454315,0.020628342404961586,0.6417288780212402,0.2360788881778717
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.001186666893772781,0.005318271461874247,0.7414801120758057,0.2407233566045761
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.0018263814272359014,0.011187942698597908,0.6108409762382507,0.3704937696456909
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.28346651792526245,0.13390010595321655,0.4673572778701782,0.10428150743246078
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.007873320020735264,0.0007323328172788024,0.9100320339202881,0.07469997555017471
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,False,0.6992877125740051,0.03706089034676552,0.15603218972682953,0.013633941300213337
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.00014315916632767767,0.00013448558456730098,0.6209197044372559,0.0003891469386871904
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.0002222197799710557,0.0006040559965185821,0.7990404367446899,0.016583554446697235
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.008014229126274586,0.014972550794482231,0.04611870273947716,0.9263189435005188
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.0005403710529208183,0.0551193431019783,0.08019817620515823,0.8622116446495056
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,3.532780465320684e-05,0.011815533973276615,0.645106315612793,0.2094353437423706
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.0018448985647410154,0.009973427280783653,0.7442851662635803,0.18818475306034088
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.00040309623000212014,0.006305485498160124,0.10499577224254608,0.879118800163269
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,True,7.723485396127217e-06,0.00037213836912997067,0.33832618594169617,0.0518839992582798
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.0021797881927341223,0.0125438142567873,0.4707031548023224,0.3665839731693268
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.024557704105973244,0.026141539216041565,0.5949786901473999,0.24802401661872864
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.00012593370047397912,0.0006007961346767843,0.4820271134376526,0.4820271134376526
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,1.3192411643103696e-06,2.338410740776453e-05,0.7040162086486816,0.0006833837833255529
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.0036772654857486486,0.019879110157489777,0.5126889944076538,0.45244646072387695
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.00406806543469429,0.01823180355131626,0.7752360105514526,0.19601036608219147
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.0008814673055894673,0.0028902203775942326,0.9080802202224731,0.08446461707353592
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.7825140953063965,0.03438127040863037,0.056685131043195724,0.10590176284313202
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.0071117994375526905,0.018160616979002953,0.3647657334804535,0.6013970375061035
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.0037327478639781475,0.008954397402703762,0.8580347895622253,0.03326961770653725
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.007659730967134237,0.03029482252895832,0.7813137769699097,0.17433467507362366
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.011551924981176853,0.031401388347148895,0.019045904278755188,0.3825472295284271
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.01831980235874653,0.030204245820641518,0.32472625374794006,0.6066684722900391
