0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.37776121497154236,0.1574743092060089,0.29420074820518494,0.0955129936337471
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.29155564308166504,0.15605849027633667,0.3303758203983307,0.15605849027633667
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,True,0.33680301904678345,0.20428135991096497,0.20428135991096497,0.10934393107891083
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.30105137825012207,0.19437339901924133,0.26567691564559937,0.08102688193321228
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.19879946112632751,0.3277648985385895,0.28925150632858276,0.0828719437122345
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,True,0.08180486410856247,0.303941935300827,0.17318089306354523,0.26822781562805176
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.3778342008590698,0.07439996302127838,0.20224009454250336,0.03741065412759781
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.2156132161617279,0.16791975498199463,0.35548609495162964,0.19027800858020782
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.09455195814371109,0.29124054312705994,0.2570188641548157,0.29124054312705994
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.2112259566783905,0.2112259566783905,0.3482527434825897,0.1451733410358429
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.0374586284160614,0.1228221133351326,0.3553975820541382,0.4027182459831238
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.18131963908672333,0.18131963908672333,0.3387496769428253,0.20546206831932068
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.161276713013649,0.12560242414474487,0.30130454897880554,0.30130454897880554
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,True,0.07208771258592606,0.1265178769826889,0.34391123056411743,0.3897024989128113
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,False,0.21510258316993713,0.11513611674308777,0.35464420914649963,0.2437431663274765
QTL analysis is used to,identify chromosome regions associated with a complex trait in a genetic cross,determine which genes are expressed at a developmental stage,map genes in bacterial viruses,identify RNA polymerase binding sites,A,False,0.060152068734169006,0.2532496750354767,0.36847609281539917,0.1740557849407196
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,1.0/64,1.0/32,1.0/128,1.0/256,A,False,0.18425285816192627,0.15275098383426666,0.2365853637456894,0.14349627494812012
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"10,000–15,000","19,000–20,000","29,000–30,000","100,000",B,False,0.25392720103263855,0.22408996522426605,0.15401464700698853,0.2877372205257416
With which of the following relatives is an individual most likely to share a common HLA haplotype?,Father,Mother,Sister,Son,C,False,0.24059638381004333,0.2123255580663681,0.16535931825637817,0.2726314067840576
Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,APP,PS1,PS2,APOE,D,True,0.08248048275709152,0.15409383177757263,0.15409383177757263,0.5378403067588806
The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?,4,7,15,22,D,False,0.2832137942314148,0.1717778593301773,0.2832137942314148,0.1717778593301773
X-chromosome inactivation,results in genetically turning off one of the two X chromosomes in female mammals,takes place in humans so that the same X chromosome is inactive in all of the cells of a female,is the cause of the Y chromosome being genetically inactive,occurs in fruit flies but not in mammals,A,False,0.07432260364294052,0.07911599427461624,0.401784211397171,0.25941139459609985
The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,D,False,0.22681091725826263,0.25701043009757996,0.3300079107284546,0.07838375866413116
Homeobox sequences,are present in the genome of many animal species,are found in prokaryotes but not in eukaryotes,were identified as the integration sites for bacterial viruses,represent integration sites for transposable elements,A,False,0.11880749464035034,0.14330919086933136,0.34378087520599365,0.30338555574417114
Which of the following karyotypes is diagnostic of Down syndrome,"46,XX,der(14;21)(q10;q10)pat+21","47,XY,+13","45,XX,rob,(14;21)(q10;q10)","46,XY,t(2;3)(q21;q12)",A,False,0.24376240372657776,0.13889163732528687,0.2762190103530884,0.1016153022646904
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",structural and anatomical; psychological and social,psychological and social; structural and anatomical,structural and psychological; anatomical and social,social and anatomical; psychological and structural,A,False,0.14738479256629944,0.12218628078699112,0.25866836309432983,0.27535104751586914
Which of the following would result in Angelman syndrome?,Maternal UPD 15,Paternal UPD 15,Deletion in the paternally derived chromosome 15,A mutation in the SNRPN promoter,B,False,0.1059185266494751,0.144773468375206,0.347293496131897,0.23869110643863678
Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?,Fabry disease,Gaucher disease,Hurler syndrome,Pompe disease,C,True,0.10450775176286697,0.11842279136180878,0.3647678792476654,0.32190653681755066
Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.,developmental epigenetics,social epigenetics,fetal epigenetics,maternal epigenetics,B,False,0.23369969427585602,0.035839010030031204,0.2062392383813858,0.4947422444820404
If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,1 in 4,1 in 2,2 in 3,1,D,True,0.15505456924438477,0.18703152239322662,0.18703152239322662,0.27212926745414734
The mutational mechanism in δβ-thalassaemia consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,A,False,0.1833132654428482,0.1833132654428482,0.3880741596221924,0.1833132654428482
"Assuming Hardy-Weinberg equilibrium, the genoypte frequency of heterozygotes, if the frequency of the two alleles at the gene being studied are 0.6 and 0.4, will be:",0.8,0.64,0.48,0.32,C,True,0.1677166074514389,0.1677166074514389,0.3133358657360077,0.24402621388435364
Familial hypercholesterolaemia is caused by mutations in the gene which encodes what?,High density lipoprotein,HMG-CoA reductase,Low density lipoprotein,Low density lipoprotein receptor,D,False,0.22163717448711395,0.17261120676994324,0.322480171918869,0.19559411704540253
A cross between two true breeding lines one with dark blue flowers and one with bright white flowers produces F1 offspring that are light blue. When the F1 progeny are selfed a 1:2:1 ratio of dark blue to light blue to white flowers is observed. What genetic phenomenon is consistent with these results?,epistasis,incomplete dominance,codominance,inbreeding depression,B,False,0.4074348211288452,0.14080572128295898,0.2180841565132141,0.14080572128295898
The proportion of babies that have an abnormality identifiable at birth is _____.,1 in 10,1 in 40,1 in 100,1 in 500,B,False,0.1864192932844162,0.2112407386302948,0.23936711251735687,0.2112407386302948
______ explained genetic disorders such as alkaptonuria and albinism.,Recessive inheritance has,Dominant genes have,X chromosomes,Y chromosomes,A,False,0.1340746432542801,0.1340746432542801,0.3216283619403839,0.3216283619403839
Which of the following conditions shows anticipation in paternal transmission?,Huntington disease,Marfan syndrome,Cystic fibrosis,Fragile X syndrome,A,False,0.027708549052476883,0.14071562886238098,0.23200084269046783,0.5565410852432251
A homeotic mutation is one which,is present in only one form in an individual,substitutes one body part for another in development,results in development of a tumor,is wild type at one temperature and abnormal at another,B,True,0.11963839828968048,0.36851221323013306,0.28699761629104614,0.13556808233261108
Which of the following is not a familial cancer syndrome,Familial adenomatous polyposis,Li-Fraumeni syndrome,Von Hippel-Lindau syndrome,Waardenburg syndrome,D,True,0.052990250289440155,0.1968826949596405,0.2230973094701767,0.4168006479740143
"The epigenetic inheritance system has been described as ______ (Mayr and Provine, 1980).",genotype inheritance,soft inheritance,RNA inheritance,hard inheritance,B,False,0.19985319674015045,0.19985319674015045,0.37337490916252136,0.1373569667339325
Severe anaemia at birth is a feature of what?,Alpha-thalassaemia,Beta-thalassaemia,Hereditary persistence of fetal haemoglobin,Sickle cell disease,A,False,0.24484622478485107,0.19068643450737,0.21607603132724762,0.2774471044540405
"If an X-linked recessive disorder is in Hardy-Weinberg equilibrium and the incidence in males equals 1 in 100, then the expected incidence of affected homozygous females would be _______.",1 in 1000,1 in 4000,1 in 10 000,1 in 40 000,C,False,0.29935789108276367,0.23314015567302704,0.23314015567302704,0.13283926248550415
Tay-Sachs disease is caused by deficiency of _________________?,Alpha-L-iduronidase,Glucose-6-phosphatase,Hexosaminidase A,Homogentisic acid oxidase,C,True,0.13837015628814697,0.1221112385392189,0.42621007561683655,0.2013273984193802
A nonsense mutation involves:,a regulatory sequence.,an AG splice acceptor site.,the creation of a different amino acid.,the creation of a stop codon.,D,False,0.13773362338542938,0.2915820777416229,0.2573202848434448,0.2573202848434448
The polymerase chain reaction or PCR is a technique that,was used to demonstrate DNA as the genetic material,is used to determine the content of minerals in a soil sample,uses short DNA primers and a thermostable DNA polymerase to replicate specific DNA sequences in vitro.,measures the ribosome transfer rate during translation,C,True,0.1783544272184372,0.20210205018520355,0.31302177906036377,0.1016232892870903
The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation?,Down syndrome,Exomphalos,Neural tube defects,Twin pregnancies,A,False,0.043204598128795624,0.0807168111205101,0.4644932150840759,0.3192412257194519
"______ has been described as the phenomenon by which one genotype can give rise to a range of different physiological or morphological states in response to different environmental conditions during development (West-Eberhard, 1989).",Fetal plasticity,The fetal origins hypothesis,Developmental plasticity,Environmental plasticity,C,False,0.08732841908931732,0.11213190853595734,0.34539055824279785,0.391378790140152
Arabidopsis is advantageous for plant genetic research because:,it is commercially important as a food crop,it is an endangered species,it is the closest to humans of any existing plant,it is a small plant with a small genome size which can be raised inexpensively,D,False,0.2021951973438263,0.13054703176021576,0.29419228434562683,0.25962376594543457
The proportion of genes shared by first cousins is on average ___.,1.0/2,1.0/4,1.0/8,1.0/16,C,False,0.21898922324180603,0.2811877131462097,0.2811877131462097,0.15050894021987915
Which of the following is not a tumour suppressor gene?,APC,NF1,RB1,RET,D,True,0.04434864968061447,0.22522103786468506,0.15479199588298798,0.47679293155670166
Which of the following is a feature of X-linked dominant inheritance?,Parental consanguinity,Male to male transmission,Transmission only by females,Transmitted by males only to females,D,False,0.10705692321062088,0.17650702595710754,0.37366536259651184,0.20000866055488586
"On average, how many fragments would a restriction enzyme which recognizes a specific 4 base sequence in DNA be expected to cleave a double-stranded bacteriophage with a genome size of 5,000 bp into?",about 2,about 4,about 20,about 50,C,False,0.2643534541130066,0.23329110443592072,0.20587867498397827,0.16033847630023956
Positional cloning refers to,using a selection procedure to clone a cDNA,cloning a portion of a gene using PCR,isolating a gene by PCR using primers from another species,mapping a gene to a chromosomal region and then identifying and cloning a genomic copy of the gene from the region,D,False,0.2654992341995239,0.3409077823162079,0.16103343665599823,0.09767171740531921
Plasmid vectors for cloning,can generally accommodate larger inserts than phage vectors can,"grow within bacteria, and are present in bacterial colonies on an agar plate",can accommodate inserts of over 100 kilobases,include centromeres to allow propagation in yeast,B,False,0.12626568973064423,0.2673044502735138,0.3028956353664398,0.16212835907936096
Transcriptional activator proteins,bind regions near a eukaryotic gene and allow an RNA polymerase to transcribe a gene,bind to ribosomes to activate the production of specific proteins,are produced during an infection of bacteria by a phage,are essential to function of transfer RNAs during translation,A,False,0.17755015194416046,0.2927307188510895,0.22797891497612,0.11463499069213867
"Assuming that the level of glucose is low, a mutation in the repressor associated with the lac operon of E. coli which prevents binding of the repressor to lactose should result in: ",constitutive expression of the lac operon genes,lack of expression or reduced expression of the lac operon genes under all circumstances,expression of the genes only when lactose is present,expression of the genes only when lactose is absent,B,False,0.1718282699584961,0.25000864267349243,0.2832969129085541,0.14245063066482544
"In meiosis, recombination occurs in:",Metaphase I.,Prophase I.,Metaphase II.,Prophase II.,B,False,0.19224980473518372,0.20464885234832764,0.29776230454444885,0.08531033247709274
Leber's hereditary optic atrophy is caused by a mutation in:,chromosome 12.,chromosome 18.,chromosome 21.,mitochondrial DNA.,D,False,0.3488829433917999,0.1867436021566391,0.19878751039505005,0.1366245299577713
"Regarding exons, which, if any, of the following statements is correct?",Some exons in protein-coding genes consist of noncoding DNA.,The first exon of a protein-coding gene always contains the translational start site.,The last exon of a protein-coding gene always contains the normal termination codon.,A coding exon is always translated in just one of the three possible forward reading frames.,A,False,0.17584821581840515,0.2558576464653015,0.17584821581840515,0.18718944489955902
"In humans, each cell normally contains ______ of chromosomes.",11 pairs,23 pairs,32 pairs,46 pairs,B,False,0.13449330627918243,0.098397396504879,0.3655906617641449,0.32263264060020447
"An increase in the inbreeding coefficient, F, is likely to result in:",reduced likelihood of heterozygotes being present in a population,higher proportion of genes that show linkage,higher proportion of genes with introns,higher level of difference between RNA molecules in two daughter cells,A,False,0.06069691479206085,0.17563235759735107,0.2555435597896576,0.28956878185272217
Which of the following findings on prenatal ultrasound examination would not raise suspicion of a chromosome abnormality?,Duodenal atresia,Holoprosencephaly,Hydrops fetalis,Monozygotic twins,D,False,0.17435677349567413,0.32574132084846497,0.2536875903606415,0.15386931598186493
"The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:",0.4,0.32,0.08,0.02,C,False,0.18428616225719452,0.2681347727775574,0.2681347727775574,0.18428616225719452
An Hfr strain of E. coli contains:,a vector of yeast or bacterial origin which is used to make many copies of a particular DNA sequence,a bacterial chromosome with a human gene inserted,a bacterial chromosome with the F factor inserted,a human chromosome with a transposable element inserted,C,True,0.10758651793003082,0.2580866515636444,0.37551382184028625,0.13814383745193481
Male to male transmission is a key feature of which pattern of inheritance?,Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,A,False,0.07039802521467209,0.33585020899772644,0.33585020899772644,0.1797676682472229
Simple tandem repeat polymorphisms in humans are most useful for,solving criminal and paternity cases,reconstructing the relationships of humans and chimps.,estimating relationships of humans and Neanderthals,transferring disease resistance factors into bone marrow cells,A,False,0.06735221296548843,0.4675169885158539,0.22083939611911774,0.08124226331710815
Which of the following disorders is not suitable for population carrier screening?,Cystic fibrosis,Oculocutaneous albinism,Sickle cell disease,Tay-Sachs disease,B,False,0.09098445624113083,0.12436101585626602,0.3380482494831085,0.2983265221118927
Which of the following disorders does not show X-linked inheritance?,Duchenne muscular dystrophy,Tay-Sachs disease,Haemophilia A,Haemophilia B,B,False,0.11677946150302887,0.16991311311721802,0.3597060739994049,0.24722212553024292
The most common chromosome abnormality in first trimester spontaneous miscarriages is:,trisomy.,monosomy.,triploidy.,tetrasomy.,A,True,0.4445030391216278,0.20996837317943573,0.185296431183815,0.09918203949928284
Which of the following karyotypes is not compatible with survival to birth?,"47,XY,+13","47,XX,+18","47,XY,+21","45,Y",D,True,0.09196306765079498,0.13380549848079681,0.24998155236244202,0.36372101306915283
