0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.21741358935832977,0.21741358935832977,0.31633490324020386,0.2463618665933609
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.03683541715145111,0.11346106976270676,0.2721790075302124,0.576202929019928
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.16970767080783844,0.1497664749622345,0.21790893375873566,0.4613132178783417
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,True,0.15931564569473267,0.26266708970069885,0.4330647885799408,0.14059555530548096
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.07518432289361954,0.3818175196647644,0.3369527757167816,0.20437219738960266
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.031486786901950836,0.26363563537597656,0.1411139816045761,0.558116614818573
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,True,0.07221496850252151,0.0234447680413723,0.36673787236213684,0.5336004495620728
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.05764933302998543,0.1382935643196106,0.42597416043281555,0.3759208917617798
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,True,0.011242657899856567,0.15520010888576508,0.1369636058807373,0.6955586075782776
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,False,0.028208088129758835,0.12641987204551697,0.3436448574066162,0.5000002980232239
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.0005211185780353844,0.1444917470216751,0.3466176688671112,0.5043256878852844
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.02481716498732567,0.20779158174991608,0.4984660744667053,0.2668096721172333
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.008444657549262047,0.08012066781520844,0.1496851146221161,0.7601637840270996
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,True,0.009455184452235699,0.08970829099416733,0.1479039490222931,0.7511183023452759
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,True,0.05821441113948822,0.08470147103071213,0.23024249076843262,0.6258639097213745
