0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,False,0.005019509233534336,0.0056878491304814816,0.0327313132584095,0.9565491676330566
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,True,0.0002951732894871384,0.0007080839131958783,0.2224733531475067,0.7765082716941833
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,True,0.06119690462946892,0.03275633975863457,0.8447971940040588,0.06119690462946892
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,False,0.00033057722612284124,0.00012161256745457649,0.9854368567466736,0.014056500978767872
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,2.882337139453739e-05,0.00039789435686543584,0.923740565776825,0.07582524418830872
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,True,0.0006247764686122537,1.2966823305760045e-05,0.002471039304509759,0.9968883395195007
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,True,0.0013723053270950913,0.0009431707439944148,0.08490152657032013,0.9127774238586426
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,True,0.003924793563783169,0.0012741937534883618,0.8475193381309509,0.14727675914764404
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,False,0.005698083899915218,0.005698083899915218,0.2422887086868286,0.7463017702102661
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,False,0.0038067104760557413,0.013286725617945194,0.6401903033256531,0.34266918897628784
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,False,0.28419822454452515,0.029954273253679276,0.004053869750350714,0.6817560791969299
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,False,0.0018978107254952192,0.007505986839532852,0.4643789529800415,0.5262103080749512
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.000122824203572236,5.396518645284232e-06,0.004608944524079561,0.9952548742294312
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,False,0.002231254242360592,0.0025283421855419874,0.7943814992904663,0.20085109770298004
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,False,0.24325400590896606,0.00734563497826457,0.7492750883102417,0.00011873112089233473
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,True,0.11694596707820892,0.01232601422816515,0.4081815183162689,0.462530255317688
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.0014948819298297167,0.00012270738079678267,0.004063510801643133,0.9943082928657532
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.016950160264968872,0.005502911750227213,0.816704511642456,0.16081863641738892
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,False,0.0033254106529057026,0.0013862375635653734,0.8137011528015137,0.18156127631664276
The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,True,8.120347774820402e-05,0.0004672938084695488,0.957382321357727,0.04206444323062897
The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,True,0.0013872786657884717,0.002591777592897415,0.8143122792243958,0.18169763684272766
The key factor Thomas Malthus failed to recognize in his population theory was,population is limited by their means of subsistence.,all populations have the potential to increase more than the actual rate of increase.,wars and famine inhibit population's reproductive capacity.,technology's ability to raise the Earth's carrying capacity.,D,True,0.001959643792361021,0.0077505409717559814,0.0944209173321724,0.8958407640457153
Which pair of religions are both universalizing religions?,Islam and Judaism,Judaism and Buddhism,Hinduism and Buddhism,Christianity and Buddhism,D,False,0.0006235542823560536,0.00217641843482852,0.7748585939407349,0.22200070321559906
Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?,Concentric zone model,Central place model,Urban realms model,Sector model,D,False,0.07310450077056885,0.03453212231397629,0.6935962438583374,0.19871865212917328
