0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.00046386857866309583,0.0018346357392147183,0.9503648281097412,0.04731587693095207
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,False,0.03226791322231293,0.013451267965137959,0.6481183767318726,0.3061494529247284
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.0014439600054174662,0.022587336599826813,0.9604379534721375,0.015524033457040787
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.004486748483031988,0.020108209922909737,0.968867838382721,0.006528180092573166
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,False,0.9423556923866272,0.004363972693681717,0.05316407233476639,9.057136048795655e-05
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.8504605889320374,0.032975934445858,0.11509732156991959,0.0014488615561276674
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,False,0.7170715928077698,0.2637959122657776,0.01910931058228016,1.7425434634787962e-05
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.12209098786115646,0.05767169967293739,0.7961332201957703,0.02404114045202732
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,False,0.0007055716123431921,0.0005494997021742165,0.9935187697410583,0.005213508382439613
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,False,0.9647502899169922,0.0257097240537405,0.009458079934120178,5.6239794503198937e-05
