0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,False,0.17595307528972626,0.10025504231452942,0.42208948731422424,0.19938096404075623
Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,False,0.12541751563549042,0.059243034571409225,0.3409201204776764,0.43775010108947754
The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,True,0.4014432430267334,0.16734644770622253,0.2434876412153244,0.1015007495880127
Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,False,0.28024375438690186,0.10309591889381409,0.21825407445430756,0.31755778193473816
The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,False,0.16931936144828796,0.12387669831514359,0.3367317318916321,0.16931936144828796
"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,False,0.1988857537508011,0.06456875056028366,0.1755160540342331,0.09394697099924088
Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,False,0.08498857170343399,0.04014575853943825,0.4890754818916321,0.3361363410949707
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,False,0.25386688113212585,0.13588514924049377,0.3693741261959076,0.15397803485393524
The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,False,0.12487998604774475,0.08582866936922073,0.43587395548820496,0.29957151412963867
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,True,0.15491217374801636,0.08291850984096527,0.3955821096897125,0.17553849518299103
One reason that older adults show high levels of optimism is that,Many pessimists die at a younger age,They do not really know what is going on,This may be a warning sign for dementia,Our measures have low validity,A,False,0.11520100384950638,0.05792669579386711,0.3333451449871063,0.3333451449871063
Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,Immunization,Accommodation,Avoidance,Assimilation,A,False,0.053286243230104446,0.06427548825740814,0.41912880539894104,0.32641783356666565
Which of the following is most strongly associated with loss of bone density?,Genetic factors,Lifestyle factors like not exercising,Hormonal factors such as loss of estrogen,Cohort factors,B,False,0.16644003987312317,0.06122986972332001,0.16644003987312317,0.5126714110374451
That super sweet iced tea that your grandmother gives you might be that way because she,Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,Is a member of that cohort that really enjoys sweets,Is trying to get you to be a little sweeter than you have been in the past,Has experienced damage in her parietal lobe where sweet sensations are directed,A,False,0.10120896995067596,0.044911209493875504,0.242787703871727,0.03497688099741936
A shortage of these two vitamins can produce symptoms that mimic dementia:,A and C,B6 and B12,B6 and D,B12 and E,B,False,0.10033772885799408,0.050452981144189835,0.5774037837982178,0.21241500973701477
Which of the following is one of McAdam's levels of personality?,Control,Identity,Generativity,Assimilation,B,False,0.029891951009631157,0.03387201577425003,0.6391180753707886,0.2664240300655365
"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",Moderate amounts of alcohol,Social support,Good genes,Avoiding stress,C,False,0.06282848119735718,0.13300788402557373,0.2997379004955292,0.3396475315093994
Surveys of older adults who are living together show that they tend to view cohabitation as,A first step toward eventual marriage,An alternative to marriage,A way to save on expenses,Their swan song,B,False,0.09405107796192169,0.05034191161394119,0.1368435025215149,0.613290011882782
Older adults may be more attached to a place than younger adults because,That place holds many memories,It's much harder to move when you're older,Young adults pay less attention to place then do older adults,That place represents transcendence,A,False,0.16120964288711548,0.02982078492641449,0.23455864191055298,0.18267446756362915
The Hayflick number for human cells is,Unknown,Between 45 and 55,Less than 30,More than 60,B,False,0.1763022541999817,0.10693272203207016,0.3732318580150604,0.29067328572273254
High levels of self-care behaviors have been associated with high levels of,Neuroticism,Extraversion,Agreeableness,Secondary control,C,False,0.07690881192684174,0.043821319937705994,0.2684381306171417,0.5682834982872009
