0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.07364521920681,0.12142044305801392,0.5441686511039734,0.2570470869541168
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.13748444616794586,0.20003868639469147,0.3298080265522003,0.3298080265522003
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,False,0.4642137587070465,0.21927905082702637,0.19351308047771454,0.11737161874771118
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.10344572365283966,0.24815340340137482,0.28119462728500366,0.36106106638908386
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.06222010776400566,0.025937199592590332,0.5903279781341553,0.31597980856895447
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.20991398394107819,0.06814908981323242,0.44438788294792175,0.2695348858833313
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.18786275386810303,0.11394452303647995,0.4506593346595764,0.24122056365013123
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.036906301975250244,0.032569702714681625,0.5773117542266846,0.3501572608947754
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.17969824373722076,0.12350468337535858,0.43107369542121887,0.2614594101905823
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.03759082406759262,0.015670185908675194,0.6663132309913635,0.27776068449020386
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.24469199776649475,0.16817419230937958,0.35602474212646484,0.21593992412090302
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.04935537278652191,0.05592696741223335,0.7720479369163513,0.11839739233255386
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.06781264394521713,0.04660690575838089,0.6433884501457214,0.23668940365314484
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.07427982240915298,0.057849183678627014,0.37722405791282654,0.4843652844429016
