0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.09721732884645462,0.14145039021968842,0.49371036887168884,0.26426413655281067
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,True,0.1528143584728241,0.1528143584728241,0.32350802421569824,0.36658260226249695
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.3095874786376953,0.18777430057525635,0.3508085608482361,0.1462387591600418
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.11558359116315842,0.24469047784805298,0.277270644903183,0.35602253675460815
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.09839540719985962,0.04647869989275932,0.6416186094284058,0.2083030641078949
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.1582118421792984,0.10873729735612869,0.4300643503665924,0.29557862877845764
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.15509764850139618,0.13687320053577423,0.47773438692092896,0.22566576302051544
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.06351091712713242,0.049462348222732544,0.4692857265472412,0.4141431748867035
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.25872179865837097,0.20149274170398712,0.3322053551673889,0.20149274170398712
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.06864522397518158,0.03674314543604851,0.6512877941131592,0.2395954132080078
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.24919810891151428,0.1511462777853012,0.3625811040401459,0.21991655230522156
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.08760542422533035,0.08760542422533035,0.733511209487915,0.08760542422533035
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.09990325570106506,0.07780473679304123,0.5749036073684692,0.23965546488761902
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.1065923273563385,0.09406740218400955,0.37204378843307495,0.42158085107803345
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.07309474796056747,0.17534521222114563,0.37120580673217773,0.37120580673217773
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.029956350103020668,0.10455793142318726,0.6016893982887268,0.25082144141197205
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.08278985321521759,0.06447681039571762,0.4764227569103241,0.37103840708732605
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.056141965091228485,0.08168607950210571,0.32307472825050354,0.5326601266860962
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,True,0.06889569759368896,0.1458522081375122,0.5090742111206055,0.2724877893924713
