0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,True,0.5397800207138062,0.12044120579957962,0.288923442363739,0.050207361578941345
Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,False,0.0712728202342987,0.04898504167795181,0.5967599749565125,0.2818894684314728
The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,False,0.27329057455062866,0.146281898021698,0.450579971075058,0.12909333407878876
Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,False,0.14629718661308289,0.10054848343133926,0.5106273293495178,0.24120329320430756
The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,False,0.1489640474319458,0.07973471283912659,0.6676105260848999,0.1023814007639885
"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,False,0.2335502952337265,0.08591834455728531,0.4944259822368622,0.18188916146755219
Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,False,0.03988373279571533,0.07451263070106506,0.6238865852355957,0.2600746154785156
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,False,0.4596154987812042,0.1690831184387207,0.31588882207870483,0.05489324405789375
The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,False,0.035986386239528656,0.05933151766657829,0.6378739476203918,0.2659054100513458
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,True,0.08531734347343445,0.07529228925704956,0.7143533825874329,0.12413599342107773
One reason that older adults show high levels of optimism is that,Many pessimists die at a younger age,They do not really know what is going on,This may be a warning sign for dementia,Our measures have low validity,A,False,0.0451599657535553,0.03517061844468117,0.6234140992164612,0.29447996616363525
Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,Immunization,Accommodation,Avoidance,Assimilation,A,False,0.029937608167529106,0.06337791681289673,0.772101104259491,0.1341710388660431
Which of the following is most strongly associated with loss of bone density?,Genetic factors,Lifestyle factors like not exercising,Hormonal factors such as loss of estrogen,Cohort factors,B,False,0.07599899917840958,0.04067933186888695,0.38595473766326904,0.4955756962299347
That super sweet iced tea that your grandmother gives you might be that way because she,Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,Is a member of that cohort that really enjoys sweets,Is trying to get you to be a little sweeter than you have been in the past,Has experienced damage in her parietal lobe where sweet sensations are directed,A,False,0.0586639866232872,0.045687559992074966,0.5565884113311768,0.33758795261383057
A shortage of these two vitamins can produce symptoms that mimic dementia:,A and C,B6 and B12,B6 and D,B12 and E,B,False,0.07461679726839066,0.07461679726839066,0.7079445123672485,0.13940253853797913
Which of the following is one of McAdam's levels of personality?,Control,Identity,Generativity,Assimilation,B,False,0.018412606790661812,0.05005066096782684,0.8871691226959229,0.04416954889893532
"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",Moderate amounts of alcohol,Social support,Good genes,Avoiding stress,C,True,0.10130471736192703,0.1473975032567978,0.5829684138298035,0.16702325642108917
Surveys of older adults who are living together show that they tend to view cohabitation as,A first step toward eventual marriage,An alternative to marriage,A way to save on expenses,Their swan song,B,False,0.09656551480293274,0.07520530372858047,0.3370468020439148,0.49040019512176514
Older adults may be more attached to a place than younger adults because,That place holds many memories,It's much harder to move when you're older,Young adults pay less attention to place then do older adults,That place represents transcendence,A,False,0.07021380215883255,0.025830212980508804,0.5878929495811462,0.314676433801651
The Hayflick number for human cells is,Unknown,Between 45 and 55,Less than 30,More than 60,B,False,0.0971340611577034,0.11006731539964676,0.5589680075645447,0.23301251232624054
High levels of self-care behaviors have been associated with high levels of,Neuroticism,Extraversion,Agreeableness,Secondary control,C,True,0.0749378651380539,0.06613242626190186,0.6274470090866089,0.23082488775253296
Research has offered some longitudinal as well as cross sectional support for the theory put forth by,Peck,Foos,Levenson,Erikson,D,False,0.06070545315742493,0.1456248015165329,0.7395438551902771,0.05357237905263901
"Which of the following is more likely to be a cohort, rather than an age, difference?",A higher proportion of older women have completed menopause,A smaller proportion of older women report dreams about sex,A higher proportion of older men are bald,A higher proportion of older men and women are victims of cancer,B,False,0.035704582929611206,0.06670493632555008,0.6328787803649902,0.26382312178611755
Fear of aging has been associated with high levels of,Introversion,Neuroticism,Rigidity,Mid-life crisis,B,False,0.041532840579748154,0.03665260225534439,0.5733431577682495,0.3477502167224884
In which dementia are cognitive symptoms less likely?,Parkinson's,Pick's,Huntington's,NeuroAIDS,A,False,0.03502237796783447,0.039685554802417755,0.5478421449661255,0.3765260577201843
"In this chapter's Senior View, Dr. Shealy advises you to",Stay in school,Eat the right foods,Get plenty of exercise,Find a high paying job,A,False,0.2640792429447174,0.23304910957813263,0.4353930354118347,0.06676968932151794
"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",Emotional,Instrumental,Informational,Friendly,A,False,0.15229031443595886,0.17256754636764526,0.6023198962211609,0.07193685322999954
Hearing loss occurs more frequently for,Men than women,Women than men,People who already have some loss of vision,People who are obese,A,False,0.12279881536960602,0.0956358090043068,0.29457902908325195,0.4856787323951721
Continued stress is damaging to health and longevity because it leads to,Over exercising which causes physical damage,Suppression of the immune system,"Less eating and, in many cases, severe eating disorders",Risky behaviors such as speeding and not using a seat belt,B,False,0.11800307780504227,0.09190088510513306,0.3207656443119049,0.46671122312545776
One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,Coping strategies,Work productivity,Rates of dementia,Personality traits,D,False,0.03210239112377167,0.0529278889298439,0.5690284967422485,0.3451332151889801
"According to Tat Kleckley of this chapter's Senior View, the most important part of the healing process for those who are bereaved is to",Stay away from other people for a while,Get out and be active,Talk about your loss,Make new friends who don't know about your loss,C,True,0.05489704757928848,0.11621704697608948,0.7578303217887878,0.07048919796943665
Social support is most likely to have a positive influence on health and well being when it is,Very emotional,Perceived as support,Unexpected,External rather than internal,B,False,0.0591009259223938,0.0591009259223938,0.7199966907501221,0.1606529802083969
Free radicals are produced by,Normal metabolism,Excess consumption of Vitamins A and C,Lack of sunlight,A weakened immune system,A,False,0.0885959044098854,0.0885959044098854,0.16551893949508667,0.6546400785446167
Prejudice or bias against older adults is referred to as,Ageism,Oldism,Age bigotry,Senilism,A,False,0.15105010569095612,0.06296704709529877,0.4652670621871948,0.3197730779647827
