0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
How many human polyomaviruses are known at present?,100,1,10,unknown,A,False,0.018332162871956825,0.016178077086806297,0.08215904980897903,0.883293092250824
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,True,0.33087998628616333,0.006060278508812189,0.044779736548662186,0.6181651949882507
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,False,0.028930310159921646,0.0056967162527143955,0.512802004814148,0.4525461792945862
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,False,0.08814214169979095,0.060579147189855576,0.11317674815654755,0.7380051016807556
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,False,0.017942430451512337,0.04877258092164993,0.7629315853118896,0.17023304104804993
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,False,0.020886583253741264,0.020886583253741264,0.41951826214790344,0.5386720895767212
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,False,0.0027691207360476255,0.0016795566771179438,0.9858751893043518,0.009665180929005146
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,False,0.023959122598171234,0.027149243280291557,0.33074551820755005,0.6179139614105225
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,True,0.0417378805577755,0.11345532536506653,0.3959980010986328,0.44872453808784485
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,False,0.8378854990005493,0.047270268201828,0.07793548703193665,0.036814119666814804
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,C,True,0.1537787765264511,0.008675605989992619,0.7809531092643738,0.05657205730676651
How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,True,0.09185106307268143,0.029819674789905548,0.46645820140838623,0.4116479158401489
Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,False,0.026585998013615608,0.011082693003118038,0.8804073333740234,0.08189063519239426
Polio can be eradicated by which of the following?,Attention to sewage control and hygiene,Killed polio vaccine,Live polio vaccine,Combination of the killed and live vaccines.,A,False,0.031194141134619713,0.024294022470712662,0.8045075535774231,0.13980244100093842
Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,False,0.12433749437332153,0.01906777173280716,0.045741207897663116,0.810782253742218
How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,False,0.14527225494384766,0.06862175464630127,0.5745629072189331,0.21136990189552307
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",Clinical trial,Double-blind,Longitudinal,Prospective cohort,D,False,0.06336916238069534,0.0058942497707903385,0.8747842311859131,0.055923085659742355
Which disease do polyomaviruses predominantly cause?,Tumours,Brain pathology,No disease at all,Kidney infections,C,False,0.06996690481901169,0.022714927792549133,0.05449027940630913,0.8523713946342468
How are antibody producing cells stimulated?,Interacting with a virus short peptide,Interacting with a T helper cell.,Interacting with a plasma cell,Interacting with a virus infected cell,B,False,0.23031331598758698,0.10879229754209518,0.4302819073200226,0.23031331598758698
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,The brilliance of the principal investigator,The commitment of the staff,The commitment of the participants,The quality of the laboratories,C,False,0.6483188271522522,0.11266091465950012,0.1857464611530304,0.05321725085377693
Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?,Virions carry RNA transcriptase enzyme into the cell,The virion RNA is translated into a single large polyprotein,The virion RNA acting as mRNA,The virus exits by apoptosis of the cell,C,True,0.34552380442619324,0.09899422526359558,0.39152976870536804,0.16321387887001038
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,The genome has been identified by the new method of deep sequencing,A new vector has been discovered,They infect a wide range of domestic animals and so contaminate meat,Knowledge of their replication as positive sense ssRNA viruses is now complete,A,False,0.09052788466215134,0.19164754450321198,0.048456087708473206,0.6689156293869019
Which virus infection was not first identified by clinical observation?,HIV,Rubella teratogenicity,Microcephaly and Zika,Hepatitis C,D,True,0.016629694029688835,0.003274580929428339,0.17878605425357819,0.8012635111808777
The particular quality of the U.S. health care system is its:,"Systematic, democratic approach","Fragmented, uncoordinated approach",The result of rationale decisions by informed legislators,a. and c. above,B,False,6.861764995846897e-05,0.00011313137656543404,5.291225079417927e-06,0.003988018725067377
The three key intervention strategies according to Professor Shoptaw are:,"Behavioral intervention, treatment and structural interventions","Condoms, drug therapy and regulation of commercial sex establishments","Drug replacement therapy, community intervention and needle exchange","HIV testing, drug therapy and condom use",A,True,0.9828526377677917,0.004551511257886887,0.0016744073946028948,0.010918507352471352
Measles has been controlled in many countries by which of the following?,By hygiene,By MMR vaccine,By new molecular peptide vaccines,By humanised monoclonal antibodies to F protein,B,False,0.20552752912044525,0.08567662537097931,0.6330693960189819,0.07560935616493225
How can the spread of filoviruses be restricted?,New antivirals,New humanised monoclonal antibodies,Hygiene and social distancing,New vaccines,C,False,0.3203815519809723,0.03376796469092369,0.2827357351779938,0.36303985118865967
Most pandemics have arisen from influenza viruses from which of the following animals?,Pigs,Wild birds,Bats,Humans,A,False,0.016003096476197243,0.01813388243317604,0.8737394213676453,0.09209145605564117
PreP is an effective strategy for reducing the incidence of HIV in:,Women,Drug users,Pregnant women,a. and b. above,B,False,0.0015650595305487514,1.5343302948167548e-05,0.5571997165679932,0.23227539658546448
The replication of hepatitis B includes which of the following stages?,Movement of intact virus to the cellular cytoplasm for replication,Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus,Virions produced in the cytoplasm by cellular DNA polymerase,Oncogenic activity to transform liver cells.,C,False,0.7439126372337341,0.16598935425281525,0.028844622895121574,0.06106406822800636
