0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
How many human polyomaviruses are known at present?,100,1,10,unknown,A,False,0.11149127036333084,0.08682949841022491,0.19567330181598663,0.5661994218826294
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,False,0.3239484131336212,0.04666919633746147,0.2522912919521332,0.3239484131336212
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,False,0.14618518948554993,0.039345212280750275,0.35068005323410034,0.45028209686279297
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,False,0.14134760200977325,0.11718128621578217,0.26407209038734436,0.43538129329681396
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,False,0.06357723474502563,0.10482113808393478,0.3436952531337738,0.4413134455680847
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,False,0.08284040540456772,0.10636918991804123,0.4206983149051666,0.3712649345397949
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,False,0.07435748726129532,0.06562025099992752,0.584867000579834,0.2438088357448578
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,False,0.08034726232290268,0.06257451325654984,0.3600914776325226,0.46236658096313477
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,True,0.1206372082233429,0.15490125119686127,0.2893936336040497,0.42106524109840393
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,False,0.4001593291759491,0.11464756727218628,0.24270890653133392,0.18902188539505005
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,C,True,0.27326908707618713,0.0690932348370552,0.39760416746139526,0.2411591112613678
How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,False,0.07676463574171066,0.06774456053972244,0.2679349184036255,0.5672182440757751
Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,False,0.15798060595989227,0.1085783839225769,0.3789758086204529,0.33444496989250183
Polio can be eradicated by which of the following?,Attention to sewage control and hygiene,Killed polio vaccine,Live polio vaccine,Combination of the killed and live vaccines.,A,False,0.0910983607172966,0.09697370231151581,0.43460598587989807,0.3384714722633362
Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,False,0.17121951282024384,0.07137490808963776,0.21985019743442535,0.5273932218551636
How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,False,0.20999880135059357,0.0991964042186737,0.26964378356933594,0.3923293948173523
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",Clinical trial,Double-blind,Longitudinal,Prospective cohort,D,False,0.18229655921459198,0.08611077815294266,0.49553337693214417,0.18229655921459198
Which disease do polyomaviruses predominantly cause?,Tumours,Brain pathology,No disease at all,Kidney infections,C,False,0.10680168122053146,0.07340365648269653,0.25620394945144653,0.5423837304115295
How are antibody producing cells stimulated?,Interacting with a virus short peptide,Interacting with a T helper cell.,Interacting with a plasma cell,Interacting with a virus infected cell,B,False,0.12668730318546295,0.1118011549115181,0.3443717956542969,0.3902243673801422
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,The brilliance of the principal investigator,The commitment of the staff,The commitment of the participants,The quality of the laboratories,C,True,0.29865676164627075,0.10986968129873276,0.3384224474430084,0.23259413242340088
Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?,Virions carry RNA transcriptase enzyme into the cell,The virion RNA is translated into a single large polyprotein,The virion RNA acting as mRNA,The virus exits by apoptosis of the cell,C,False,0.24834075570106506,0.1173078790307045,0.2814069390296936,0.31887584924697876
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,The genome has been identified by the new method of deep sequencing,A new vector has been discovered,They infect a wide range of domestic animals and so contaminate meat,Knowledge of their replication as positive sense ssRNA viruses is now complete,A,False,0.1055590882897377,0.09916356950998306,0.17403750121593475,0.5706470012664795
Which virus infection was not first identified by clinical observation?,HIV,Rubella teratogenicity,Microcephaly and Zika,Hepatitis C,D,True,0.07671776413917542,0.0410640612244606,0.3034246563911438,0.5668718814849854
The particular quality of the U.S. health care system is its:,"Systematic, democratic approach","Fragmented, uncoordinated approach",The result of rationale decisions by informed legislators,a. and c. above,B,False,0.03683970868587494,0.0305411908775568,0.03683970868587494,0.24022506177425385
The three key intervention strategies according to Professor Shoptaw are:,"Behavioral intervention, treatment and structural interventions","Condoms, drug therapy and regulation of commercial sex establishments","Drug replacement therapy, community intervention and needle exchange","HIV testing, drug therapy and condom use",A,False,0.17926546931266785,0.06594808399677277,0.17926546931266785,0.5521765351295471
Measles has been controlled in many countries by which of the following?,By hygiene,By MMR vaccine,By new molecular peptide vaccines,By humanised monoclonal antibodies to F protein,B,False,0.21469584107398987,0.14755815267562866,0.3539735972881317,0.2432822734117508
How can the spread of filoviruses be restricted?,New antivirals,New humanised monoclonal antibodies,Hygiene and social distancing,New vaccines,C,False,0.22710835933685303,0.10727838426828384,0.22710835933685303,0.42429426312446594
Most pandemics have arisen from influenza viruses from which of the following animals?,Pigs,Wild birds,Bats,Humans,A,False,0.11525051295757294,0.13059593737125397,0.455824613571167,0.2764716148376465
PreP is an effective strategy for reducing the incidence of HIV in:,Women,Drug users,Pregnant women,a. and b. above,B,False,0.012320313602685928,0.0003084330237470567,0.004532389808446169,0.009595070034265518
The replication of hepatitis B includes which of the following stages?,Movement of intact virus to the cellular cytoplasm for replication,Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus,Virions produced in the cytoplasm by cellular DNA polymerase,Oncogenic activity to transform liver cells.,C,False,0.2539040446281433,0.13590504229068756,0.19774065911769867,0.3260192275047302
How does the papilloma family of viruses cause cancer?,"Replicate in dividing cells and encodes three oncogenic proteins E5, E6 and E7",Integrates viral genome into cellular DNA,Has an oncogene able to initiate cancer,Acts as a co factor for a cellular oncogene,B,False,0.2078159749507904,0.16184724867343903,0.30237045884132385,0.26684099435806274
The noroviruses typically cause which of the following?,Diarrhoea,Rash,Projectile vomiting and diarrhoea,Disease of the central nervous system,C,True,0.18958424031734467,0.11498865485191345,0.35418999195098877,0.31257155537605286
Deep nucleotide sequencing (NGS) is now cheap enough for general application. What will the technique mainly be useful for?,Speedy vaccine development,Identifying genetic variation,Giving details on virus excretion in symptomless carriers,Quickly identifying new viruses,D,True,0.0829690471291542,0.09401625394821167,0.3281489908695221,0.47745394706726074
Determinants of acquiring an HIV infection from an infected person per sexual act include:,Viral RNA level,Presence of other infections,Condom use,All of the above,D,False,0.21246013045310974,0.10035905987024307,0.350287526845932,0.30912765860557556
How is next generation sequencing (NGS) most often used?,To identify a newly discovered virus,To search for drug resistant mutants,To identify quasi species viruses,Cannot be used,D,True,0.06961656361818314,0.04222457855939865,0.2753388583660126,0.5828922986984253
Which of the following HPV viruses are known to cause cervical cancer?,Viruses of all 5 clades,"Types 14, 16, 18, 31, 45",None are oncogenic per se,Types 1-180,C,False,0.21148931980133057,0.09384781867265701,0.27155765891075134,0.39511406421661377
