0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?
",Meat,Confectionary,Fruits and vegetables,Potatoes,C,False,5.4211523092817515e-06,2.699032677355717e-07,7.887730134825688e-06,1.6698324543540366e-05
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?
",If the incidence rate of the disease falls.,If survival time with the disease increases.,If recovery of the disease is faster.,If the population in which the disease is measured increases.,B,False,8.479937969241291e-05,6.474513156717876e-07,3.2880288927117363e-06,8.937789061747026e-06
"Which of the following statements is correct?
",The flavonoid class comprises flavonoids and isoflavonoids.,The digestibility and bioavailability of isoflavones in soya food products are not changed by processing.,ß-Carotene and lycopene can both act as provitamin A.,Carotenoids and flavonoids both belong to the polyphenol class.,A,True,0.0004865549271926284,2.893161308747949e-06,4.209524377074558e-06,1.1442673894634936e-05
"What are the main causes of the obesity epidemic?
",Increased energy quantity/density and a more sedentary life-style,Decreased leisure time activity,Changes in genetic profiles,None of the options given is correct,A,True,7.734196572073415e-08,2.646496799485476e-09,1.5229538519179187e-08,3.6533759129042664e-08
"Which vitamin is a major lipid-soluble antioxidant in cell membranes?
",Vitamin A,Vitamin D,Vitamin E,Vitamin K,C,False,1.3556995099861524e-06,1.4288968941400526e-07,3.024974546406156e-07,4.73185673399712e-06
"Which of the following contributes to vitamin B12 deficiency in older adults?
",Reduced secretion of intrinsic factor,Atrophic gastritis,Helicobacter pylori infection,All of the above,D,False,4.222602456138702e-06,4.1396940986260233e-08,1.4448951901613327e-07,1.0676411648091744e-06
"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect?
",Testosterone,Oestrogen,Insulin-like growth factor-1,Thyroxine,B,False,5.040019459556788e-07,5.312141837521267e-08,1.759139649948338e-06,6.9575321504089516e-06
"Which vitamin is required for calcium absorption from the small intestine?
",Vitamin A,Vitamin D,Vitamin E,Vitamin K,B,False,3.1650145047024125e-06,3.780070585435169e-07,1.4950470585972653e-06,2.063848660327494e-05
"Which of the following statements about the metabolic demand for amino acids is correct?
","The metabolic demand is supplied only from the diet,",The metabolic demand is to maintain protein turnover.,The metabolic demand involves consumption of amino-acids by a number of irreversible pathways and these are either obligatory or adaptive.,The metabolic demand is a fixed amount,C,True,1.6697045793989673e-05,1.2095298416170408e-06,5.1430521125439554e-05,3.9267686702260107e-07
"Which of the following statements about human amino acid requirements in human nutrition is correct?
",The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.,The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.,The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.,The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.,B,False,0.0058804722502827644,5.7650126109365374e-05,0.0005469691823236644,0.00277773872949183
