0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,False,0.02320145256817341,0.02047521062195301,0.08098102360963821,0.8706281185150146
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,False,0.16508933901786804,0.07798267900943756,0.5762183666229248,0.16508933901786804
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,False,0.00010865806689253077,0.00023002910893410444,0.0019260102417320013,0.9976980090141296
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,1.4449447860442888e-07,9.930950994885279e-08,3.653392255387189e-08,5.422115009423578e-06
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,False,0.012102756649255753,0.003929189871996641,0.400788277387619,0.5831435322761536
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.01993582956492901,0.01759330928325653,0.21433037519454956,0.7480865120887756
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.028791919350624084,0.008249022997915745,0.9534574151039124,0.006424345541745424
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.037394002079963684,0.022680610418319702,0.35478442907333374,0.5849406123161316
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,False,0.025890082120895386,0.048369038850069046,0.16882455348968506,0.7566190958023071
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.023455360904335976,0.026578405871987343,0.4157562255859375,0.5338415503501892
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.035745248198509216,0.05893395096063614,0.18152935802936554,0.7179625034332275
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.05333896726369858,0.025195546448230743,0.34781378507614136,0.5734480023384094
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,False,1.4449447860442888e-07,9.930950994885279e-08,3.653392255387189e-08,5.422115009423578e-06
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,False,2.748988481471315e-05,3.999753971584141e-05,0.00029554410139098763,0.001324536744505167
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,False,0.00746986735612154,0.006592134945094585,0.4621443450450897,0.5236781239509583
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,False,0.17702482640743256,0.05747154355049133,0.0651237890124321,0.7001467347145081
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,False,0.009803189896047115,0.0021873873192816973,0.10539421439170837,0.8824549317359924
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,True,0.32054802775382996,0.13362428545951843,0.13362428545951843,0.4115917980670929
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,False,0.02502499520778656,0.028357036411762238,0.5026404857635498,0.44357866048812866
