0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.8362405896186829,0.03242456540465355,0.07778248935937881,0.05345907062292099
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.4588272273540497,0.11600968986749649,0.40491360425949097,0.020159462466835976
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.2949824631214142,0.10851797461509705,0.5510997772216797,0.04523702710866928
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.19641317427158356,0.41580668091773987,0.32383057475090027,0.06376602500677109
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.10472076386213303,0.07197345793247223,0.7737875580787659,0.049466583877801895
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.1829373836517334,0.11095712333917618,0.6385142207145691,0.06729889661073685
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.352784126996994,0.1470623016357422,0.352784126996994,0.1470623016357422
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.9786989688873291,0.003529739798977971,0.001298518618568778,0.01581919565796852
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.2051713466644287,0.2634452283382416,0.4343477189540863,0.0969160795211792
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.5788478851318359,0.30983495712280273,0.10058867186307907,0.010601969435811043
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.4564042091369629,0.16790173947811127,0.3136817216873169,0.061767593026161194
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.4266590178012848,0.2587817907333374,0.29323819279670715,0.02124210074543953
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.3878204822540283,0.18319343030452728,0.34225034713745117,0.08653444796800613
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.18628621101379395,0.18628621101379395,0.5738019347190857,0.053371891379356384
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.4576393961906433,0.0901145339012146,0.40386533737182617,0.048234835267066956
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.29864731431007385,0.18113873898983002,0.43452924489974976,0.08556387573480606
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.34408169984817505,0.12658058106899261,0.5006359219551086,0.02824394591152668
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.12497354298830032,0.040572963654994965,0.8149298429489136,0.019165312871336937
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.9496971964836121,0.01971033588051796,0.028678370639681816,0.0016179231461137533
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,True,0.5961751937866211,0.15073668956756592,0.219320610165596,0.03363390266895294
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.23080527782440186,0.09621395170688629,0.6273937225341797,0.04544825106859207
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.16106101870536804,0.6370086669921875,0.16106101870536804,0.04072260111570358
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.3529532849788666,0.21407699584960938,0.39994847774505615,0.03282976895570755
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,True,0.41129252314567566,0.28267696499824524,0.28267696499824524,0.023203536868095398
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.031854115426540375,0.9309137463569641,0.03609544411301613,0.0006611110875383019
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,False,0.10146093368530273,0.3541334569454193,0.45471635460853577,0.08953895419836044
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.11141344904899597,0.23586226999759674,0.5658041834831238,0.08676888793706894
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,True,0.6843351125717163,0.09261468797922134,0.17302700877189636,0.04957307130098343
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,False,0.1596074104309082,0.26314815878868103,0.49162545800209045,0.08543168753385544
A Binary number system has how many digits.,0,1,2,10,C,True,0.12107067555189133,0.19961179792881012,0.4788438081741333,0.19961179792881012
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.8357219696044922,0.05342591926455498,0.09981276094913483,0.010520187206566334
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,True,0.7026463150978088,0.050899531692266464,0.13835926353931427,0.10775431245565414
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,False,0.3421519100666046,0.18314072489738464,0.3877089023590088,0.08650955557823181
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,True,0.30165979266166687,0.18296590447425842,0.43891239166259766,0.07627153396606445
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,False,0.27268385887145996,0.27268385887145996,0.449579656124115,0.004994379356503487
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,False,0.20846834778785706,0.30331966280937195,0.3894701302051544,0.09847347438335419
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,True,0.04910235479474068,0.13347402215003967,0.7680900692939758,0.04910235479474068
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.7899371981620789,0.10690637677907944,0.09434454888105392,0.008775410242378712
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,False,0.0988779291510582,0.1120433583855629,0.6447650790214539,0.14386653900146484
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,False,0.24780388176441193,0.2807985842227936,0.40855953097343445,0.06265463680028915
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,False,0.387085884809494,0.14240093529224396,0.4386257529258728,0.031773943454027176
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,False,0.3547976613044739,0.3547976613044739,0.27631670236587524,0.013756997883319855
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.25406304001808167,0.25406304001808167,0.4188791513442993,0.07279027998447418
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,False,0.46392083168029785,0.10351473093032837,0.36130189895629883,0.07114456593990326
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,True,0.6830131411552429,0.15240083634853363,0.13449324667453766,0.030009502544999123
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,False,0.6693511009216309,0.16923846304416656,0.13180303573608398,0.02940923534333706
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,False,0.49109864234924316,0.1095789223909378,0.38246801495552063,0.016804471611976624
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,False,0.6763659715652466,0.09153617918491364,0.2195838838815689,0.012388074770569801
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,False,0.9449895620346069,0.025183118879795074,0.02853621169924736,0.001253793598152697
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.14420297741889954,0.44417643547058105,0.39198434352874756,0.01951575092971325
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,True,0.3346159756183624,0.13948869705200195,0.42965543270111084,0.09586908668279648
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,False,0.6129887104034424,0.07321106642484665,0.17562422156333923,0.13677628338336945
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,True,0.13922187685966492,0.04519873112440109,0.7070271372795105,0.10842612385749817
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,False,0.35412952303886414,0.1014598086476326,0.45471131801605225,0.08953796327114105
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,False,0.7040905952453613,0.22858475148677826,0.06549062579870224,0.0017452661413699389
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,False,0.6783110499382019,0.10402237623929977,0.19433937966823578,0.02321052737534046
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,True,0.5883563160896301,0.04262039065361023,0.27791985869407654,0.09022736549377441
"In electronic communications, ""AM"" stands for",Amp Modification,Amplitude Method,Amplitude Modulation,Ampere Method,C,True,0.36427173018455505,0.13400807976722717,0.467734158039093,0.03388255089521408
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,False,0.21339868009090424,0.06113974750041962,0.5119168162345886,0.21339868009090424
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B,False,0.7007423043251038,0.1074623167514801,0.1771754026412964,0.014543442055583
A null type instrument as compared to a deflected type instrument has,a lower sensitivity.,a faster response.,a higher accuracy.,all of the above.,C,False,0.477550208568573,0.12074360251426697,0.22557875514030457,0.17568092048168182
"Length of the cable is doubled, its capacitance C will be",one-fourth.,one-half.,doubled.,unchanged.,C,True,0.23614008724689484,0.3032098710536957,0.4411677420139313,0.019383559003472328
Electrons in p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,False,0.7064574956893921,0.10833877325057983,0.157631978392601,0.027392329648137093
________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,True,0.5361136198043823,0.09316257387399673,0.3684651553630829,0.0021909738425165415
Voltage controlled oscillators are used commonly in,Pulse Modulators Frequency Modulators Phase Clocked loops,Frequency Modulators,Phase Clocked loops,All the above,D,False,0.9846204519271851,0.010938146151602268,0.004023918882012367,0.00037428276846185327
Low frequency supply is necessary for direct core type induction furnaces because,With normal frequeny supply the electromagnetic forces causes severe stirring action in the molten metal.,Magnetic coupling between the primary and secondary circuit is poor.,Both A and B.,None of the above.,C,True,0.39875635504722595,0.06929346174001694,0.5120132565498352,0.019852908328175545
"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,A,True,0.4795885384082794,0.29088515043258667,0.22654159367084503,0.0028517376631498337
Which of the following is the analogous quantity for mass element in force-voltage analogy?,Resistance.,Inductance.,Capacitance.,All of the above.,B,False,0.681265652179718,0.0633675754070282,0.22117456793785095,0.033918220549821854
A latch is ________ sensitive,both level and edge,edge,level,,C,True,0.2220289409160614,0.2515917420387268,0.47003522515296936,0.056137703359127045
What is used to protect the SCR from over current ?,CB and fuse.,Heat sink.,Snubber circuit.,Voltage clamping device.,A,False,0.2908723056316376,0.1556927114725113,0.4795673191547394,0.07354403287172318
The errors mainly caused by human mistakes are,gross error.,instrumental error.,observational error.,systematic error.,A,True,0.42414095997810364,0.17680825293064117,0.2915075421333313,0.10723962634801865
Electrical analogous quantity for dash-pot in force-current analogy is,resistance.,conductance.,inductance.,capacitance.,B,False,0.09166096895933151,0.09166096895933151,0.7674678564071655,0.0490625761449337
Which lamp has the best Colour Rendering Index (CRI)?,LED,Fluorescent,Incandescent,High pressure sodium vapour,C,False,0.7502981424331665,0.10154180973768234,0.1303822547197342,0.017645321786403656
Power dissipation in ideal inductor is,Maximum,Minimum,Zero,A finite value,C,True,0.15883590281009674,0.33625563979148865,0.38102754950523376,0.1237015351653099
For intermittent work which of the following furnace is suitable?,Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B,False,0.3102419376373291,0.27378755807876587,0.398358553647995,0.01750265248119831
In electrical resistance welding material of electrode should have,higher electrical conductivities.,higher thermal conductivities.,sufficient strength to sustain high pressure at elevated temperatures.,all of above.,D,False,0.8305632472038269,0.06817678362131119,0.08754071593284607,0.01342480443418026
Which of the following are the passive elements?,Resistor,Bulb,Both,None of these.,C,True,0.36258578300476074,0.13338784873485565,0.4655693471431732,0.03821625933051109
The main advantage of dielectric heating is that,heating occurs in the material itself.,heating occurs due to high frequency.,it can be used for drying the explosives.,None of the above.,A,True,0.5629687905311584,0.1108551174402237,0.30133548378944397,0.02473512291908264
Materials used in heat sink should have,high thermal conductivity.,large surface area.,high melting point.,All of these.,D,False,0.8884758949279785,0.06436097621917725,0.04423460736870766,0.002827824093401432
Conductor is static and the field is varying then emf will be induced. This principle is called,virtually induced emf.,dynamically induced emf.,static induced emf.,none of these,C,False,0.6127524375915527,0.1549280881881714,0.2254190593957901,0.006807065103203058
"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,400 MVA,125 MVA,100 MVA,A,False,0.3059088885784149,0.26996365189552307,0.3466401994228363,0.07734588533639908
"According to the Bohr model, an electron gains or losses energy only by",moving faster or slower in an allowed orbit.,jumping from one allowed orbit to another.,being completely removed from an atom.,jumping from one atom to another atom.,B,False,0.6817445158958435,0.22133004665374756,0.0922640860080719,0.004593558609485626
A three-state buffer has the following output states,"1, 0, float","High, Low, Float",Both A and B,"Set, Reset, Halt",C,True,0.08150413632392883,0.08150413632392883,0.7732897996902466,0.06347548961639404
"By using which of the following elements, mechanical translational systems are obtained?",mass element,spring element,dash-pot,all of the above,D,False,0.7773268222808838,0.09283845126628876,0.09283845126628876,0.03415335714817047
"Four capacitors each of 40 µF are connected in parallel, the equivalent capacitance of the system will be",160 µF,10 µF,40 µF,5 µF,A,False,0.1930452585220337,0.2808791995048523,0.40867680311203003,0.11708787083625793
"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",R Ω,2R Ω,4R Ω,8R Ω,C,True,0.1447582095861435,0.18587322533130646,0.5052557587623596,0.16403253376483917
A single phase full bridge inverter can operated in load commutation mode in case load consist of,RL.,RLC underdamped.,RLC overdamped.,RLC critically damped.,B,False,0.5481936931610107,0.07418994605541229,0.3324962556362152,0.044998474419116974
A microprocessor is ALU,and control unit on a single chip.,and memory on a single chip.,register unit and I/O device on a single chip.,register unit and control unit on a single chip.,D,False,0.3297877609729767,0.25683897733688354,0.37369847297668457,0.039387527853250504
"To obtain a high value of capacitance, the permittivity of dielectric medium should be",low,zero,high,unity,C,True,0.28379613161087036,0.07175489515066147,0.6007964015007019,0.04352154582738876
Deflection method direct measurements are most widely used as these are,least time consuming.,most simple.,most simple and least time consuming.,most accurate.,C,True,0.02665313333272934,0.034223299473524094,0.8826305270195007,0.05642468109726906
Purely mechanical instrument cannot be used for dynamic measurements because they have,high inertia.,higher response time.,large time constant.,all of the above.,D,False,0.7900809049606323,0.09436170756816864,0.09436170756816864,0.021054942160844803
Advantages of higher transmission voltage is/are,Power transfer capability of the transmission line is increased,Transmission line losses are reduced,Area of cross section and volume of the conductor is reduced,all of the above,D,False,0.9159272909164429,0.04560133442282677,0.019009463489055634,0.019009463489055634
Under over voltage condition impedance offered by the voltage clamping device is,high.,low.,moderate.,infinity.,B,False,0.3962438106536865,0.2120940238237381,0.3496839106082916,0.041763786226511
A long wire composed of a smooth round conductor runs above and parallel to the ground (assumed to be a large conducting plane). A high voltage exists between the conductor and the ground. The maximum electric stress occurs at,lower surface of the conductor.,upper surface of the conductor.,the ground surface.,midway between the conductor and ground.,A,True,0.5339573621749878,0.222586527466774,0.222586527466774,0.020703772082924843
In a dc machine 6 pole wave winding is used. The number of parallel paths are?,6,4,2,1,C,False,0.5955870151519775,0.24827760457992554,0.1328934282064438,0.023093415424227715
Which of the following is a digital device,Regulator of a fan,Microphone,Resistance of a material,Light switch,D,False,0.11265061050653458,0.09941381216049194,0.7345742583274841,0.05321238189935684
Instantaneous power in inductor is proportional to the,product of the instantaneous current and rate of change of current.,square of instantaneous current.,square of the rate of change of current.,temperature of the inductor.,A,True,0.7342790365219116,0.21037447452545166,0.05319099873304367,0.002062438754364848
Which of the following is a variable displacement transducer?,tachometer,potentiometer,synchros,none of the above,B,False,0.4092281758785248,0.17059168219566345,0.4092281758785248,0.010905561037361622
"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",5 µF,25 µF,10 µF,1 µF,D,False,0.32178109884262085,0.22115670144557953,0.3646257519721985,0.09219183027744293
Susceptibility is negative for,non magnetic substances.,diamagnetic substances.,ferromagnetic substances.,none of above.,B,False,0.2613275349140167,0.1398785412311554,0.553230345249176,0.045411910861730576
One of the following is the primary function of an oscillator,produces sinusoidal oscillations,generates non sinusoidal waveforms,generates sustained oscillations at a constant amplitude and specific frequency,none of the above,C,False,0.6879059672355652,0.07250475138425827,0.22333036363124847,0.01617799885571003
The metal surfaces for electrical resistance welding must be,rough.,clean.,moistened,coloured,B,False,0.38896483182907104,0.16214466094970703,0.38896483182907104,0.059649694710969925
The latching current of SCR is 20 mA. Its holding current will be,23 mA.,40 mA.,10 mA.,60 mA.,C,True,0.101406030356884,0.16719026863574982,0.6612503528594971,0.06969527155160904
"In force-current analogy, electrical analogous quantity for displacement (x) is",voltage.,inductance.,capacitance.,flux.,D,False,0.11769579350948334,0.13336680829524994,0.6772925853729248,0.07138611376285553
Feedback circuit in an oscillator can be accomplished by,Resistive coupling between input and output,Capacitive coupling between input and output,Inductive coupling between input and output,Any one or combinations of the above methods,D,False,0.7837989330291748,0.10607564449310303,0.10607564449310303,0.0036297093611210585
