0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.02240927144885063,0.02240927144885063,0.7420931458473206,0.21261323988437653
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,False,0.10709411650896072,0.05732335150241852,0.5438688397407532,0.2911120355129242
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.05965527519583702,0.08679791539907455,0.7267500162124634,0.1262902021408081
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.04533373937010765,0.06596019864082336,0.8035597205162048,0.08469456434249878
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,False,0.49934181571006775,0.08677259087562561,0.38888779282569885,0.024860763922333717
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.44723647832870483,0.14519642293453217,0.3073808550834656,0.09979195147752762
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,False,0.6999877095222473,0.17698460817337036,0.12163961678743362,0.001192513038404286
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.1750689148902893,0.25472375750541687,0.47588658332824707,0.0937076210975647
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,False,0.0791594609618187,0.0423710010945797,0.6627939939498901,0.2151777148246765
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,False,0.7522503137588501,0.14812685549259186,0.0792865976691246,0.020046791061758995
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.20651109516620636,0.05916641652584076,0.7207944989204407,0.013201812282204628
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,religion.,physics.,psychology.,art.,C,True,0.2833726704120636,0.2833726704120636,0.4123047888278961,0.020527446642518044
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,duty.,justice.,virtue.,supererogation.,B,False,0.31684327125549316,0.08011052757501602,0.5223862528800964,0.08011052757501602
Berkeley asserts that existing and perceiving are _____.,one and the same thing,both nonexistent,two distinct things,imaginary,A,False,0.0359620563685894,0.05929140746593475,0.5625412464141846,0.34119850397109985
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",rational,artificial,constitutional,fair,D,False,0.07978464663028717,0.10244552791118622,0.4591289758682251,0.35757002234458923
Berkeley believes that sensible things cannot exist except in _____.,a mind,absolute existence,material substance,a material universe,A,False,0.3584747314453125,0.13187548518180847,0.40620508790016174,0.1027047336101532
Singer claims that his argument upsets the traditional distinction between:,duty and charity.,egoism and altruism.,rights and privileges.,positive and negative rights.,A,False,0.3933877646923065,0.12771432101726532,0.44576674699783325,0.0322912372648716
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","to what our senses reveal to us about how things appear to us, not how they  really are.","beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.",to what we sincerely believe is true about the Forms based on our experiences in the world.,beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.,D,False,0.5457311272621155,0.12176907062530518,0.29210883378982544,0.039532631635665894
What was Clarence Darrow's belief about life's meaning?,Life was not worthwhile.,Life was hard but worthwhile.,Life was uncertain but ultimately rewarding.,Life was meaningful for most people.,A,False,0.021104007959365845,0.0736602246761322,0.8973652720451355,0.007763730827718973
Stevenson’s primary aim in this paper is to:,provide an account of what makes right actions right.,establish which things are good in themselves.,develop a theory of good moral character.,make ethical questions clear.,D,False,0.3882811665534973,0.5649457573890686,0.04637357220053673,0.00035406657843850553
"According to Moore, we are thinking about good whenever we think about:",pleasure.,things that we desire.,intrinsic value.,none of the above.,C,True,0.3727142810821533,0.13711392879486084,0.47857460379600525,0.011254996061325073
Baier argues that genuine moral rules:,must be for the good of human beings.,make take into account the interests of all sentient beings.,must take into account the interests of all living beings.,are primarily directed toward promoting self-interest.,A,True,0.5020096898078918,0.0872361958026886,0.3909655511379242,0.019465027377009392
