0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C,True,0.022343747317790985,0.025318782776594162,0.7399232983589172,0.2119915783405304
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D,False,0.1031147837638855,0.05519336834549904,0.5236601233482361,0.31761592626571655
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D,False,0.05357455462217331,0.07795051485300064,0.7395738959312439,0.12851865589618683
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D,False,0.05062213912606239,0.07365477830171585,0.7918635606765747,0.08346179872751236
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B,False,0.44968655705451965,0.07814380526542664,0.44968655705451965,0.022388575598597527
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,False,0.4166216254234314,0.1532665491104126,0.32446524500846863,0.1053384393453598
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C,False,0.6888720393180847,0.17417412996292114,0.13564693927764893,0.0011735762236639857
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D,False,0.16466093063354492,0.23958025872707367,0.5071914196014404,0.08813664317131042
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A,False,0.07514403015375137,0.03132469207048416,0.7129467129707336,0.18026116490364075
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B,False,0.7503193616867065,0.14774663746356964,0.07908307760953903,0.02265768125653267
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C,True,0.17006224393844604,0.05521112680435181,0.7621660828590393,0.012319267727434635
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,religion.,physics.,psychology.,art.,C,True,0.2448028028011322,0.27739790081977844,0.45735180377960205,0.02009463682770729
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,duty.,justice.,virtue.,supererogation.,B,False,0.2933342456817627,0.07416650652885437,0.5480204820632935,0.08404166996479034
Berkeley asserts that existing and perceiving are _____.,one and the same thing,both nonexistent,two distinct things,imaginary,A,False,0.03100983425974846,0.051126573234796524,0.62284916639328,0.29421311616897583
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",rational,artificial,constitutional,fair,D,False,0.06861960887908936,0.08810931444168091,0.4474560618400574,0.3948785662651062
Berkeley believes that sensible things cannot exist except in _____.,a mind,absolute existence,material substance,a material universe,A,False,0.3629089593887329,0.13350674510002136,0.4112297296524048,0.09175775945186615
Singer claims that his argument upsets the traditional distinction between:,duty and charity.,egoism and altruism.,rights and privileges.,positive and negative rights.,A,False,0.33567631244659424,0.13993071019649506,0.48840615153312683,0.03538002446293831
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","to what our senses reveal to us about how things appear to us, not how they  really are.","beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.",to what we sincerely believe is true about the Forms based on our experiences in the world.,beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.,D,False,0.5704743266105652,0.1272900253534317,0.26947298645973206,0.03218396008014679
What was Clarence Darrow's belief about life's meaning?,Life was not worthwhile.,Life was hard but worthwhile.,Life was uncertain but ultimately rewarding.,Life was meaningful for most people.,A,False,0.016687437891960144,0.06600009649991989,0.9111031889915466,0.006138965021818876
Stevenson’s primary aim in this paper is to:,provide an account of what makes right actions right.,establish which things are good in themselves.,develop a theory of good moral character.,make ethical questions clear.,D,False,0.4159156084060669,0.5340462327003479,0.049674034118652344,0.00033470100606791675
"According to Moore, we are thinking about good whenever we think about:",pleasure.,things that we desire.,intrinsic value.,none of the above.,C,True,0.351242333650589,0.1292148232460022,0.5110545754432678,0.008260427974164486
Baier argues that genuine moral rules:,must be for the good of human beings.,make take into account the interests of all sentient beings.,must take into account the interests of all living beings.,are primarily directed toward promoting self-interest.,A,True,0.4518528878688812,0.07852025330066681,0.4518528878688812,0.0175202377140522
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward:",rationalism.,empiricism.,relativism.,absolutism.,C,True,0.21698777377605438,0.1914910227060318,0.45936310291290283,0.1316097378730774
Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations:,why should we bother? and what are the consequences of our believing one thing over another?,what do you mean? and how do you know?,who really believes X? and how can we explain differences in people's beliefs?,how do philosophers argue? and are their differences important?,B,True,0.13340474665164948,0.46562832593917847,0.2824178636074066,0.11772927641868591
Epictetus claims that things within our power are __________ and things not in our power are __________.,free and unhindered; free and unhindered,free and unhindered; servile and subject to hindrance,servile and subject to hindrance; free and unhindered,servile and subject to hindrance; servile and subject to hindrance,B,False,0.06781531870365143,0.05281461775302887,0.826159656047821,0.05281461775302887
Hume divides our perceptions into two categories:,sensations and emotions.,impressions and ideas.,static and dynamic.,simple and complex.,B,False,0.1388079673051834,0.2288556694984436,0.6220941543579102,0.01005521509796381
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form:",would likewise be destroyed.,would be destroyed only if there were no one around to remember the species.,would continue existing (as with Plato's Forms) in some other realm of being.,"would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things.",A,True,0.410496324300766,0.1711203157901764,0.36226171255111694,0.05555463582277298
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not?","Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living.","Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not.","Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.","Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own.",C,False,0.24020645022392273,0.03683685138821602,0.27218955755233765,0.44876471161842346
"""There is no rationale for myth because it is through myth that reason itself is defined.""  This means that:","mythos is ultimately based on logos, just as myth is ultimately based on reasoning or thinking.","myth does not ""explain"" how things are related as much as it simply reveals them as related.",metaphysicians are justified in reasoning as they do because there is only one true answer about being.,"myth and reason are the same: ""myth"" defines ""reason,"" and ""reason"" defines ""myth.""",B,False,0.44251325726509094,0.16279155015945435,0.18446697294712067,0.2090284675359726
"According to Epicurus, a law is unjust when:",it is not in accordance with natural law.,it is not in accordance with the traditions of society.,it is offensive to the gods.,it is not beneficial to those it affects.,D,False,0.4789242446422577,0.19964532554149628,0.226227805018425,0.09430576860904694
Leo Tolstoy says that art is _____.,expression,form,representation,abstract,A,False,0.056411247700452805,0.03421515226364136,0.8824204206466675,0.02664678916335106
Aquinas holds that the last end of man is:,pleasure.,happiness or beatitude.,the satisfaction of desire.,freedom from anxiety.,B,False,0.1890251785516739,0.24271312355995178,0.5138236880302429,0.05415661260485649
"According to Kant, the supreme principle of morality is:",analytic and a priori.,analytic and a posteriori.,synthetic and a priori.,synthetic and a posteriori.,C,True,0.061132606118917465,0.06927231699228287,0.8439095616340637,0.025483861565589905
Epicurus claims that all other virtues spring from:,prudence.,temperance.,justice.,courage.,A,False,0.07551015168428421,0.06663747876882553,0.8118106722831726,0.04579922929406166
"According to Butler, it is impossible to:",approve of the actions of others without imitating them.,do something of which one does not oneself approve.,be motivated by genuine benevolence.,do that which is good and not to approve of it.,D,False,0.29509347677230835,0.22981902956962585,0.29509347677230835,0.17898324131965637
"The systematic use of critical reasoning to try to find answers to fundamental questions about reality, morality, and knowledge is called _____.",the argumentative method,the philosophical method,propositional logic,syllogistic reasoning,B,False,0.051528364419937134,0.17985166609287262,0.6277439594268799,0.14006862044334412
"According to Mill, to determine whether one pleasure is more valuable than another, we must _____.",determine which one is objectively most pleasurable,determine which pleasure most experienced people prefer,consult philosophers of the past,consult science,B,False,0.1741989105939865,0.15373001992702484,0.2534579336643219,0.41788148880004883
"According to Hobbes, the definition of injustice is _____.",disobedience to a sovereign,disobedience to God's law,failure to abide by a contract,failure to respect inherent rights,C,True,0.20943790674209595,0.06799453496932983,0.6451141834259033,0.07704789936542511
Kant claims that the natural purpose of reason is to:,produce happiness.,produce pleasure.,produce knowledge.,produce a good will.,D,False,0.43866708874702454,0.23480159044265747,0.3014912009239197,0.024747904390096664
Hare claims that the two essential features of the logic of moral judgments are:,consequentialism and hedonism.,universalizability and prescriptivity.,contractualism and rule-following.,consistency and coherence.,B,False,0.10292297601699829,0.10292297601699829,0.7605036497116089,0.03341419994831085
Mill defines “utility” as:,usefulness for some craft.,usefulness to society.,pleasure and the absence of pain.,it promotes the interests of all and does not harm anyone.,C,False,0.6836583614349365,0.104842409491539,0.11880200356245041,0.09252309799194336
"To Kant, making a lying promise would be wrong because _____.",lying to people can cause them harm,lying to people harms society,you could not consistently will that everyone should make lying promises,most people condemn the practice,C,False,0.2212548553943634,0.17231345176696777,0.2840968370437622,0.3219239115715027
How does Stevenson respond to the objection that his theory does not account for the kind of goodness that is objective and is known a priori?,He claims to have proven that such a property does not exist.,He claims to have offered an account of just such a property.,He claims he does not understand such a property.,None of the above.,C,True,0.1771591603755951,0.1771591603755951,0.6183462142944336,0.027168238535523415
Wolf claims that interpreting Kant’s ethics so that it consists of a finite set of constraints:,yields an unattractive picture of moral sainthood.,implausibly places an “upper bound” on moral worthiness.,yields a theory that is too demanding.,transforms the theory into a form of contractarianism.,B,False,0.1354798525571823,0.2233685404062271,0.4173073470592499,0.2233685404062271
The famous statement “An unexamined life is not worth living” is attributed to _____.,Aristotle,John Locke,Socrates,Plato,C,True,0.18327763676643372,0.12596476078033447,0.5645349025726318,0.12596476078033447
Paley maintains that the key difference between the “contrivance” of a watch and that of nature is that the latter is _____.,simpler,more natural,older,greater and grander,D,False,0.05892020836472511,0.12473408132791519,0.6334519386291504,0.181487038731575
"Concerning the relationship between morality and theology, Bentham claims that:",we must first know whether something is right before we can know whether it conforms to God’s will.,we must first know whether something conforms to God’s will before we can know that it is right.,"God exists, but does not concern himself with matters of morality.",God does not exist.,A,False,0.2699706256389618,0.18554793298244476,0.30591681599617004,0.23824825882911682
"For the soft determinist, to say that you could have done otherwise is to say that you would have done otherwise if _____.",your desires were always the same,your desires were completely under your control,your desires had been different,your desires played no role in your decisions,C,True,0.09251023828983307,0.10482783615589142,0.6835633516311646,0.11878548562526703
"According to Ross, our prima facie duties:",can be proven.,are self-evident.,cannot be known.,are not objective.,B,False,0.20914681255817413,0.18457140028476715,0.4427637755870819,0.1628837138414383
"According to Rawls, behind the veil of ignorance, the principles of justice are _____.",the result of coercion,impractical,chosen arbitrarily,the result of a fair agreement or bargain,D,True,0.030024567618966103,0.08161523938179016,0.2848651707172394,0.6030595898628235
"In Aquinas’s view, man’s ultimate happiness consists in:",pleasure,acts of the moral virtues.,loving God.,contemplating God.,D,False,0.15290585160255432,0.13493894040584564,0.6852765083312988,0.02657105214893818
Taurek claims that if faced with the choice between saving the life of X or the arm of Y:,Y is obligated to choose saving the life of X.,we are obligated to choose saving the life of X.,both a and b.,neither a nor b.,D,False,0.14742490649223328,0.013712653890252113,0.7486855387687683,0.08941773325204849
Wolf argues that the unattractiveness of the moral saint:,gives us reason to abandon utilitarianism.,gives us reason to abandon Kantianism.,both a and b.,neither a nor b.,D,False,0.07592757791280746,0.0042835408821702,0.8162983655929565,0.09749294072389603
"Plato's suggestion that knowledge is innate or remembered as a result of being triggered by experience is in response to a paradox he sets up for himself.  The paradox, now referred to as Meno's Paradox, has to do with the question of:",how a person can remember anything about the realm of the Forms after the shock of being born into this world.,how knowledge of the Forms can ever be anything other than a generalization of experience.,how anyone can recognize the correct answer to a question without already knowing the answer.,how concepts bound to the realm of becoming have meaning only when associated with the realm of Being.,C,False,0.5903701782226562,0.1492689549922943,0.1691438853740692,0.0905361995100975
Gauthier claims that there is nothing for practical rationality to be besides:,moral justification.,deliberative justification.,epistemic justification.,an illusion.,B,False,0.11748410761356354,0.05549556389451027,0.46465864777565,0.361876517534256
"Socrates' claim that ""the unexamined life is not worth living"" is often cited as a central theme in the activities of people.  By it, Socrates is typically understood to mean that:","it is sometimes simply not worth all the effort of examining life and its problems in great detail; sometimes it is better simply to ""go with the flow.""","while taking a reflective attitude toward life is interesting and even sometimes important, most of what makes life worth living is not worth examining.","simply doing whatever everyone else does without thinking about why we should do what we do can hardly be thought of as worthwhile, noble, or admirable.","it is a waste of time to sit around thinking about whether life is worth living; we should leave such reflection to talk-show hosts, political figures, and religious leaders.",C,False,0.8094833493232727,0.05863878130912781,0.10955166071653366,0.02157200127840042
Nagel claims that the problem of moral luck is closely connected to the problem of:,the existence of God.,freedom of the will.,psychological egoism.,universals.,B,False,0.6821046471595764,0.13431435823440552,0.172463059425354,0.011025194078683853
"""Is there anything you would be willing to die for?"" is a philosophical question insofar as:",it does not have any right or wrong answer because it is a meaningless question.,it is a meaningless question because everyone could have a different answer to it.,it forces us to articulate and justify our beliefs about what we know and ought to do.,it is more concerned with one's religious beliefs than with factual claims about the world.,C,True,0.1111612394452095,0.1111612394452095,0.724862277507782,0.052508849650621414
Hume defines virtue as:,a tendency to maximize happiness.,a tendency to pursue justice.,whatever mental action or quality gives a spectator a sentiment of approbation.,whatever mental action or quality brings about the best consequences for all.,C,False,0.6460328102111816,0.09907234460115433,0.12721139192581177,0.12721139192581177
Parfit claims that:,it is possible for an outcome to be worse for a particular person than some alternative.,it is possible for an outcome to be worse than some alternative.,both a and b.,neither a. nor b.,C,True,0.025685515254735947,0.007359023205935955,0.8505874276161194,0.1151144877076149
"According to Baier’s theory, the second step in assessing whether an action is morally permissible is to find out:",whether it is forbidden by a moral rule of one’s group.,whether the moral rule forbidding it is a genuine moral rule.,whether it is forbidden by a law.,whether one can approve of it.,B,False,0.3042234480381012,0.268476277589798,0.39063066244125366,0.036334309726953506
"According to Hume, morality is ultimately based on:",reason.,God’s commands.,social agreements.,sympathy.,D,False,0.201062873005867,0.201062873005867,0.5465455055236816,0.05083664879202843
"According to Kant, moral laws are:",necessary and apply to all rational beings.,contingent and apply only to human beings.,culturally relative.,grounded in God’s commands.,A,True,0.4419173300266266,0.16257230937480927,0.2680363953113556,0.12661144137382507
"Wolf claims that ultimately, normative questions must be assessed from:",the moral point of view.,the point of view of virtue.,the point of view of individual perfection.,a perspective that is unattached to a commitment to any well-ordered system of values.,D,False,0.5820879936218262,0.1011517196893692,0.3115692734718323,0.005036047659814358
"Baier claims that for a rule to belong the morality of a group, the rule must be:",part of the mores of the group.,universally teachable.,not merely a taboo.,all of the above.,D,False,0.6325799226760864,0.07555089890956879,0.23271316289901733,0.0588390938937664
"According to Sartre, if God does not exist, _____.",anything is permissible,moral values must come from nature,moral values still exist,man does not exist,A,False,0.019237175583839417,0.03171674162149429,0.5621926784515381,0.38638901710510254
Baggini accuses pessimists of mixing up the two senses of _____.,philosophy,religion,meaning,time,C,True,0.019425582140684128,0.008097788318991661,0.935977041721344,0.03629176691174507
Which of the following is an example of deception in business research?,The obtaining of company material without permission.,The researcher wearing a disguise during an observation.,The researcher representing their research as being about a different topic.,The researcher failing to ask permission to interview someone.,C,False,0.37841877341270447,0.1787523776292801,0.3339533805847168,0.10841879993677139
Feinberg claims that most arguments for psychological egoism:,make reference to neuroscience.,are based on controlled studies.,are based on interviews and surveys.,are nonempirical in character.,D,True,0.1786535233259201,0.07447386533021927,0.2599393427371979,0.485630601644516
Descartes had been disillusioned by his discovery that many of the alleged truths learned in his youth were _____.,contrary to his religion,TRUE,FALSE,beyond question,C,True,0.04062288627028465,0.06697581708431244,0.8159325122833252,0.07589354366064072
