0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.796079158782959,0.05089163780212402,0.09507810324430466,0.05766778439283371
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.47270798683166504,0.1354331076145172,0.3681453466415405,0.02353474497795105
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.30860912799835205,0.12864741683006287,0.5088104605674744,0.05362822487950325
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.20720191299915314,0.43864643573760986,0.30147701501846313,0.05238884687423706
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.12803040444850922,0.08799393475055695,0.736764132976532,0.047099754214286804
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.19946375489234924,0.1209808811545372,0.6143916249275208,0.06475640088319778
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.410781592130661,0.15111811459064484,0.3199170231819153,0.11769089847803116
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.9710944294929504,0.004497059620916843,0.0030907809268683195,0.020154422149062157
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.2188195139169693,0.2809697985649109,0.4088086485862732,0.091217540204525
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.5480215549468994,0.3323918879032135,0.10791183263063431,0.011373824439942837
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.4526093006134033,0.16650566458702087,0.31107351183891296,0.06940988451242447
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.47008585929870605,0.2516188323497772,0.2516188323497772,0.02652043104171753
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.4040243327617645,0.19084759056568146,0.31465446949005127,0.09015002101659775
