0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.1888318657875061,0.11453230679035187,0.6590879559516907,0.03718319907784462
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,False,0.13980132341384888,0.15841566026210785,0.6265460848808289,0.07483025640249252
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,False,0.18347527086734772,0.18347527086734772,0.5651436448097229,0.06749678403139114
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.45754945278167725,0.13109011948108673,0.40378594398498535,0.007395597640424967
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,False,0.188913956284523,0.2748681604862213,0.5135213136672974,0.022562552243471146
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,False,0.06303039193153381,0.21999768912792206,0.4657350778579712,0.24929003417491913
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,False,0.08943246304988861,0.02903446927666664,0.8485115766525269,0.0329003632068634
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,True,0.10400008410215378,0.07147814333438873,0.7684624791145325,0.05566723644733429
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,False,0.0439327135682106,0.19689276814460754,0.47232121229171753,0.28647729754447937
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.055810827761888504,0.09201649576425552,0.7704446911811829,0.08120427280664444
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.007098933216184378,0.04085154086351395,0.5639380812644958,0.38758862018585205
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,False,0.04347703978419304,0.049265943467617035,0.8732597231864929,0.03385995328426361
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.05089662969112396,0.04491611570119858,0.7026062607765198,0.20130006968975067
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,False,0.022608723491430283,0.06145688146352768,0.5145721435546875,0.40074920654296875
Which of the following is an example of monosomy?,"46,XX","47,XXX","69,XYY","45,X",D,False,0.14376038312911987,0.06790758669376373,0.6442893147468567,0.14376038312911987
QTL analysis is used to,identify chromosome regions associated with a complex trait in a genetic cross,determine which genes are expressed at a developmental stage,map genes in bacterial viruses,identify RNA polymerase binding sites,A,False,0.014243409968912601,0.13513769209384918,0.7776637673377991,0.07233399897813797
What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?,1.0/64,1.0/32,1.0/128,1.0/256,A,False,0.1876865178346634,0.1876865178346634,0.5101848244667053,0.11383762210607529
It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.,"10,000–15,000","19,000–20,000","29,000–30,000","100,000",B,False,0.18879404664039612,0.31126874685287476,0.3527136743068695,0.1470329314470291
With which of the following relatives is an individual most likely to share a common HLA haplotype?,Father,Mother,Sister,Son,C,False,0.11534838378429413,0.16783089935779572,0.3135493993759155,0.40260541439056396
Which of the following genes conveys susceptibility for polygenic Alzheimer disease?,APP,PS1,PS2,APOE,D,True,0.10269488394260406,0.1318628340959549,0.3584403693675995,0.406166136264801
The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?,4,7,15,22,D,False,0.0593368262052536,0.06723743677139282,0.6379310488700867,0.23468174040317535
X-chromosome inactivation,results in genetically turning off one of the two X chromosomes in female mammals,takes place in humans so that the same X chromosome is inactive in all of the cells of a female,is the cause of the Y chromosome being genetically inactive,occurs in fruit flies but not in mammals,A,False,0.019178885966539383,0.024626176804304123,0.9240905046463013,0.03162063658237457
The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,D,False,0.1457677036523819,0.18716943264007568,0.6532855033874512,0.013558507896959782
Homeobox sequences,are present in the genome of many animal species,are found in prokaryotes but not in eukaryotes,were identified as the integration sites for bacterial viruses,represent integration sites for transposable elements,A,False,0.042902473360300064,0.03786130249500275,0.6711075901985168,0.2468867152929306
Which of the following karyotypes is diagnostic of Down syndrome,"46,XX,der(14;21)(q10;q10)pat+21","47,XY,+13","45,XX,rob,(14;21)(q10;q10)","46,XY,t(2;3)(q21;q12)",A,False,0.2969474196434021,0.14026802778244019,0.554770827293396,0.007913380861282349
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",structural and anatomical; psychological and social,psychological and social; structural and anatomical,structural and psychological; anatomical and social,social and anatomical; psychological and structural,A,False,0.05926765874028206,0.07610117644071579,0.7220278978347778,0.14217570424079895
Which of the following would result in Angelman syndrome?,Maternal UPD 15,Paternal UPD 15,Deletion in the paternally derived chromosome 15,A mutation in the SNRPN promoter,B,False,0.009881091304123402,0.05018031969666481,0.8894674181938171,0.05018031969666481
Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?,Fabry disease,Gaucher disease,Hurler syndrome,Pompe disease,C,True,0.10000159591436386,0.060654036700725555,0.7389174103736877,0.10000159591436386
Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.,developmental epigenetics,social epigenetics,fetal epigenetics,maternal epigenetics,B,False,0.20881621539592743,0.022009067237377167,0.5009240508079529,0.2681253254413605
If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.,1 in 4,1 in 2,2 in 3,1,D,False,0.09308017790317535,0.1970507651567459,0.5356394648551941,0.1738966703414917
The mutational mechanism in δβ-thalassaemia consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,A,False,0.09886299073696136,0.11202643066644669,0.6446676254272461,0.14384479820728302
